Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.1876025E-5,3.7252263E-5,3.7252263E-5,1.0,0.0,1.3660437E-4,1.5964555E-4,1.6964397E-4,1.0626287,1.0E-5,0.0016618895,0.0019424288,0.0019524094,1.0051382,1.0E-5,0.016495159,0.01930128,0.019320894,1.0010163,2.0E-5
6.1,3.1876025E-5,3.7252263E-5,3.7252263E-5,1.0,0.0,1.3660437E-4,1.5964555E-4,1.6964397E-4,1.0626287,1.0E-5,0.0016618895,0.0019424288,0.0019524094,1.0051382,1.0E-5,0.016495159,0.01930128,0.019320894,1.0010163,2.0E-5
6.2,3.1876025E-5,3.7252263E-5,3.7252263E-5,1.0,0.0,1.3660437E-4,1.5964555E-4,1.6964397E-4,1.0626287,1.0E-5,0.0016618895,0.0019424288,0.0019524094,1.0051382,1.0E-5,0.016495159,0.01930128,0.019320894,1.0010163,2.0E-5
6.3,3.1876025E-5,3.7252263E-5,3.7252263E-5,1.0,0.0,1.3660437E-4,1.5964555E-4,1.6964397E-4,1.0626287,1.0E-5,0.0016618895,0.0019424288,0.0019524094,1.0051382,1.0E-5,0.016495159,0.01930128,0.019320894,1.0010163,2.0E-5
6.4,1.9273462E-5,2.1304299E-5,2.1304299E-5,1.0,0.0,8.259794E-5,9.130193E-5,9.130193E-5,1.0,0.0,0.001005166,0.001111207,0.001111207,1.0,0.0,0.010006315,0.011073454,0.011083344,1.0008931,1.0E-5
6.5,1.9273462E-5,2.1304299E-5,2.1304299E-5,1.0,0.0,8.259794E-5,9.130193E-5,9.130193E-5,1.0,0.0,0.001005166,0.001111207,0.001111207,1.0,0.0,0.010006315,0.011073454,0.011083344,1.0008931,1.0E-5
6.6,9.813258E-6,9.69497E-6,9.69497E-6,1.0,0.0,4.205614E-5,4.154925E-5,4.154925E-5,1.0,0.0,5.119132E-4,5.0575205E-4,5.0575205E-4,1.0,0.0,0.005107356,0.005046739,0.005046739,1.0,0.0
6.7,9.801478E-6,9.682519E-6,9.682519E-6,1.0,0.0,4.2005657E-5,4.149589E-5,4.149589E-5,1.0,0.0,5.112989E-4,5.051026E-4,5.051026E-4,1.0,0.0,0.0051012407,0.005040275,0.005040275,1.0,0.0
6.8,8.102489E-6,7.796579E-6,7.796579E-6,1.0,0.0,3.4724493E-5,3.341351E-5,3.341351E-5,1.0,0.0,4.2268867E-4,4.0673855E-4,4.0673855E-4,1.0,0.0,0.004218856,0.004060439,0.004060439,1.0,0.0
6.9,6.08275E-6,5.496173E-6,5.496173E-6,1.0,0.0,2.6068668E-5,2.3554818E-5,2.3554818E-5,1.0,0.0,3.173398E-4,2.8674293E-4,2.8674293E-4,1.0,0.0,0.0031688702,0.0028638076,0.0028638076,1.0,0.0
7.0,5.5995934E-6,4.9962223E-6,4.9962223E-6,1.0,0.0,2.3998036E-5,2.141221E-5,2.141221E-5,1.0,0.0,2.9213692E-4,2.6066313E-4,2.6066313E-4,1.0,0.0,0.0029175316,0.0026036417,0.0026036417,1.0,0.0
7.1,4.709881E-6,4.0986047E-6,4.0986047E-6,1.0,0.0,2.0185047E-5,1.7565333E-5,1.7565333E-5,1.0,0.0,2.4572524E-4,2.1383735E-4,2.1383735E-4,1.0,0.0,0.002454537,0.0021363576,0.0021363576,1.0,0.0
7.2,3.6063436E-6,2.9861565E-6,2.9861565E-6,1.0,0.0,1.5455667E-5,1.2797751E-5,1.2797751E-5,1.0,0.0,1.881565E-4,1.558016E-4,1.558016E-4,1.0,0.0,0.0018799726,0.0015569349,0.0015569349,1.0,0.0
