Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.0146506E-6,4.0913883E-6,4.0913883E-6,1.0,0.0,1.7205533E-5,1.7534408E-5,2.7534234E-5,1.5702972,1.0E-5,2.0945723E-4,2.1346162E-4,2.6345096E-4,1.2341841,5.0E-5,0.0020925992,0.0021326751,0.002232462,1.0467894,1.0E-4
6.1,4.0146506E-6,4.0913883E-6,4.0913883E-6,1.0,0.0,1.7205533E-5,1.7534408E-5,2.7534234E-5,1.5702972,1.0E-5,2.0945723E-4,2.1346162E-4,2.6345096E-4,1.2341841,5.0E-5,0.0020925992,0.0021326751,0.002232462,1.0467894,1.0E-4
6.2,4.0146506E-6,4.0913883E-6,4.0913883E-6,1.0,0.0,1.7205533E-5,1.7534408E-5,2.7534234E-5,1.5702972,1.0E-5,2.0945723E-4,2.1346162E-4,2.6345096E-4,1.2341841,5.0E-5,0.0020925992,0.0021326751,0.002232462,1.0467894,1.0E-4
6.3,4.0146506E-6,4.0913883E-6,4.0913883E-6,1.0,0.0,1.7205533E-5,1.7534408E-5,2.7534234E-5,1.5702972,1.0E-5,2.0945723E-4,2.1346162E-4,2.6345096E-4,1.2341841,5.0E-5,0.0020925992,0.0021326751,0.002232462,1.0467894,1.0E-4
6.4,4.0146506E-6,4.0913883E-6,4.0913883E-6,1.0,0.0,1.7205533E-5,1.7534408E-5,2.7534234E-5,1.5702972,1.0E-5,2.0945723E-4,2.1346162E-4,2.6345096E-4,1.2341841,5.0E-5,0.0020925992,0.0021326751,0.002232462,1.0467894,1.0E-4
6.5,4.0146506E-6,4.0913883E-6,4.0913883E-6,1.0,0.0,1.7205533E-5,1.7534408E-5,2.7534234E-5,1.5702972,1.0E-5,2.0945723E-4,2.1346162E-4,2.6345096E-4,1.2341841,5.0E-5,0.0020925992,0.0021326751,0.002232462,1.0467894,1.0E-4
6.6,4.0146506E-6,4.0913883E-6,4.0913883E-6,1.0,0.0,1.7205533E-5,1.7534408E-5,2.7534234E-5,1.5702972,1.0E-5,2.0945723E-4,2.1346162E-4,2.6345096E-4,1.2341841,5.0E-5,0.0020925992,0.0021326751,0.002232462,1.0467894,1.0E-4
6.7,4.0146506E-6,4.0913883E-6,4.0913883E-6,1.0,0.0,1.7205533E-5,1.7534408E-5,2.7534234E-5,1.5702972,1.0E-5,2.0945723E-4,2.1346162E-4,2.6345096E-4,1.2341841,5.0E-5,0.0020925992,0.0021326751,0.002232462,1.0467894,1.0E-4
6.8,3.6584688E-6,3.7237594E-6,3.7237594E-6,1.0,0.0,1.5679057E-5,1.5958876E-5,2.5958718E-5,1.6266005,1.0E-5,1.9087581E-4,1.9428294E-4,2.3427517E-4,1.2058454,4.0E-5,0.0019071194,0.0019412234,0.0020410293,1.0514139,1.0E-4
6.9,3.644631E-6,3.709456E-6,3.709456E-6,1.0,0.0,1.5619753E-5,1.5897576E-5,2.5897418E-5,1.6290166,1.0E-5,1.901539E-4,1.9353675E-4,2.33529E-4,1.206639,4.0E-5,0.0018999127,0.0019337746,0.0020335813,1.0516124,1.0E-4
