Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.095982E-6,3.634541E-6,3.634541E-6,1.0,0.0,2.183974E-5,1.5576512E-5,2.5576355E-5,1.6419823,1.0E-5,2.658664E-4,1.8962764E-4,2.0962385E-4,1.1054498,2.0E-5,0.0026554854,0.0018946708,0.001944576,1.0263398,5.0E-5
6.1,5.095982E-6,3.634541E-6,3.634541E-6,1.0,0.0,2.183974E-5,1.5576512E-5,2.5576355E-5,1.6419823,1.0E-5,2.658664E-4,1.8962764E-4,2.0962385E-4,1.1054498,2.0E-5,0.0026554854,0.0018946708,0.001944576,1.0263398,5.0E-5
6.2,5.095982E-6,3.634541E-6,3.634541E-6,1.0,0.0,2.183974E-5,1.5576512E-5,2.5576355E-5,1.6419823,1.0E-5,2.658664E-4,1.8962764E-4,2.0962385E-4,1.1054498,2.0E-5,0.0026554854,0.0018946708,0.001944576,1.0263398,5.0E-5
6.3,5.095982E-6,3.634541E-6,3.634541E-6,1.0,0.0,2.183974E-5,1.5576512E-5,2.5576355E-5,1.6419823,1.0E-5,2.658664E-4,1.8962764E-4,2.0962385E-4,1.1054498,2.0E-5,0.0026554854,0.0018946708,0.001944576,1.0263398,5.0E-5
6.4,5.095982E-6,3.634541E-6,3.634541E-6,1.0,0.0,2.183974E-5,1.5576512E-5,2.5576355E-5,1.6419823,1.0E-5,2.658664E-4,1.8962764E-4,2.0962385E-4,1.1054498,2.0E-5,0.0026554854,0.0018946708,0.001944576,1.0263398,5.0E-5
6.5,5.095982E-6,3.634541E-6,3.634541E-6,1.0,0.0,2.183974E-5,1.5576512E-5,2.5576355E-5,1.6419823,1.0E-5,2.658664E-4,1.8962764E-4,2.0962385E-4,1.1054498,2.0E-5,0.0026554854,0.0018946708,0.001944576,1.0263398,5.0E-5
6.6,5.095982E-6,3.634541E-6,3.634541E-6,1.0,0.0,2.183974E-5,1.5576512E-5,2.5576355E-5,1.6419823,1.0E-5,2.658664E-4,1.8962764E-4,2.0962385E-4,1.1054498,2.0E-5,0.0026554854,0.0018946708,0.001944576,1.0263398,5.0E-5
6.7,5.095982E-6,3.634541E-6,3.634541E-6,1.0,0.0,2.183974E-5,1.5576512E-5,2.5576355E-5,1.6419823,1.0E-5,2.658664E-4,1.8962764E-4,2.0962385E-4,1.1054498,2.0E-5,0.0026554854,0.0018946708,0.001944576,1.0263398,5.0E-5
6.8,5.095982E-6,3.634541E-6,3.634541E-6,1.0,0.0,2.183974E-5,1.5576512E-5,2.5576355E-5,1.6419823,1.0E-5,2.658664E-4,1.8962764E-4,2.0962385E-4,1.1054498,2.0E-5,0.0026554854,0.0018946708,0.001944576,1.0263398,5.0E-5
6.9,5.0942654E-6,3.6327538E-6,3.6327538E-6,1.0,0.0,2.1832384E-5,1.5568852E-5,2.5568697E-5,1.6422981,1.0E-5,2.6577685E-4,1.8953442E-4,2.0953063E-4,1.1055018,2.0E-5,0.002654592,0.0018937401,0.0019436454,1.0263528,5.0E-5
