Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.986481E-4,0.0012517904,0.0012517904,1.0,0.0,0.0025631124,0.0053489455,0.0053489455,1.0,0.0,0.030762846,0.06238976,0.06238976,1.0,0.0,0.26835477,0.4321854,0.4321911,1.0000131,1.0E-5
6.1,5.015945E-4,0.0010420908,0.0010420908,1.0,0.0,0.00214792,0.004454634,0.004454634,1.0,0.0,0.025839351,0.052255023,0.052255023,1.0,0.0,0.23032776,0.37891814,0.37891814,1.0,0.0
6.2,4.073338E-4,8.3078124E-4,8.3078124E-4,1.0,0.0,0.0017445484,0.0035528978,0.0035528978,1.0,0.0,0.021034058,0.041938134,0.041938134,1.0,0.0,0.19150782,0.31962416,0.31962416,1.0,0.0
6.3,3.464099E-4,6.9399475E-4,6.9399475E-4,1.0,0.0,0.0014837692,0.002968856,0.002968856,1.0,0.0,0.017915873,0.035202473,0.035202473,1.0,0.0,0.16538359,0.27831015,0.27831015,1.0,0.0
6.4,2.935057E-4,5.745925E-4,5.745925E-4,1.0,0.0,0.0012572751,0.00245882,0.00245882,1.0,0.0,0.015200248,0.029287534,0.029287534,1.0,0.0,0.14201577,0.24036857,0.24036857,1.0,0.0
6.5,2.3409708E-4,4.4111538E-4,4.4111538E-4,1.0,0.0,0.0010028875,0.0018883634,0.0018883634,1.0,0.0,0.012141965,0.022618089,0.022618089,1.0,0.0,0.11499573,0.19465305,0.19465305,1.0,0.0
6.6,1.5842178E-4,2.707606E-4,2.707606E-4,1.0,0.0,6.7877385E-4,0.001159881,0.001159881,1.0,0.0,0.0082328,0.01402874,0.01402874,1.0,0.0,0.07934396,0.13154332,0.13154332,1.0,0.0
6.7,1.5616413E-4,2.660765E-4,2.660765E-4,1.0,0.0,6.691031E-4,0.0011398268,0.0011398268,1.0,0.0,0.0081159435,0.0137883015,0.0137883015,1.0,0.0,0.0782586,0.12957092,0.12957092,1.0,0.0
6.8,1.5538467E-4,2.642705E-4,2.642705E-4,1.0,0.0,6.6576427E-4,0.0011320945,0.0011320945,1.0,0.0,0.008075596,0.013695512,0.013695512,1.0,0.0,0.07788358,0.12879221,0.12879221,1.0,0.0
6.9,1.5153569E-4,2.551962E-4,2.551962E-4,1.0,0.0,6.49277E-4,0.0010932419,0.0010932419,1.0,0.0,0.007876333,0.013229602,0.013229602,1.0,0.0,0.07602952,0.12483547,0.12483547,1.0,0.0
7.0,1.4588932E-4,2.4340436E-4,2.4340436E-4,1.0,0.0,6.250901E-4,0.0010427467,0.0010427467,1.0,0.0,0.0075839474,0.0126221245,0.0126221245,1.0,0.0,0.073302895,0.11958641,0.11958641,1.0,0.0
7.1,1.1565079E-4,1.79751E-4,1.79751E-4,1.0,0.0,4.955521E-4,7.70135E-4,7.70135E-4,1.0,0.0,0.006016669,0.009336329,0.009336329,1.0,0.0,0.058563538,0.09119887,0.09119887,1.0,0.0
7.2,1.0393792E-4,1.6203168E-4,1.6203168E-4,1.0,0.0,4.4537216E-4,6.9423753E-4,6.9423753E-4,1.0,0.0,0.005408933,0.008419791,0.008419791,1.0,0.0,0.052791595,0.082752936,0.082752936,1.0,0.0
7.3,9.332884E-5,1.4180671E-4,1.4180671E-4,1.0,0.0,3.999194E-4,6.0760224E-4,6.0760224E-4,1.0,0.0,0.0048581534,0.0073726266,0.0073726266,1.0,0.0,0.047533102,0.07289045,0.07289045,1.0,0.0
