Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.7352758E-5,5.5276425E-5,8.527477E-5,1.5426968,3.0E-5,2.0292461E-4,2.3687915E-4,3.0686255E-4,1.2954394,7.0E-5,0.0024678076,0.0028804552,0.0030599367,1.0623101,1.8E-4,0.024405818,0.028459188,0.028740933,1.0099,2.9E-4
6.1,4.7352758E-5,5.5276425E-5,8.527477E-5,1.5426968,3.0E-5,2.0292461E-4,2.3687915E-4,2.9686492E-4,1.2532337,6.0E-5,0.0024678076,0.0028804552,0.0030399943,1.0553868,1.6E-4,0.024405818,0.028459188,0.028711786,1.0088758,2.6E-4
6.2,3.0415853E-5,3.4084616E-5,6.408359E-5,1.8801324,3.0E-5,1.3034715E-4,1.4606897E-4,2.0606021E-4,1.4107049,6.0E-5,0.0015858212,0.0017769727,0.0019167239,1.0786457,1.4E-4,0.015745522,0.017631534,0.017857479,1.0128148,2.3E-4
6.3,3.0415853E-5,3.4084616E-5,6.408359E-5,1.8801324,3.0E-5,1.3034715E-4,1.4606897E-4,2.0606021E-4,1.4107049,6.0E-5,0.0015858212,0.0017769727,0.0019167239,1.0786457,1.4E-4,0.015745522,0.017631534,0.017857479,1.0128148,2.3E-4
6.4,2.5452082E-5,2.8035269E-5,5.8034428E-5,2.0700507,3.0E-5,1.09075794E-4,1.20145734E-4,1.8013852E-4,1.4993335,6.0E-5,0.0013271887,0.0014618116,0.0015916215,1.0888008,1.3E-4,0.013192902,0.014524116,0.014740922,1.0149273,2.2E-4
6.5,2.3143784E-5,2.5234542E-5,5.5233784E-5,2.1888165,3.0E-5,9.9183875E-5,1.0814364E-4,1.6813715E-4,1.5547576,6.0E-5,0.0012068948,0.001315868,0.0014257233,1.083485,1.1E-4,0.012003611,0.013082433,0.013289685,1.0158421,2.1E-4
6.6,1.9118515E-5,2.043501E-5,4.0434603E-5,1.9786925,2.0E-5,8.193392E-5,8.7575725E-5,1.2757222E-4,1.4567076,4.0E-5,9.97089E-4,0.0010657208,0.0011456356,1.0749866,8.0E-5,0.00992627,0.010607019,0.010785109,1.0167899,1.8E-4
6.7,1.722807E-5,1.8216291E-5,3.8215927E-5,2.0978982,2.0E-5,7.3832496E-5,7.806752E-5,1.18064396E-4,1.512337,4.0E-5,8.985399E-4,9.500632E-4,0.0010299871,1.0841249,8.0E-5,0.008949154,0.009460668,0.00962906,1.0177991,1.7E-4
6.8,1.5317364E-5,1.5986025E-5,3.5985704E-5,2.251073,2.0E-5,6.56442E-5,6.8509755E-5,1.0850702E-4,1.5838184,4.0E-5,7.98925E-4,8.3379145E-4,9.137247E-4,1.0958673,8.0E-5,0.007960589,0.008307124,0.008455878,1.0179068,1.5E-4
6.9,1.3071226E-5,1.3377445E-5,3.337718E-5,2.4950337,2.0E-5,5.6018336E-5,5.733066E-5,9.732837E-5,1.697667,4.0E-5,6.8180985E-4,6.977795E-4,7.777237E-4,1.1145694,8.0E-5,0.0067972173,0.006956149,0.007095175,1.019986,1.4E-4
7.0,1.1836986E-5,1.1975274E-5,3.1975036E-5,2.670088,2.0E-5,5.0728955E-5,5.1321604E-5,9.131955E-5,1.7793589,4.0E-5,6.1745E-4,6.246631E-4,7.046131E-4,1.127989,8.0E-5,0.006157372,0.0062292675,0.0063584577,1.0207392,1.3E-4
7.1,1.0597169E-5,1.057979E-5,3.0579577E-5,2.8903768,2.0E-5,4.541565E-5,4.5341174E-5,7.533981E-5,1.6616203,3.0E-5,5.5279525E-4,5.518901E-4,6.218515E-4,1.1267668,7.0E-5,0.0055142213,0.005505328,0.0056246673,1.021677,1.2E-4
7.2,9.59113E-6,9.494328E-6,2.9494138E-5,3.1065009,2.0E-5,4.11042E-5,4.068935E-5,7.0688126E-5,1.7372637,3.0E-5,5.0032866E-4,4.952813E-4,5.652466E-4,1.1412638,7.0E-5,0.004992037,0.0049418947,0.005061302,1.0241622,1.2E-4
