Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,0.26926,0.0,2.0,0.0,0.0,0.15977,1.0E-5,0.12328
2.6,0.21428,0.0,2.0,0.0,0.0,0.13127,1.0E-5,0.09774
2.7,0.17039,0.0,1.0,0.0,0.0,0.10762,1.0E-5,0.07746
2.8,0.13494,0.0,1.0,0.0,0.0,0.08703,1.0E-5,0.06101
2.9,0.10646,0.0,1.0,0.0,0.0,0.07033,1.0E-5,0.04802
3.0,0.08446,0.0,1.0,0.0,0.0,0.05709,1.0E-5,0.03813
3.1,0.06727,0.0,1.0,0.0,0.0,0.04684,1.0E-5,0.03077
3.2,0.05341,0.0,1.0,0.0,0.0,0.03775,1.0E-5,0.02448
3.3,0.04245,0.0,1.0,0.0,0.0,0.03074,1.0E-5,0.01944
3.4,0.0338,0.0,0.0,0.0,0.0,0.02491,1.0E-5,0.01518
3.5,0.02691,0.0,0.0,0.0,0.0,0.02013,1.0E-5,0.01191
3.6,0.02115,0.0,0.0,0.0,0.0,0.01607,1.0E-5,0.00926
3.7,0.01671,0.0,0.0,0.0,0.0,0.01292,1.0E-5,0.00733
3.8,0.01298,0.0,0.0,0.0,0.0,0.01018,1.0E-5,0.00566
3.9,0.0104,0.0,0.0,0.0,0.0,0.00834,1.0E-5,0.00452
4.0,0.00847,0.0,0.0,0.0,0.0,0.00688,1.0E-5,0.00365
4.1,0.00656,0.0,0.0,0.0,0.0,0.00548,1.0E-5,0.00284
4.2,0.00522,0.0,0.0,0.0,0.0,0.00438,1.0E-5,0.00217
4.3,0.00411,0.0,0.0,0.0,0.0,0.00346,1.0E-5,0.00164
4.4,0.00326,0.0,0.0,0.0,0.0,0.00275,1.0E-5,0.00129
4.5,0.00248,0.0,0.0,0.0,0.0,0.00211,1.0E-5,9.5E-4
4.6,0.00186,0.0,0.0,0.0,0.0,0.00158,1.0E-5,7.0E-4
4.7,0.00154,0.0,0.0,0.0,0.0,0.00134,1.0E-5,5.4E-4
4.8,0.00119,0.0,0.0,0.0,0.0,0.00102,1.0E-5,4.2E-4
4.9,8.6E-4,0.0,0.0,0.0,0.0,7.7E-4,1.0E-5,3.2E-4
5.0,7.2E-4,0.0,0.0,0.0,0.0,6.4E-4,1.0E-5,2.7E-4
5.1,6.1E-4,0.0,0.0,0.0,0.0,5.5E-4,1.0E-5,2.4E-4
5.2,4.9E-4,0.0,0.0,0.0,0.0,4.4E-4,1.0E-5,2.0E-4
5.3,4.1E-4,0.0,0.0,0.0,0.0,3.7E-4,1.0E-5,1.6E-4
5.4,3.7E-4,0.0,0.0,0.0,0.0,3.3E-4,1.0E-5,1.4E-4
5.5,2.5E-4,0.0,0.0,0.0,0.0,2.3E-4,1.0E-5,1.2E-4
5.6,1.8E-4,0.0,0.0,0.0,0.0,1.7E-4,1.0E-5,9.0E-5
5.7,1.2E-4,0.0,0.0,0.0,0.0,1.1E-4,1.0E-5,7.0E-5
5.8,8.0E-5,0.0,0.0,0.0,0.0,7.0E-5,1.0E-5,5.0E-5
5.9,6.0E-5,0.0,0.0,0.0,0.0,5.0E-5,1.0E-5,4.0E-5
6.0,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,1.0E-5,1.0E-5
6.1,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,1.0E-5,1.0E-5
6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
