Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1701416143430,ci39720698,3.18,32.7515,-115.869,8.62
1701398440160,ci39720562,1.44,32.65217,-115.73534,9.11
1701380762930,ci39720466,1.07,32.869667,-116.250336,13.79
1701285645390,ci37531725,1.38,32.883,-115.480835,6.67
1701285632540,ci37531717,1.44,32.88933,-115.479,7.26
1701285609720,ci39719738,1.46,32.89,-115.47784,7.87
1701272580080,ci39719610,0.96,32.928333,-116.261,9.89
1701266589040,ci39719538,1.26,32.9765,-115.55983,8.96
1701260360950,ci39719522,0.81,32.9305,-116.23967,10.06
1701239082950,ci39719450,1.76,32.7525,-115.86567,3.82
1701230893760,ci39719394,2.56,32.928333,-116.24367,10.51
1701230262560,ci39719386,1.19,32.928833,-116.25166,9.68
1701230141000,ci39719370,2.61,32.7495,-115.868,4.98
1701230107790,ci39719362,2.18,32.748665,-115.87117,4.21
