Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.6875173E-4,4.9499475E-4,5.049898E-4,1.0201923,1.0E-5,0.0011512847,0.0021197193,0.0021296982,1.0047076,1.0E-5,0.013927074,0.025497705,0.025517194,1.0007644,2.0E-5,0.13085878,0.22291644,0.22294752,1.0001395,4.0E-5
6.1,2.5356023E-4,4.9499475E-4,5.049898E-4,1.0201923,1.0E-5,0.001086234,0.0021197193,0.0021296982,1.0047076,1.0E-5,0.013144928,0.025497705,0.025517194,1.0007644,2.0E-5,0.123940155,0.22291644,0.22294752,1.0001395,4.0E-5
6.2,2.4820742E-4,4.8583915E-4,4.8583915E-4,1.0,0.0,0.0010633124,0.0020805437,0.0020805437,1.0,0.0,0.01286919,0.025031973,0.025041724,1.0003895,1.0E-5,0.12148927,0.21939406,0.21941747,1.0001067,3.0E-5
6.3,2.3205351E-4,4.6579845E-4,4.6579845E-4,1.0,0.0,9.94136E-4,0.0019947882,0.0019947882,1.0,0.0,0.012036599,0.024004444,0.024014203,1.0004066,1.0E-5,0.11405133,0.21090822,0.210924,1.0000749,2.0E-5
6.4,2.0304754E-4,4.0641203E-4,4.0641203E-4,1.0,0.0,8.6991355E-4,0.0017406178,0.0017406178,1.0,0.0,0.010539869,0.020978086,0.020987876,1.0004667,1.0E-5,0.100537635,0.18812367,0.1881399,1.0000863,2.0E-5
6.5,1.854992E-4,3.7723593E-4,3.7723593E-4,1.0,0.0,7.9475436E-4,0.001615736,0.001615736,1.0,0.0,0.009633281,0.019489404,0.01949921,1.0005031,1.0E-5,0.0922623,0.17622966,0.17624614,1.0000935,2.0E-5
6.6,1.6586106E-4,3.4715416E-4,3.4715416E-4,1.0,0.0,7.106394E-4,0.0014869655,0.0014869655,1.0,0.0,0.008617763,0.017950512,0.017960334,1.000547,1.0E-5,0.08291132,0.16350827,0.16352499,1.0001023,2.0E-5
6.7,1.4224656E-4,3.1374613E-4,3.1374613E-4,1.0,0.0,6.094856E-4,0.0013439417,0.0013439417,1.0,0.0,0.0073952693,0.016239442,0.01624928,1.0006058,1.0E-5,0.07153955,0.14894356,0.14896058,1.0001143,2.0E-5
6.8,1.2317259E-4,2.8423025E-4,2.8423025E-4,1.0,0.0,5.2777573E-4,0.0012175672,0.0012175672,1.0,0.0,0.0064067547,0.014724549,0.014734402,1.0006691,1.0E-5,0.06225166,0.13550782,0.1355251,1.0001276,2.0E-5
6.9,9.859898E-5,2.5612462E-4,2.5612462E-4,1.0,0.0,4.2249862E-4,0.0010972196,0.0010972196,1.0,0.0,0.0051317946,0.013277828,0.013287695,1.0007432,1.0E-5,0.05014893,0.121867694,0.12188526,1.0001441,2.0E-5
7.0,7.3191884E-5,2.1838056E-4,2.1838056E-4,1.0,0.0,3.136418E-4,9.355843E-4,9.355843E-4,1.0,0.0,0.003811904,0.011331966,0.011341852,1.0008725,1.0E-5,0.037471764,0.10444987,0.10446778,1.0001714,2.0E-5
7.1,7.1760296E-5,2.1537895E-4,2.1537895E-4,1.0,0.0,3.0750787E-4,9.2272944E-4,9.2272944E-4,1.0,0.0,0.003737482,0.011177073,0.011186961,1.0008847,1.0E-5,0.03675245,0.1030833,0.10310123,1.000174,2.0E-5
7.2,6.46614E-5,1.9700569E-4,1.9700569E-4,1.0,0.0,2.7709085E-4,8.4404007E-4,8.4404007E-4,1.0,0.0,0.0033683628,0.01022842,0.010238318,1.0009676,1.0E-5,0.033177625,0.09488328,0.09490138,1.0001907,2.0E-5
7.3,6.088115E-5,1.8358916E-4,1.8358916E-4,1.0,0.0,2.6089314E-4,7.865764E-4,7.865764E-4,1.0,0.0,0.0031717476,0.00953512,0.0095450245,1.0010388,1.0E-5,0.031268585,0.08889465,0.08891287,1.000205,2.0E-5
