Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.3960263E-5,3.187313E-5,8.1871534E-5,2.5686696,5.0E-5,1.8838752E-4,1.3659251E-4,2.465775E-4,1.805205,1.1E-4,0.0022912053,0.0016618378,0.0018315553,1.1021264,1.7E-4,0.022677258,0.016540714,0.016776744,1.0142697,2.4E-4
6.1,3.7353202E-5,3.187313E-5,8.1871534E-5,2.5686696,5.0E-5,1.6007533E-4,1.3659251E-4,2.465775E-4,1.805205,1.1E-4,0.0019471749,0.0016618378,0.0018315553,1.1021264,1.7E-4,0.019302014,0.016540714,0.016776744,1.0142697,2.4E-4
6.2,3.3633605E-5,2.776464E-5,6.776353E-5,2.4406414,4.0E-5,1.4413605E-4,1.1898637E-4,2.0897566E-4,1.7562991,9.0E-5,0.0017534439,0.00144778,0.0015476353,1.0689713,1.0E-4,0.017396728,0.014426913,0.014574749,1.0102472,1.5E-4
6.3,3.0459405E-5,2.4399402E-5,5.4398668E-5,2.2295084,3.0E-5,1.3053378E-4,1.0456511E-4,1.8455675E-4,1.7649935,8.0E-5,0.0015880901,0.0012724138,0.0013622993,1.0706418,9.0E-5,0.01576789,0.01269258,0.012811057,1.0093343,1.2E-4
6.4,2.8078504E-5,2.2085127E-5,5.2084466E-5,2.3583503,3.0E-5,1.203309E-4,9.4647534E-5,1.7463996E-4,1.8451612,8.0E-5,0.0014640441,0.001151799,0.0012317068,1.0693766,8.0E-5,0.014544362,0.011497441,0.011606175,1.0094573,1.1E-4
6.5,2.6691412E-5,2.084074E-5,4.0840325E-5,1.9596388,2.0E-5,1.1438675E-4,8.931482E-5,1.5930856E-4,1.7836745,7.0E-5,0.0013917689,0.0010869391,0.0011568629,1.064331,7.0E-5,0.013830846,0.010854159,0.010953072,1.0091131,1.0E-4
6.6,2.207987E-5,1.7020257E-5,3.7019916E-5,2.1750505,2.0E-5,9.4624585E-5,7.2942305E-5,1.12939386E-4,1.5483387,4.0E-5,0.0011514454,8.8777934E-4,9.2774385E-4,1.0450163,4.0E-5,0.011454974,0.008874553,0.008943932,1.0078177,7.0E-5
6.7,1.9458053E-5,1.4790402E-5,3.4790104E-5,2.3522084,2.0E-5,8.338899E-5,6.338627E-5,1.0338374E-4,1.6310115,4.0E-5,0.001014788,7.7152194E-4,8.114911E-4,1.0518056,4.0E-5,0.010101665,0.007717409,0.007786869,1.0090004,7.0E-5
6.8,1.0767866E-5,8.548949E-6,1.8548864E-5,2.1697245,1.0E-5,4.614718E-5,3.6638165E-5,6.663706E-5,1.8187883,3.0E-5,5.6169706E-4,4.460356E-4,4.7602222E-4,1.0672292,3.0E-5,0.0056027942,0.004467897,0.0045077186,1.0089128,4.0E-5
6.9,2.1384765E-6,1.8007547E-6,1.8007547E-6,1.0,0.0,9.164866E-6,7.717499E-6,7.717499E-6,1.0,0.0,1.1157654E-4,9.39569E-5,9.39569E-5,1.0,0.0,0.0011152053,9.392104E-4,9.392104E-4,1.0,0.0
7.0,2.0952946E-6,1.7586021E-6,1.7586021E-6,1.0,0.0,8.979802E-6,7.5368466E-6,7.5368466E-6,1.0,0.0,1.0932361E-4,9.175763E-5,9.175763E-5,1.0,0.0,0.0010926984,9.172361E-4,9.172361E-4,1.0,0.0
7.1,1.7887576E-6,1.4588346E-6,1.4588346E-6,1.0,0.0,7.666081E-6,6.2521353E-6,6.2521353E-6,1.0,0.0,9.333054E-5,7.61174E-5,7.61174E-5,1.0,0.0,9.329135E-4,7.6094404E-4,7.6094404E-4,1.0,0.0
7.2,9.723109E-7,7.195651E-7,7.195651E-7,1.0,0.0,4.16704E-6,3.0838478E-6,3.0838478E-6,1.0,0.0,5.073253E-5,3.7545367E-5,3.7545367E-5,1.0,0.0,5.072095E-4,3.754068E-4,3.754068E-4,1.0,0.0
