Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.5467183E-5,1.6839378E-5,1.6839378E-5,1.0,0.0,6.6286244E-5,7.216708E-5,7.216708E-5,1.0,0.0,8.067362E-4,8.783352E-4,8.783352E-4,1.0,0.0,0.008038137,0.008754096,0.008764009,1.0011324,1.0E-5
6.1,1.5467183E-5,1.6839378E-5,1.6839378E-5,1.0,0.0,6.6286244E-5,7.216708E-5,7.216708E-5,1.0,0.0,8.067362E-4,8.783352E-4,8.783352E-4,1.0,0.0,0.008038137,0.008754096,0.008764009,1.0011324,1.0E-5
6.2,1.2624631E-5,1.3717474E-5,1.3717474E-5,1.0,0.0,5.410444E-5,5.8788122E-5,5.8788122E-5,1.0,0.0,6.585225E-4,7.1555935E-4,7.1555935E-4,1.0,0.0,0.0065657445,0.0071373763,0.007147305,1.001391,1.0E-5
6.3,1.2624631E-5,1.3717474E-5,1.3717474E-5,1.0,0.0,5.410444E-5,5.8788122E-5,5.8788122E-5,1.0,0.0,6.585225E-4,7.1555935E-4,7.1555935E-4,1.0,0.0,0.0065657445,0.0071373763,0.007147305,1.001391,1.0E-5
6.4,9.417684E-6,1.0195626E-5,1.0195626E-5,1.0,0.0,4.036088E-5,4.369504E-5,4.369504E-5,1.0,0.0,4.912829E-4,5.318986E-4,5.318986E-4,1.0,0.0,0.004901982,0.0053103147,0.005320261,1.0018731,1.0E-5
6.5,9.368219E-6,1.0142949E-5,1.0142949E-5,1.0,0.0,4.014889E-5,4.3469292E-5,4.3469292E-5,1.0,0.0,4.8870314E-4,5.291514E-4,5.291514E-4,1.0,0.0,0.004876298,0.0052829734,0.005292921,1.0018829,1.0E-5
6.6,7.803798E-6,8.463477E-6,8.463477E-6,1.0,0.0,3.3444423E-5,3.6271766E-5,3.6271766E-5,1.0,0.0,4.0710976E-4,4.4155942E-4,4.4155942E-4,1.0,0.0,0.0040636472,0.0044107605,0.0044207163,1.0022572,1.0E-5
6.7,2.3108669E-6,2.4482279E-6,2.4482279E-6,1.0,0.0,9.903678E-6,1.0492365E-5,1.0492365E-5,1.0,0.0,1.205706E-4,1.2773724E-4,1.2773724E-4,1.0,0.0,0.001205052,0.0012766569,0.001286644,1.007823,1.0E-5
6.8,2.0882828E-6,2.2101763E-6,2.2101763E-6,1.0,0.0,8.949753E-6,9.47215E-6,9.47215E-6,1.0,0.0,1.08957785E-4,1.15317496E-4,1.15317496E-4,1.0,0.0,0.0010890438,0.0011525935,0.001162582,1.008666,1.0E-5
6.9,1.876935E-6,1.9844824E-6,1.9844824E-6,1.0,0.0,8.043982E-6,8.504898E-6,8.504898E-6,1.0,0.0,9.7931086E-5,1.0354237E-4,1.0354237E-4,1.0,0.0,9.788794E-4,0.0010349574,0.001044947,1.0096523,1.0E-5
7.0,1.5357559E-6,1.6230651E-6,1.6230651E-6,1.0,0.0,6.5817944E-6,6.9559756E-6,6.9559756E-6,1.0,0.0,8.01304E-5,8.468584E-5,8.468584E-5,1.0,0.0,8.010151E-4,8.465481E-4,8.565397E-4,1.0118027,1.0E-5
7.1,1.0905424E-6,1.1517113E-6,1.1517113E-6,1.0,0.0,4.6737446E-6,4.935897E-6,4.935897E-6,1.0,0.0,5.6901354E-5,6.0092985E-5,6.0092985E-5,1.0,0.0,5.6886784E-4,6.0077716E-4,6.107712E-4,1.0166351,1.0E-5
7.2,6.06668E-7,6.397814E-7,6.397814E-7,1.0,0.0,2.600003E-6,2.7419178E-6,2.7419178E-6,1.0,0.0,3.1654577E-5,3.3382406E-5,3.3382406E-5,1.0,0.0,3.1650066E-4,3.337808E-4,3.337808E-4,1.0,0.0
