Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.1876025E-5,3.726775E-5,4.7267375E-5,1.2683185,1.0E-5,1.3660437E-4,1.5971193E-4,1.6971033E-4,1.0626028,1.0E-5,0.0016618895,0.0019432352,0.0019731768,1.0154082,3.0E-5,0.016495159,0.01930923,0.01933865,1.0015236,3.0E-5
6.1,3.1876025E-5,3.726775E-5,4.7267375E-5,1.2683185,1.0E-5,1.3660437E-4,1.5971193E-4,1.6971033E-4,1.0626028,1.0E-5,0.0016618895,0.0019432352,0.0019731768,1.0154082,3.0E-5,0.016495159,0.01930923,0.01933865,1.0015236,3.0E-5
6.2,3.1876025E-5,3.726775E-5,4.7267375E-5,1.2683185,1.0E-5,1.3660437E-4,1.5971193E-4,1.6971033E-4,1.0626028,1.0E-5,0.0016618895,0.0019432352,0.0019731768,1.0154082,3.0E-5,0.016495159,0.01930923,0.01933865,1.0015236,3.0E-5
6.3,3.1876025E-5,3.726775E-5,4.7267375E-5,1.2683185,1.0E-5,1.3660437E-4,1.5971193E-4,1.6971033E-4,1.0626028,1.0E-5,0.0016618895,0.0019432352,0.0019731768,1.0154082,3.0E-5,0.016495159,0.01930923,0.01933865,1.0015236,3.0E-5
6.4,1.9273462E-5,2.1309323E-5,2.1309323E-5,1.0,0.0,8.259794E-5,9.132346E-5,9.132346E-5,1.0,0.0,0.001005166,0.0011114691,0.0011314468,1.0179743,2.0E-5,0.010006315,0.011076062,0.0110958405,1.0017858,2.0E-5
6.5,1.9273462E-5,2.1309323E-5,2.1309323E-5,1.0,0.0,8.259794E-5,9.132346E-5,9.132346E-5,1.0,0.0,0.001005166,0.0011114691,0.0011314468,1.0179743,2.0E-5,0.010006315,0.011076062,0.0110958405,1.0017858,2.0E-5
6.6,9.813258E-6,9.693422E-6,9.693422E-6,1.0,0.0,4.205614E-5,4.1542615E-5,4.1542615E-5,1.0,0.0,5.119132E-4,5.0567125E-4,5.156662E-4,1.0197657,1.0E-5,0.005107356,0.0050459355,0.005055885,1.0019718,1.0E-5
6.7,9.801478E-6,9.680968E-6,9.680968E-6,1.0,0.0,4.2005657E-5,4.1489246E-5,4.1489246E-5,1.0,0.0,5.112989E-4,5.050218E-4,5.150167E-4,1.0197911,1.0E-5,0.0051012407,0.0050394703,0.00504942,1.0019743,1.0E-5
6.8,8.102489E-6,7.794505E-6,7.794505E-6,1.0,0.0,3.4724493E-5,3.3404624E-5,3.3404624E-5,1.0,0.0,4.2268867E-4,4.0663042E-4,4.1662634E-4,1.0245824,1.0E-5,0.004218856,0.0040593618,0.004069321,1.0024534,1.0E-5
6.9,6.08275E-6,5.4932975E-6,5.4932975E-6,1.0,0.0,2.6068668E-5,2.3542496E-5,2.3542496E-5,1.0,0.0,3.173398E-4,2.8659296E-4,2.8659296E-4,1.0,0.0,0.0031688702,0.0028623117,0.0028623117,1.0,0.0
7.0,5.5995934E-6,4.9932282E-6,4.9932282E-6,1.0,0.0,2.3998036E-5,2.1399377E-5,2.1399377E-5,1.0,0.0,2.9213692E-4,2.6050696E-4,2.6050696E-4,1.0,0.0,0.0029175316,0.0026020834,0.0026020834,1.0,0.0
7.1,4.709881E-6,4.0954255E-6,4.0954255E-6,1.0,0.0,2.0185047E-5,1.7551707E-5,1.7551707E-5,1.0,0.0,2.4572524E-4,2.1367149E-4,2.1367149E-4,1.0,0.0,0.002454537,0.0021347022,0.0021347022,1.0,0.0
