Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.3783202E-5,1.4742077E-5,1.4742077E-5,1.0,0.0,5.906953E-5,6.31789E-5,6.31789E-5,1.0,0.0,7.189342E-4,7.6894916E-4,7.789415E-4,1.0129948,1.0E-5,0.0071661277,0.007664649,0.0076745725,1.0012947,1.0E-5
6.1,1.3783202E-5,1.4742077E-5,1.4742077E-5,1.0,0.0,5.906953E-5,6.31789E-5,6.31789E-5,1.0,0.0,7.189342E-4,7.6894916E-4,7.789415E-4,1.0129948,1.0E-5,0.0071661277,0.007664649,0.0076745725,1.0012947,1.0E-5
6.2,1.3783202E-5,1.4742077E-5,1.4742077E-5,1.0,0.0,5.906953E-5,6.31789E-5,6.31789E-5,1.0,0.0,7.189342E-4,7.6894916E-4,7.789415E-4,1.0129948,1.0E-5,0.0071661277,0.007664649,0.0076745725,1.0012947,1.0E-5
6.3,1.10494875E-5,1.1817979E-5,1.1817979E-5,1.0,0.0,4.7354086E-5,5.0647555E-5,5.0647555E-5,1.0,0.0,5.763835E-4,6.1646994E-4,6.264638E-4,1.0162114,1.0E-5,0.005748908,0.0061486433,0.006158582,1.0016164,1.0E-5
6.4,1.10494875E-5,1.1817979E-5,1.1817979E-5,1.0,0.0,4.7354086E-5,5.0647555E-5,5.0647555E-5,1.0,0.0,5.763835E-4,6.1646994E-4,6.264638E-4,1.0162114,1.0E-5,0.005748908,0.0061486433,0.006158582,1.0016164,1.0E-5
6.5,9.788949E-6,1.0476566E-5,1.0476566E-5,1.0,0.0,4.1951964E-5,4.4898847E-5,4.4898847E-5,1.0,0.0,5.1064545E-4,5.465157E-4,5.5651023E-4,1.0182878,1.0E-5,0.0050947363,0.0054526473,0.005462593,1.001824,1.0E-5
6.6,8.810006E-6,9.433823E-6,9.433823E-6,1.0,0.0,3.775662E-5,4.0430095E-5,4.0430095E-5,1.0,0.0,4.5958988E-4,4.9213413E-4,5.0212926E-4,1.0203097,1.0E-5,0.0045864056,0.004911329,0.00492128,1.0020261,1.0E-5
6.7,8.80128E-6,9.424276E-6,9.424276E-6,1.0,0.0,3.7719226E-5,4.038918E-5,4.038918E-5,1.0,0.0,4.591348E-4,4.916362E-4,5.016313E-4,1.0203302,1.0E-5,0.004581874,0.0049063717,0.004916323,1.0020281,1.0E-5
6.8,6.8994877E-6,7.396175E-6,7.396175E-6,1.0,0.0,2.9568899E-5,3.1697553E-5,3.1697553E-5,1.0,0.0,3.5994186E-4,3.858576E-4,3.958537E-4,1.0259063,1.0E-5,0.003593594,0.0038526845,0.003862646,1.0025856,1.0E-5
6.9,4.9328037E-6,5.282279E-6,5.282279E-6,1.0,0.0,2.1140417E-5,2.2638176E-5,2.2638176E-5,1.0,0.0,2.5735417E-4,2.755911E-4,2.8558835E-4,1.0362756,1.0E-5,0.0025705635,0.002753101,0.0027630737,1.0036223,1.0E-5
7.0,3.347973E-6,3.5981614E-6,3.5981614E-6,1.0,0.0,1.4348378E-5,1.5420623E-5,1.5420623E-5,1.0,0.0,1.746775E-4,1.8773404E-4,1.8773404E-4,1.0,0.0,0.0017454025,0.0018761586,0.0018761586,1.0,0.0
7.1,1.2073567E-6,1.2963637E-6,1.2963637E-6,1.0,0.0,5.1743755E-6,5.5558417E-6,5.5558417E-6,1.0,0.0,6.29962E-5,6.7641915E-5,6.7641915E-5,1.0,0.0,6.297835E-4,6.763741E-4,6.763741E-4,1.0,0.0
