Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.0320643E-5,6.6738015E-5,6.6738015E-5,1.0,0.0,2.1564208E-4,2.8598966E-4,2.8598966E-4,1.0,0.0,0.0026222812,0.003477238,0.0034872033,1.0028658,1.0E-5,0.02591553,0.034330446,0.034340102,1.0002813,1.0E-5
6.1,5.0320643E-5,6.6738015E-5,6.6738015E-5,1.0,0.0,2.1564208E-4,2.8598966E-4,2.8598966E-4,1.0,0.0,0.0026222812,0.003477238,0.0034872033,1.0028658,1.0E-5,0.02591553,0.034330446,0.034340102,1.0002813,1.0E-5
6.2,2.4125871E-5,3.099886E-5,3.099886E-5,1.0,0.0,1.0339249E-4,1.3284669E-4,1.3284669E-4,1.0,0.0,0.0012580766,0.0016163774,0.0016263613,1.0061767,1.0E-5,0.012509781,0.01607997,0.01608981,1.0006119,1.0E-5
6.3,1.7433485E-5,2.229791E-5,2.229791E-5,1.0,0.0,7.471279E-5,9.555988E-5,9.555988E-5,1.0,0.0,9.0924866E-4,0.0011629586,0.0011729469,1.0085888,1.0E-5,0.009055373,0.01159952,0.011609404,1.0008521,1.0E-5
6.4,1.7433485E-5,2.229791E-5,2.229791E-5,1.0,0.0,7.471279E-5,9.555988E-5,9.555988E-5,1.0,0.0,9.0924866E-4,0.0011629586,0.0011729469,1.0085888,1.0E-5,0.009055373,0.01159952,0.011609404,1.0008521,1.0E-5
6.5,1.5182742E-5,1.9345296E-5,1.9345296E-5,1.0,0.0,6.506727E-5,8.290665E-5,8.290665E-5,1.0,0.0,7.919061E-4,0.0010090566,0.0010090566,1.0,0.0,0.0078909,0.010075493,0.010075493,1.0,0.0
6.6,6.7271576E-6,8.368835E-6,8.368835E-6,1.0,0.0,2.8830356E-5,3.586597E-5,3.586597E-5,1.0,0.0,3.5095305E-4,4.3658592E-4,4.3658592E-4,1.0,0.0,0.0035039932,0.0043754955,0.0043754955,1.0,0.0
6.7,6.682835E-6,8.301208E-6,8.301208E-6,1.0,0.0,2.8640408E-5,3.557615E-5,3.557615E-5,1.0,0.0,3.4864116E-4,4.3305877E-4,4.3305877E-4,1.0,0.0,0.003480947,0.0043403744,0.0043403744,1.0,0.0
6.8,6.5774975E-6,8.147403E-6,8.147403E-6,1.0,0.0,2.8188972E-5,3.4917E-5,3.4917E-5,1.0,0.0,3.4314668E-4,4.2503673E-4,4.2503673E-4,1.0,0.0,0.0034261728,0.0042603742,0.0042603742,1.0,0.0
6.9,6.363419E-6,7.821842E-6,7.821842E-6,1.0,0.0,2.727151E-5,3.3521777E-5,3.3521777E-5,1.0,0.0,3.3198006E-4,4.0805637E-4,4.0805637E-4,1.0,0.0,0.0033148455,0.0040909895,0.0040909895,1.0,0.0
7.0,6.1342453E-6,7.4590253E-6,7.4590253E-6,1.0,0.0,2.6289357E-5,3.1966887E-5,3.1966887E-5,1.0,0.0,3.2002592E-4,3.8913242E-4,3.8913242E-4,1.0,0.0,0.0031956544,0.003902244,0.003902244,1.0,0.0
7.1,5.842926E-6,6.981909E-6,6.981909E-6,1.0,0.0,2.504087E-5,2.992215E-5,2.992215E-5,1.0,0.0,3.0482994E-4,3.6424625E-4,3.6424625E-4,1.0,0.0,0.0030441214,0.0036539773,0.0036539773,1.0,0.0
7.2,4.77173E-6,5.245806E-6,5.245806E-6,1.0,0.0,2.045011E-5,2.2481852E-5,2.2481852E-5,1.0,0.0,2.4895166E-4,2.7368584E-4,2.7368584E-4,1.0,0.0,0.0024867293,0.0027494233,0.0027494233,1.0,0.0
