Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.5157413E-5,1.586831E-5,2.586815E-5,1.6301768,1.0E-5,6.4958724E-5,6.8005415E-5,7.8004734E-5,1.1470371,1.0E-5,7.905855E-4,8.276766E-4,8.4766006E-4,1.024144,2.0E-5,0.007877788,0.008248469,0.008268304,1.0024047,2.0E-5
6.1,1.5157413E-5,1.586831E-5,2.586815E-5,1.6301768,1.0E-5,6.4958724E-5,6.8005415E-5,7.8004734E-5,1.1470371,1.0E-5,7.905855E-4,8.276766E-4,8.4766006E-4,1.024144,2.0E-5,0.007877788,0.008248469,0.008268304,1.0024047,2.0E-5
6.2,1.5157413E-5,1.586831E-5,2.586815E-5,1.6301768,1.0E-5,6.4958724E-5,6.8005415E-5,7.8004734E-5,1.1470371,1.0E-5,7.905855E-4,8.276766E-4,8.4766006E-4,1.024144,2.0E-5,0.007877788,0.008248469,0.008268304,1.0024047,2.0E-5
6.3,1.5157413E-5,1.586831E-5,2.586815E-5,1.6301768,1.0E-5,6.4958724E-5,6.8005415E-5,7.8004734E-5,1.1470371,1.0E-5,7.905855E-4,8.276766E-4,8.4766006E-4,1.024144,2.0E-5,0.007877788,0.008248469,0.008268304,1.0024047,2.0E-5
6.4,1.3941944E-5,1.4507991E-5,2.4507846E-5,1.6892653,1.0E-5,5.9749822E-5,6.217576E-5,7.2175135E-5,1.1608244,1.0E-5,7.2721124E-4,7.567504E-4,7.7673525E-4,1.0264088,2.0E-5,0.007248361,0.007544078,0.0075639267,1.0026311,2.0E-5
6.5,1.3941944E-5,1.4507991E-5,2.4507846E-5,1.6892653,1.0E-5,5.9749822E-5,6.217576E-5,7.2175135E-5,1.1608244,1.0E-5,7.2721124E-4,7.567504E-4,7.7673525E-4,1.0264088,2.0E-5,0.007248361,0.007544078,0.0075639267,1.0026311,2.0E-5
6.6,1.0542609E-5,1.071104E-5,2.0710933E-5,1.9336061,1.0E-5,4.5181827E-5,4.590368E-5,5.590322E-5,1.2178375,1.0E-5,5.499499E-4,5.5873947E-4,5.7872833E-4,1.0357748,2.0E-5,0.005485909,0.0055739046,0.0055937935,1.0035682,2.0E-5
6.7,1.0542609E-5,1.071104E-5,2.0710933E-5,1.9336061,1.0E-5,4.5181827E-5,4.590368E-5,5.590322E-5,1.2178375,1.0E-5,5.499499E-4,5.5873947E-4,5.7872833E-4,1.0357748,2.0E-5,0.005485909,0.0055739046,0.0055937935,1.0035682,2.0E-5
6.8,1.0079132E-5,1.0215516E-5,2.0215415E-5,1.978893,1.0E-5,4.3195567E-5,4.378008E-5,5.3779644E-5,1.2284044,1.0E-5,5.257791E-4,5.3289754E-4,5.5288686E-4,1.0375106,2.0E-5,0.0052453685,0.0053167427,0.005336636,1.0037417,2.0E-5
6.9,7.721598E-6,7.5782546E-6,1.7578179E-5,2.319555,1.0E-5,3.3092143E-5,3.2477838E-5,4.2477513E-5,1.3078923,1.0E-5,4.0282236E-4,3.9534713E-4,4.053432E-4,1.0252842,1.0E-5,0.0040209293,0.003946565,0.0039565256,1.0025239,1.0E-5
7.0,7.137566E-6,6.9388134E-6,1.6938744E-5,2.4411585,1.0E-5,3.058921E-5,2.9737439E-5,3.973714E-5,1.3362664,1.0E-5,3.7236E-4,3.6199426E-4,3.7199064E-4,1.0276147,1.0E-5,0.0037173668,0.0036141572,0.0036241212,1.002757,1.0E-5
7.1,5.654976E-6,5.3226613E-6,1.5322608E-5,2.8787494,1.0E-5,2.4235387E-5,2.2811208E-5,3.2810978E-5,1.4383711,1.0E-5,2.9502588E-4,2.7769126E-4,2.8768848E-4,1.0360012,1.0E-5,0.0029463451,0.0027734663,0.0027834387,1.0035956,1.0E-5
7.2,4.9358455E-6,4.547894E-6,1.4547849E-5,3.1988099,1.0E-5,2.1153453E-5,1.949083E-5,2.9490635E-5,1.5130517,1.0E-5,2.5751285E-4,2.3727516E-4,2.4727278E-4,1.0421351,1.0E-5,0.0025721465,0.0023702327,0.002380209,1.004209,1.0E-5
7.3,4.2368597E-6,3.8258695E-6,1.3825831E-5,3.6137748,1.0E-5,1.8157843E-5,1.6396481E-5,2.6396317E-5,1.6098769,1.0E-5,2.2104931E-4,1.9960898E-4,2.09607E-4,1.0500879,1.0E-5,0.0022082955,0.001994308,0.0020042881,1.0050043,1.0E-5
7.4,3.4999923E-6,3.062471E-6,1.306244E-5,4.265327,1.0E-5,1.49998805E-5,1.312481E-5,2.312468E-5,1.7619058,1.0E-5,1.8260824E-4,1.5978293E-4,1.6978133E-4,1.0625749,1.0E-5,0.0018245826,0.0015966885,0.0016066725,1.006253,1.0E-5
7.5,2.738017E-6,2.318555E-6,1.2318532E-5,5.3130207,1.0E-5,1.1734306E-5,9.936628E-6,1.9936528E-5,2.0063677,1.0E-5,1.428558E-4,1.20971796E-4,1.3097058E-4,1.0826539,1.0E-5,0.0014276401,0.0012090661,0.001219054,1.0082608,1.0E-5
7.6,1.8186392E-6,1.4539118E-6,1.4539118E-6,1.0,0.0,7.794145E-6,6.2310355E-6,6.2310355E-6,1.0,0.0,9.488958E-5,7.586026E-5,7.586026E-5,1.0,0.0,9.4849075E-4,7.5834745E-4,7.5834745E-4,1.0,0.0
7.7,1.0660348E-6,7.745724E-7,7.745724E-7,1.0,0.0,4.5687125E-6,3.319592E-6,3.319592E-6,1.0,0.0,5.5622655E-5,4.04153E-5,4.04153E-5,1.0,0.0,5.5608735E-4,4.040809E-4,4.040809E-4,1.0,0.0
7.8,6.913602E-7,4.411858E-7,4.411858E-7,1.0,0.0,2.962969E-6,1.8907949E-6,1.8907949E-6,1.0,0.0,3.607355E-5,2.3020191E-5,2.3020191E-5,1.0,0.0,3.6067693E-4,2.3017959E-4,2.3017959E-4,1.0,0.0
7.9,7.425201E-8,5.5491114E-8,5.5491114E-8,1.0,0.0,3.1822285E-7,2.3781904E-7,2.3781904E-7,1.0,0.0,3.874356E-6,2.8954444E-6,2.8954444E-6,1.0,0.0,3.8742884E-5,2.895421E-5,2.895421E-5,1.0,0.0
