Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,9.168226E-5,1.9679719E-4,2.8677948E-4,1.4572335,9.0E-5,3.928648E-4,8.4314414E-4,9.7303453E-4,1.1540548,1.3E-4,0.0047726436,0.010217104,0.010395265,1.0174375,1.8E-4,0.046714354,0.09921127,0.099382415,1.0017251,1.9E-4
6.1,9.168226E-5,1.9679719E-4,2.8677948E-4,1.4572335,9.0E-5,3.928648E-4,8.4314414E-4,9.7303453E-4,1.1540548,1.3E-4,0.0047726436,0.010217104,0.010395265,1.0174375,1.8E-4,0.046714354,0.09921127,0.099382415,1.0017251,1.9E-4
6.2,9.168226E-5,1.9679719E-4,2.8677948E-4,1.4572335,9.0E-5,3.928648E-4,8.4314414E-4,9.7303453E-4,1.1540548,1.3E-4,0.0047726436,0.010217104,0.010395265,1.0174375,1.8E-4,0.046714354,0.09921127,0.099382415,1.0017251,1.9E-4
6.3,9.168226E-5,1.9679719E-4,2.8677948E-4,1.4572335,9.0E-5,3.928648E-4,8.4314414E-4,9.7303453E-4,1.1540548,1.3E-4,0.0047726436,0.010217104,0.010395265,1.0174375,1.8E-4,0.046714354,0.09921127,0.099382415,1.0017251,1.9E-4
6.4,9.1639464E-5,1.967315E-4,2.867138E-4,1.4573863,9.0E-5,3.9268145E-4,8.428628E-4,9.727533E-4,1.1541063,1.3E-4,0.0047704205,0.010213711,0.010391872,1.0174434,1.8E-4,0.046693064,0.09918068,0.09935184,1.0017257,1.9E-4
6.5,9.1639464E-5,1.967315E-4,2.867138E-4,1.4573863,9.0E-5,3.9268145E-4,8.428628E-4,9.727533E-4,1.1541063,1.3E-4,0.0047704205,0.010213711,0.010391872,1.0174434,1.8E-4,0.046693064,0.09918068,0.09935184,1.0017257,1.9E-4
6.6,9.042622E-5,1.9485225E-4,2.848347E-4,1.4617984,9.0E-5,3.8748336E-4,8.3481404E-4,9.647055E-4,1.1555933,1.3E-4,0.0047074095,0.010116629,0.010294808,1.0176125,1.8E-4,0.046089325,0.09830357,0.09847489,1.0017428,1.9E-4
6.7,8.9836685E-5,1.9402713E-4,2.8400967E-4,1.4637626,9.0E-5,3.8495753E-4,8.312801E-4,9.61172E-4,1.1562554,1.3E-4,0.00467679,0.010074002,0.010252188,1.0176878,1.8E-4,0.045795817,0.09791512,0.09808651,1.0017505,1.9E-4
6.8,8.9471854E-5,1.9351127E-4,2.8349386E-4,1.4649992,9.0E-5,3.8339442E-4,8.2907063E-4,9.5896283E-4,1.1566721,1.3E-4,0.004657841,0.01004735,0.010225541,1.0177351,1.8E-4,0.04561414,0.09767085,0.09784229,1.0017554,1.9E-4
6.9,8.858234E-5,1.9237067E-4,2.8235334E-4,1.4677567,9.0E-5,3.7958333E-4,8.2418544E-4,9.5407834E-4,1.1576015,1.3E-4,0.004611638,0.009988419,0.010166621,1.0178409,1.8E-4,0.04517103,0.09713331,0.09730486,1.0017661,1.9E-4
