Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.482615E-5,2.3012068E-5,3.301184E-5,1.4345446,1.0E-5,1.9209793E-4,9.861947E-5,1.08618486E-4,1.1013899,1.0E-5,0.0023362834,0.0012000413,0.0012200173,1.0166461,2.0E-5,0.02311874,0.01246631,0.01248606,1.0015843,2.0E-5
6.1,4.482615E-5,2.3012068E-5,3.301184E-5,1.4345446,1.0E-5,1.9209793E-4,9.861947E-5,1.08618486E-4,1.1013899,1.0E-5,0.0023362834,0.0012000413,0.0012200173,1.0166461,2.0E-5,0.02311874,0.01246631,0.01248606,1.0015843,2.0E-5
6.2,4.482615E-5,2.3012068E-5,3.301184E-5,1.4345446,1.0E-5,1.9209793E-4,9.861947E-5,1.08618486E-4,1.1013899,1.0E-5,0.0023362834,0.0012000413,0.0012200173,1.0166461,2.0E-5,0.02311874,0.01246631,0.01248606,1.0015843,2.0E-5
6.3,4.482615E-5,2.3012068E-5,3.301184E-5,1.4345446,1.0E-5,1.9209793E-4,9.861947E-5,1.08618486E-4,1.1013899,1.0E-5,0.0023362834,0.0012000413,0.0012200173,1.0166461,2.0E-5,0.02311874,0.01246631,0.01248606,1.0015843,2.0E-5
6.4,4.482615E-5,2.3012068E-5,3.301184E-5,1.4345446,1.0E-5,1.9209793E-4,9.861947E-5,1.08618486E-4,1.1013899,1.0E-5,0.0023362834,0.0012000413,0.0012200173,1.0166461,2.0E-5,0.02311874,0.01246631,0.01248606,1.0015843,2.0E-5
6.5,3.7294863E-5,1.8994215E-5,2.8994024E-5,1.5264661,1.0E-5,1.5982533E-4,8.140127E-5,9.140045E-5,1.1228383,1.0E-5,0.0019441366,9.906151E-4,0.0010105952,1.0201695,2.0E-5,0.01927216,0.010344829,0.010364622,1.0019133,2.0E-5
6.6,3.7294863E-5,1.8994215E-5,2.8994024E-5,1.5264661,1.0E-5,1.5982533E-4,8.140127E-5,9.140045E-5,1.1228383,1.0E-5,0.0019441366,9.906151E-4,0.0010105952,1.0201695,2.0E-5,0.01927216,0.010344829,0.010364622,1.0019133,2.0E-5
6.7,3.6039248E-5,1.8201956E-5,2.8201774E-5,1.5493815,1.0E-5,1.5444479E-4,7.800607E-5,8.80053E-5,1.1281852,1.0E-5,0.0018787434,9.49315E-4,9.692961E-4,1.0210478,2.0E-5,0.01862939,0.009923884,0.0099436855,1.0019953,2.0E-5
6.8,3.5031844E-5,1.7799337E-5,2.7799158E-5,1.5618087,1.0E-5,1.5012783E-4,7.628067E-5,8.6279906E-5,1.1310848,1.0E-5,0.0018262739,9.283262E-4,9.483077E-4,1.0215242,2.0E-5,0.01811338,0.009706942,0.009726748,1.0020404,2.0E-5
6.9,3.435112E-5,1.7612218E-5,2.7612043E-5,1.5677776,1.0E-5,1.4721078E-4,7.5478776E-5,8.547802E-5,1.1324775,1.0E-5,0.0017908178,9.185715E-4,9.3855313E-4,1.021753,2.0E-5,0.017764548,0.009607123,0.009626931,1.0020618,2.0E-5
7.0,2.8959772E-5,1.571925E-5,2.5719093E-5,1.6361526,1.0E-5,1.241074E-4,6.736649E-5,7.736582E-5,1.1484318,1.0E-5,0.0015099603,8.198817E-4,8.398653E-4,1.0243738,2.0E-5,0.014997416,0.008593208,0.008613036,1.0023074,2.0E-5
7.1,2.6002877E-5,1.4079112E-5,2.407897E-5,1.7102621,1.0E-5,1.11436144E-4,6.033767E-5,7.033707E-5,1.1657239,1.0E-5,0.0013558907,7.34366E-4,7.543513E-4,1.0272144,2.0E-5,0.013476475,0.0077045285,0.0077243745,1.0025759,2.0E-5
7.2,2.2544838E-5,1.2370962E-5,2.237084E-5,1.8083345,1.0E-5,9.661716E-5,5.3017342E-5,6.3016814E-5,1.1886076,1.0E-5,0.001175679,6.4529665E-4,6.6528376E-4,1.0309736,2.0E-5,0.011694785,0.006779798,0.0067996625,1.0029299,2.0E-5
7.3,1.75334E-5,1.1835098E-5,2.183498E-5,1.8449345,1.0E-5,7.514098E-5,5.072087E-5,6.0720362E-5,1.1971475,1.0E-5,9.144575E-4,6.1735325E-4,6.373409E-4,1.0323764,2.0E-5,0.009107036,0.0064758845,0.006495755,1.0030683,2.0E-5
