Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,3.32319,0.0,7.0,1.0,1.0,0.70939,3.4E-4,1.13219
2.6,2.64316,0.0,6.0,1.0,0.0,0.63086,3.4E-4,0.90203
2.7,2.10428,0.0,5.0,1.0,0.0,0.5516,3.4E-4,0.71917
2.8,1.6713,0.0,5.0,0.0,0.0,0.47597,3.4E-4,0.57259
2.9,1.32838,0.0,4.0,0.0,0.0,0.40698,3.4E-4,0.45499
3.0,1.05575,0.0,3.0,0.0,0.0,0.34412,3.4E-4,0.3624
3.1,0.83774,0.0,3.0,0.0,0.0,0.28791,3.4E-4,0.28742
3.2,0.66492,0.0,2.0,0.0,0.0,0.23936,3.4E-4,0.22855
3.3,0.52807,0.0,2.0,0.0,0.0,0.19695,3.4E-4,0.18116
3.4,0.41755,0.0,2.0,0.0,0.0,0.16102,3.4E-4,0.14289
3.5,0.33126,0.0,2.0,0.0,0.0,0.13152,3.4E-4,0.11279
3.6,0.26295,0.0,1.0,0.0,0.0,0.10763,3.4E-4,0.08977
3.7,0.20942,0.0,1.0,0.0,0.0,0.08807,3.4E-4,0.07129
3.8,0.16579,0.0,1.0,0.0,0.0,0.07123,3.4E-4,0.05645
3.9,0.13174,0.0,1.0,0.0,0.0,0.05745,3.4E-4,0.04441
4.0,0.10431,0.0,1.0,0.0,0.0,0.04667,3.4E-4,0.03529
4.1,0.08313,0.0,1.0,0.0,0.0,0.03775,3.4E-4,0.02809
4.2,0.06656,0.0,1.0,0.0,0.0,0.03041,3.4E-4,0.02217
4.3,0.05269,0.0,0.0,0.0,0.0,0.02449,3.4E-4,0.01762
4.4,0.04172,0.0,0.0,0.0,0.0,0.0195,3.4E-4,0.0139
4.5,0.03268,0.0,0.0,0.0,0.0,0.01557,3.4E-4,0.01082
4.6,0.02571,0.0,0.0,0.0,0.0,0.01248,3.4E-4,0.00855
4.7,0.02013,0.0,0.0,0.0,0.0,0.00987,3.4E-4,0.00662
4.8,0.01572,0.0,0.0,0.0,0.0,0.00786,3.4E-4,0.00513
4.9,0.01247,0.0,0.0,0.0,0.0,0.00627,3.4E-4,0.00391
5.0,0.00961,0.0,0.0,0.0,0.0,0.005,3.4E-4,0.00301
5.1,0.0075,0.0,0.0,0.0,0.0,0.00397,3.4E-4,0.00239
5.2,0.0061,0.0,0.0,0.0,0.0,0.00319,3.4E-4,0.00188
5.3,0.00488,0.0,0.0,0.0,0.0,0.00254,3.4E-4,0.00147
5.4,0.00378,0.0,0.0,0.0,0.0,0.00195,3.4E-4,0.00113
5.5,0.00296,0.0,0.0,0.0,0.0,0.0016,3.4E-4,8.6E-4
5.6,0.0023,0.0,0.0,0.0,0.0,0.0013,3.4E-4,7.2E-4
5.7,0.00178,0.0,0.0,0.0,0.0,0.00105,3.4E-4,5.8E-4
5.8,0.00132,0.0,0.0,0.0,0.0,8.2E-4,3.4E-4,4.7E-4
5.9,9.8E-4,0.0,0.0,0.0,0.0,7.2E-4,3.4E-4,4.0E-4
6.0,7.2E-4,0.0,0.0,0.0,0.0,5.8E-4,3.4E-4,2.9E-4
6.1,5.9E-4,0.0,0.0,0.0,0.0,4.9E-4,3.4E-4,2.2E-4
6.2,4.6E-4,0.0,0.0,0.0,0.0,3.8E-4,3.4E-4,1.6E-4
6.3,3.9E-4,0.0,0.0,0.0,0.0,3.4E-4,3.2E-4,1.3E-4
6.4,3.5E-4,0.0,0.0,0.0,0.0,3.3E-4,3.2E-4,1.3E-4
6.5,3.0E-4,0.0,0.0,0.0,0.0,2.9E-4,2.9E-4,1.2E-4
6.6,1.9E-4,0.0,0.0,0.0,0.0,1.8E-4,1.8E-4,6.0E-5
6.7,1.3E-4,0.0,0.0,0.0,0.0,1.2E-4,1.2E-4,6.0E-5
6.8,1.3E-4,0.0,0.0,0.0,0.0,1.2E-4,1.2E-4,6.0E-5
6.9,9.0E-5,0.0,0.0,0.0,0.0,9.0E-5,9.0E-5,4.0E-5
7.0,7.0E-5,0.0,0.0,0.0,0.0,7.0E-5,7.0E-5,4.0E-5
7.1,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,6.0E-5,3.0E-5
7.2,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,6.0E-5,3.0E-5
7.3,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,2.0E-5
7.4,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,2.0E-5
7.5,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,2.0E-5
7.6,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,3.0E-5,2.0E-5
7.7,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,1.0E-5
7.8,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,1.0E-5
7.9,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.0,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
