Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1706121730380,ci39756146,1.27,33.713665,-117.35183,2.71
1706110664690,ci39756026,1.22,33.775166,-117.54183,6.13
1706108647850,ci39755970,0.81,33.771667,-117.541664,7.22
1706088101020,ci39755850,0.79,34.028667,-117.12617,15.6
1706084779220,ci39755826,1.27,34.037167,-117.26017,16.78
1706082336420,ci39755810,0.68,34.118332,-116.93217,7.25
1706030493480,ci39755418,0.81,34.202835,-116.829666,10.28
1706027371960,ci40464431,1.39,34.135834,-117.33383,11.45
1706011712030,ci40464367,0.92,33.925167,-117.04383,16.45
1705990535720,ci40464319,0.71,34.150665,-117.47483,7.01
1705986110790,ci40464295,1.55,33.8795,-117.759834,11.09
1705946171000,ci40464111,1.05,34.048,-117.249,15.16
1705940648380,ci40464063,1.09,33.976334,-117.13133,14.76
1705907598480,ci40463951,1.49,34.202667,-117.52267,2.7
