Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,9.168226E-5,1.9701774E-4,1.9701774E-4,1.0,0.0,3.928648E-4,8.440888E-4,8.540803E-4,1.0118371,1.0E-5,0.0047726436,0.010228497,0.010277986,1.0048383,5.0E-5,0.046714354,0.09933417,0.09940622,1.0007254,8.0E-5
6.1,9.168226E-5,1.9701774E-4,1.9701774E-4,1.0,0.0,3.928648E-4,8.440888E-4,8.540803E-4,1.0118371,1.0E-5,0.0047726436,0.010228497,0.010277986,1.0048383,5.0E-5,0.046714354,0.09933417,0.09940622,1.0007254,8.0E-5
6.2,9.168226E-5,1.9701774E-4,1.9701774E-4,1.0,0.0,3.928648E-4,8.440888E-4,8.540803E-4,1.0118371,1.0E-5,0.0047726436,0.010228497,0.010277986,1.0048383,5.0E-5,0.046714354,0.09933417,0.09940622,1.0007254,8.0E-5
6.3,9.168226E-5,1.9701774E-4,1.9701774E-4,1.0,0.0,3.928648E-4,8.440888E-4,8.540803E-4,1.0118371,1.0E-5,0.0047726436,0.010228497,0.010277986,1.0048383,5.0E-5,0.046714354,0.09933417,0.09940622,1.0007254,8.0E-5
6.4,9.1639464E-5,1.9695207E-4,1.9695207E-4,1.0,0.0,3.9268145E-4,8.438075E-4,8.53799E-4,1.011841,1.0E-5,0.0047704205,0.010225104,0.010274593,1.0048399,5.0E-5,0.046693064,0.09930323,0.099375285,1.0007256,8.0E-5
6.5,9.1639464E-5,1.9695207E-4,1.9695207E-4,1.0,0.0,3.9268145E-4,8.438075E-4,8.53799E-4,1.011841,1.0E-5,0.0047704205,0.010225104,0.010274593,1.0048399,5.0E-5,0.046693064,0.09930323,0.099375285,1.0007256,8.0E-5
6.6,9.042622E-5,1.9507181E-4,1.9507181E-4,1.0,0.0,3.8748336E-4,8.357544E-4,8.457461E-4,1.0119553,1.0E-5,0.0047074095,0.010127972,0.010177465,1.0048869,5.0E-5,0.046089325,0.09842407,0.09849619,1.0007328,8.0E-5
6.7,8.9836685E-5,1.9424656E-4,1.9424656E-4,1.0,0.0,3.8495753E-4,8.322199E-4,8.4221154E-4,1.012006,1.0E-5,0.00467679,0.010085338,0.010134833,1.0049077,5.0E-5,0.045795817,0.098035604,0.098107755,1.000736,8.0E-5
6.8,8.9471854E-5,1.9373043E-4,1.9373043E-4,1.0,0.0,3.8339442E-4,8.3000935E-4,8.4000104E-4,1.0120381,1.0E-5,0.004657841,0.010058673,0.01010817,1.0049208,5.0E-5,0.04561414,0.09779198,0.09786416,1.000738,8.0E-5
6.9,8.858234E-5,1.9258955E-4,1.9258955E-4,1.0,0.0,3.7958333E-4,8.2512293E-4,8.351147E-4,1.0121094,1.0E-5,0.004611638,0.009999728,0.010049229,1.0049502,5.0E-5,0.04517103,0.09725414,0.09732637,1.0007426,8.0E-5
