Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.1064058E-4,6.927356E-4,7.8267325E-4,1.1298296,9.0E-5,0.0013306376,0.0029656182,0.003075292,1.0369817,1.1E-4,0.016080605,0.035478182,0.035671085,1.0054373,2.0E-4,0.1496549,0.29270318,0.29291537,1.0007249,3.0E-4
6.1,3.1064058E-4,6.927356E-4,7.8267325E-4,1.1298296,9.0E-5,0.0013306376,0.0029656182,0.003075292,1.0369817,1.1E-4,0.016080605,0.035478182,0.035671085,1.0054373,2.0E-4,0.1496549,0.29270318,0.29291537,1.0007249,3.0E-4
6.2,3.1064058E-4,6.927356E-4,7.8267325E-4,1.1298296,9.0E-5,0.0013306376,0.0029656182,0.003075292,1.0369817,1.1E-4,0.016080605,0.035478182,0.035671085,1.0054373,2.0E-4,0.1496549,0.29270318,0.29291537,1.0007249,3.0E-4
6.3,3.1064058E-4,6.927356E-4,7.8267325E-4,1.1298296,9.0E-5,0.0013306376,0.0029656182,0.003075292,1.0369817,1.1E-4,0.016080605,0.035478182,0.035671085,1.0054373,2.0E-4,0.1496549,0.29270318,0.29291537,1.0007249,3.0E-4
6.4,1.9872203E-4,4.4885094E-4,5.28815E-4,1.1781529,8.0E-5,8.5138786E-4,0.0019222574,0.0020120842,1.0467299,9.0E-5,0.010316478,0.02315869,0.023314985,1.0067488,1.6E-4,0.098504856,0.20352255,0.2037137,1.0009392,2.4E-4
6.5,1.291105E-4,3.0350787E-4,3.8348357E-4,1.2635046,8.0E-5,5.5321335E-4,0.0013001024,0.0013899854,1.0691353,9.0E-5,0.006714592,0.015714766,0.015872251,1.0100214,1.6E-4,0.065152965,0.14458361,0.14478037,1.0013608,2.3E-4
6.6,1.291105E-4,3.0350787E-4,3.8348357E-4,1.2635046,8.0E-5,5.5321335E-4,0.0013001024,0.0013899854,1.0691353,9.0E-5,0.006714592,0.015714766,0.015872251,1.0100214,1.6E-4,0.065152965,0.14458361,0.14478037,1.0013608,2.3E-4
6.7,1.08001186E-4,2.590151E-4,3.1899955E-4,1.2315867,6.0E-5,4.6278012E-4,0.001109593,0.0011795154,1.0630162,7.0E-5,0.0056198016,0.013425966,0.013564086,1.0102875,1.4E-4,0.054797906,0.12576915,0.12595275,1.0014597,2.1E-4
6.8,1.0624356E-4,2.5413453E-4,3.1411927E-4,1.2360355,6.0E-5,4.5525006E-4,0.001088694,0.0011586177,1.0642272,7.0E-5,0.0055285925,0.013174615,0.01331277,1.0104865,1.4E-4,0.053930566,0.123712696,0.12389672,1.0014875,2.1E-4
6.9,1.0393785E-4,2.477622E-4,2.8775228E-4,1.1614051,4.0E-5,4.4537184E-4,0.0010614063,0.0011113532,1.0470573,5.0E-5,0.0054089287,0.012846347,0.012964806,1.0092212,1.2E-4,0.05279156,0.12100318,0.12117019,1.0013802,1.9E-4
7.0,1.0155622E-4,2.4137073E-4,2.8136108E-4,1.1656802,4.0E-5,4.3516833E-4,0.0010340363,0.0010839846,1.0483042,5.0E-5,0.005285311,0.012516989,0.012635487,1.009467,1.2E-4,0.05161361,0.11825541,0.118405305,1.0012676,1.7E-4
7.1,9.885595E-5,2.3415609E-4,2.6414907E-4,1.1280897,3.0E-5,4.2359953E-4,0.0010031405,0.0010431004,1.0398347,4.0E-5,0.0051451353,0.012145082,0.012233988,1.0073204,9.0E-5,0.05027629,0.115132615,0.11524765,1.0009991,1.3E-4
7.2,9.6411415E-5,2.2769472E-4,2.576879E-4,1.1317253,3.0E-5,4.1312634E-4,9.7546994E-4,0.0010154309,1.0409659,4.0E-5,0.005018219,0.011811893,0.01190083,1.0075295,9.0E-5,0.049064007,0.11231328,0.11242868,1.0010275,1.3E-4
7.3,9.1180635E-5,2.0945608E-4,2.1945398E-4,1.0477327,1.0E-5,3.907156E-4,8.973602E-4,9.1734226E-4,1.0222676,2.0E-5,0.004746591,0.0108707715,0.010940011,1.0063692,7.0E-5,0.046464786,0.10436923,0.10446775,1.0009439,1.1E-4
7.4,8.887388E-5,2.0172574E-4,2.1172373E-4,1.0495622,1.0E-5,3.8083247E-4,8.6425256E-4,8.8423525E-4,1.0231214,2.0E-5,0.0046267817,0.010471632,0.010540899,1.0066147,7.0E-5,0.045316286,0.100943394,0.10104229,1.0009797,1.1E-4
7.5,8.6750515E-5,1.9484051E-4,2.0483856E-4,1.051314,1.0E-5,3.7173493E-4,8.347636E-4,8.547469E-4,1.0239389,2.0E-5,0.004516484,0.010115995,0.010185287,1.0068498,7.0E-5,0.04425787,0.0978478,0.09794703,1.0010142,1.1E-4
