Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.5600464E-4,5.0433585E-4,5.0433585E-4,1.0,0.0,0.0019528421,0.0021598414,0.0021698198,1.00462,1.0E-5,0.023518132,0.026369411,0.026418092,1.0018462,5.0E-5,0.21179019,0.26555887,0.26560292,1.0001659,6.0E-5
6.1,1.9252734E-4,2.7352793E-4,2.7352793E-4,1.0,0.0,8.248562E-4,0.0011717798,0.0011817681,1.0085241,1.0E-5,0.009996468,0.0142934825,0.014342768,1.0034481,5.0E-5,0.09558567,0.14448296,0.14453429,1.0003552,6.0E-5
6.2,9.4269315E-5,1.9091909E-4,1.9091909E-4,1.0,0.0,4.039488E-4,8.179694E-4,8.279612E-4,1.0122154,1.0E-5,0.0049069915,0.009913619,0.009963123,1.0049936,5.0E-5,0.048000436,0.095646605,0.09570086,1.0005673,6.0E-5
6.3,9.283051E-5,1.8817408E-4,1.8817408E-4,1.0,0.0,3.9778434E-4,8.062123E-4,8.1620424E-4,1.0123937,1.0E-5,0.0048322747,0.009771761,0.009821272,1.0050668,5.0E-5,0.047285385,0.09439828,0.09445262,1.0005757,6.0E-5
6.4,9.138826E-5,1.8579882E-4,1.8579882E-4,1.0,0.0,3.916052E-4,7.9603895E-4,8.06031E-4,1.0125521,1.0E-5,0.0047573745,0.009649001,0.009698519,1.0051318,5.0E-5,0.046568092,0.09330162,0.09335601,1.000583,6.0E-5
6.5,9.000255E-5,1.833736E-4,1.833736E-4,1.0,0.0,3.8566816E-4,7.856514E-4,7.9564354E-4,1.0127183,1.0E-5,0.0046854047,0.009523642,0.009573166,1.0052001,5.0E-5,0.045878403,0.09218219,0.09223666,1.0005909,6.0E-5
6.6,8.8109264E-5,1.8035137E-4,1.8035137E-4,1.0,0.0,3.7755648E-4,7.727067E-4,7.82699E-4,1.0129315,1.0E-5,0.0045870654,0.009367405,0.009416937,1.0052876,5.0E-5,0.04493529,0.09077895,0.0908335,1.0006009,6.0E-5
6.7,8.738073E-5,1.7904707E-4,1.7904707E-4,1.0,0.0,3.7443507E-4,7.6712016E-4,7.7711244E-4,1.0130258,1.0E-5,0.0045492216,0.009299976,0.009349511,1.0053264,5.0E-5,0.04457213,0.090187,0.09024159,1.0006052,6.0E-5
6.8,8.710195E-5,1.7851793E-4,1.7851793E-4,1.0,0.0,3.7324068E-4,7.648537E-4,7.748461E-4,1.0130644,1.0E-5,0.0045347405,0.00927262,0.009322156,1.0053422,5.0E-5,0.04443313,0.0899412,0.08999581,1.0006071,6.0E-5
6.9,8.6801556E-5,1.7793984E-4,1.7793984E-4,1.0,0.0,3.7195362E-4,7.623777E-4,7.723701E-4,1.0131068,1.0E-5,0.0045191357,0.00924273,0.009292268,1.0053596,5.0E-5,0.044283327,0.089672945,0.089727566,1.000609,6.0E-5
7.0,8.5571606E-5,1.75493E-4,1.75493E-4,1.0,0.0,3.6668387E-4,7.518972E-4,7.6188974E-4,1.0132897,1.0E-5,0.004455241,0.009116204,0.009165749,1.0054348,5.0E-5,0.043669727,0.08853448,0.08858917,1.0006177,6.0E-5
7.1,7.82589E-5,1.6016453E-4,1.6016453E-4,1.0,0.0,3.3535215E-4,6.862396E-4,6.962328E-4,1.0145621,1.0E-5,0.0040752706,0.008323148,0.0083727315,1.0059574,5.0E-5,0.040013418,0.08143197,0.08148709,1.0006769,6.0E-5
7.2,7.690929E-5,1.5767702E-4,1.5767702E-4,1.0,0.0,3.2956956E-4,6.7558436E-4,6.8557763E-4,1.014792,1.0E-5,0.004005129,0.008194403,0.008243993,1.0060518,5.0E-5,0.0393371,0.08026321,0.0803184,1.0006876,6.0E-5
7.3,7.5543794E-5,1.5463203E-4,1.5463203E-4,1.0,0.0,3.2371894E-4,6.6254113E-4,6.725345E-4,1.0150834,1.0E-5,0.003934157,0.008036783,0.008086381,1.0061713,5.0E-5,0.038652334,0.07882911,0.07888438,1.0007012,6.0E-5
7.4,7.4214564E-5,1.515945E-4,1.515945E-4,1.0,0.0,3.1802364E-4,6.495297E-4,6.5952324E-4,1.0153857,1.0E-5,0.003865065,0.0078795245,0.00792913,1.0062956,5.0E-5,0.03798529,0.077389784,0.07744514,1.0007153,6.0E-5
7.5,6.149578E-5,1.1995068E-4,1.1995068E-4,1.0,0.0,2.6352672E-4,5.139732E-4,5.23968E-4,1.0194463,1.0E-5,0.0032037178,0.006239706,0.006289394,1.0079632,5.0E-5,0.03157923,0.062247947,0.062304214,1.0009038,6.0E-5
