Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,4.09478,0.0,11.0,2.0,2.0,0.89421,4.6E-4,2.06348
2.6,3.25279,0.0,9.0,2.0,1.0,0.83696,4.6E-4,1.63975
2.7,2.58487,0.0,8.0,1.0,1.0,0.76697,4.6E-4,1.30412
2.8,2.05091,0.0,7.0,1.0,1.0,0.68998,4.6E-4,1.03337
2.9,1.62929,0.0,6.0,1.0,0.0,0.60961,4.6E-4,0.82056
3.0,1.29783,0.0,5.0,1.0,0.0,0.53228,4.6E-4,0.65444
3.1,1.02885,0.0,4.0,0.0,0.0,0.45512,4.6E-4,0.51889
3.2,0.81564,0.0,4.0,0.0,0.0,0.38536,4.6E-4,0.40997
3.3,0.65034,0.0,3.0,0.0,0.0,0.32443,4.6E-4,0.32677
3.4,0.51586,0.0,3.0,0.0,0.0,0.26943,4.6E-4,0.25866
3.5,0.41007,0.0,2.0,0.0,0.0,0.22317,4.6E-4,0.20481
3.6,0.32592,0.0,2.0,0.0,0.0,0.18392,4.6E-4,0.16325
3.7,0.25895,0.0,2.0,0.0,0.0,0.15049,4.6E-4,0.12965
3.8,0.20521,0.0,2.0,0.0,0.0,0.12254,4.6E-4,0.10255
3.9,0.16302,0.0,1.0,0.0,0.0,0.10002,4.6E-4,0.08169
4.0,0.12926,0.0,1.0,0.0,0.0,0.08118,4.6E-4,0.06452
4.1,0.10381,0.0,1.0,0.0,0.0,0.06664,4.6E-4,0.05197
4.2,0.0821,0.0,1.0,0.0,0.0,0.05419,4.6E-4,0.04138
4.3,0.06525,0.0,1.0,0.0,0.0,0.04376,4.6E-4,0.03287
4.4,0.05148,0.0,1.0,0.0,0.0,0.03512,4.6E-4,0.0258
4.5,0.04103,0.0,1.0,0.0,0.0,0.02845,4.6E-4,0.0206
4.6,0.03288,0.0,0.0,0.0,0.0,0.02325,4.6E-4,0.01665
4.7,0.02627,0.0,0.0,0.0,0.0,0.01875,4.6E-4,0.01333
4.8,0.02062,0.0,0.0,0.0,0.0,0.01486,4.6E-4,0.01041
4.9,0.01606,0.0,0.0,0.0,0.0,0.01186,4.6E-4,0.00811
5.0,0.0128,0.0,0.0,0.0,0.0,0.00948,4.6E-4,0.0065
5.1,0.00997,0.0,0.0,0.0,0.0,0.00739,4.6E-4,0.00495
5.2,0.00781,0.0,0.0,0.0,0.0,0.00587,4.6E-4,0.00387
5.3,0.00614,0.0,0.0,0.0,0.0,0.00466,4.6E-4,0.00301
5.4,0.00471,0.0,0.0,0.0,0.0,0.00368,4.6E-4,0.00231
5.5,0.00378,0.0,0.0,0.0,0.0,0.00301,4.6E-4,0.00185
5.6,0.00302,0.0,0.0,0.0,0.0,0.00243,4.6E-4,0.00146
5.7,0.00241,0.0,0.0,0.0,0.0,0.00196,4.6E-4,0.00113
5.8,0.00173,0.0,0.0,0.0,0.0,0.00141,4.6E-4,7.7E-4
