Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 yr Probability,1 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,9.36181,1.0,26.0,5.0,4.0,0.98074,9.1E-4,3.67855
2.6,7.43699,0.0,21.0,4.0,3.0,0.95926,9.1E-4,2.92199
2.7,5.90978,0.0,17.0,3.0,2.0,0.92418,9.1E-4,2.32443
2.8,4.69327,0.0,14.0,2.0,1.0,0.87589,9.1E-4,1.84469
2.9,3.72845,0.0,12.0,2.0,1.0,0.81332,9.1E-4,1.46496
3.0,2.96499,0.0,10.0,1.0,1.0,0.74268,9.1E-4,1.16694
3.1,2.35179,0.0,8.0,1.0,0.0,0.66246,9.1E-4,0.92547
3.2,1.86762,0.0,7.0,1.0,0.0,0.58448,9.1E-4,0.73312
3.3,1.48511,0.0,6.0,1.0,0.0,0.50787,9.1E-4,0.58308
3.4,1.1803,0.0,5.0,0.0,0.0,0.43424,9.1E-4,0.46156
3.5,0.93711,0.0,4.0,0.0,0.0,0.36875,9.1E-4,0.36609
3.6,0.74286,0.0,3.0,0.0,0.0,0.30989,9.1E-4,0.29107
3.7,0.59045,0.0,3.0,0.0,0.0,0.25825,9.1E-4,0.23143
3.8,0.46839,0.0,3.0,0.0,0.0,0.21393,9.1E-4,0.18297
3.9,0.37221,0.0,2.0,0.0,0.0,0.17689,9.1E-4,0.14589
4.0,0.29552,0.0,2.0,0.0,0.0,0.14505,9.1E-4,0.11518
4.1,0.23567,0.0,2.0,0.0,0.0,0.11967,9.1E-4,0.09246
4.2,0.18725,0.0,1.0,0.0,0.0,0.09837,9.1E-4,0.07389
4.3,0.1486,0.0,1.0,0.0,0.0,0.07991,9.1E-4,0.05841
4.4,0.11768,0.0,1.0,0.0,0.0,0.06491,9.1E-4,0.04601
4.5,0.0929,0.0,1.0,0.0,0.0,0.05266,9.1E-4,0.03658
4.6,0.07381,0.0,1.0,0.0,0.0,0.04311,9.1E-4,0.02928
4.7,0.05824,0.0,1.0,0.0,0.0,0.0346,9.1E-4,0.02304
4.8,0.04576,0.0,1.0,0.0,0.0,0.02799,9.1E-4,0.01814
4.9,0.03561,0.0,0.0,0.0,0.0,0.02233,9.1E-4,0.01411
5.0,0.02807,0.0,0.0,0.0,0.0,0.01774,9.1E-4,0.01118
5.1,0.02193,0.0,0.0,0.0,0.0,0.01408,9.1E-4,0.00861
5.2,0.01707,0.0,0.0,0.0,0.0,0.01113,9.1E-4,0.00665
5.3,0.01355,0.0,0.0,0.0,0.0,0.00895,9.1E-4,0.00512
5.4,0.01054,0.0,0.0,0.0,0.0,0.00716,9.1E-4,0.00404
5.5,0.00813,0.0,0.0,0.0,0.0,0.00569,9.1E-4,0.00322
5.6,0.00632,0.0,0.0,0.0,0.0,0.00439,9.1E-4,0.00247
5.7,0.00492,0.0,0.0,0.0,0.0,0.00341,9.1E-4,0.00193
5.8,0.00361,0.0,0.0,0.0,0.0,0.00251,9.1E-4,0.00135
5.9,0.00274,0.0,0.0,0.0,0.0,0.00189,9.1E-4,9.9E-4
6.0,0.00233,0.0,0.0,0.0,0.0,0.0017,9.1E-4,9.1E-4
6.1,0.00208,0.0,0.0,0.0,0.0,0.00157,9.1E-4,8.8E-4
6.2,0.00153,0.0,0.0,0.0,0.0,0.0011,6.5E-4,5.5E-4
6.3,0.00115,0.0,0.0,0.0,0.0,8.7E-4,6.1E-4,4.0E-4
