Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.2156251E-5,2.414898E-5,4.4148495E-5,1.8281723,2.0E-5,9.495191E-5,1.0349212E-4,1.2349006E-4,1.1932315,2.0E-5,0.0011554264,0.0012593955,0.0012793703,1.0158607,2.0E-5,0.011494373,0.012533242,0.012562866,1.0023637,3.0E-5
6.1,2.2156251E-5,2.414898E-5,4.4148495E-5,1.8281723,2.0E-5,9.495191E-5,1.0349212E-4,1.2349006E-4,1.1932315,2.0E-5,0.0011554264,0.0012593955,0.0012793703,1.0158607,2.0E-5,0.011494373,0.012533242,0.012562866,1.0023637,3.0E-5
6.2,2.2156251E-5,2.414898E-5,4.4148495E-5,1.8281723,2.0E-5,9.495191E-5,1.0349212E-4,1.2349006E-4,1.1932315,2.0E-5,0.0011554264,0.0012593955,0.0012793703,1.0158607,2.0E-5,0.011494373,0.012533242,0.012562866,1.0023637,3.0E-5
6.3,2.2156251E-5,2.414898E-5,4.4148495E-5,1.8281723,2.0E-5,9.495191E-5,1.0349212E-4,1.2349006E-4,1.1932315,2.0E-5,0.0011554264,0.0012593955,0.0012793703,1.0158607,2.0E-5,0.011494373,0.012533242,0.012562866,1.0023637,3.0E-5
6.4,2.2156251E-5,2.414898E-5,4.4148495E-5,1.8281723,2.0E-5,9.495191E-5,1.0349212E-4,1.2349006E-4,1.1932315,2.0E-5,0.0011554264,0.0012593955,0.0012793703,1.0158607,2.0E-5,0.011494373,0.012533242,0.012562866,1.0023637,3.0E-5
6.5,2.2156251E-5,2.414898E-5,4.4148495E-5,1.8281723,2.0E-5,9.495191E-5,1.0349212E-4,1.2349006E-4,1.1932315,2.0E-5,0.0011554264,0.0012593955,0.0012793703,1.0158607,2.0E-5,0.011494373,0.012533242,0.012562866,1.0023637,3.0E-5
6.6,2.2156251E-5,2.414898E-5,4.4148495E-5,1.8281723,2.0E-5,9.495191E-5,1.0349212E-4,1.2349006E-4,1.1932315,2.0E-5,0.0011554264,0.0012593955,0.0012793703,1.0158607,2.0E-5,0.011494373,0.012533242,0.012562866,1.0023637,3.0E-5
6.7,1.0601296E-5,1.1395832E-5,2.139572E-5,1.8775038,1.0E-5,4.5433335E-5,4.8838396E-5,5.8837908E-5,1.204747,1.0E-5,5.5301044E-4,5.9445016E-4,6.0444424E-4,1.0168123,1.0E-5,0.005516363,0.005929105,0.0059489864,1.0033532,2.0E-5
6.8,1.0246747E-5,1.1012744E-5,2.1012635E-5,1.908029,1.0E-5,4.391389E-5,4.719665E-5,5.7196175E-5,1.2118695,1.0E-5,5.345204E-4,5.744725E-4,5.8446673E-4,1.0173973,1.0E-5,0.0053323656,0.0057303673,0.005750253,1.0034702,2.0E-5
6.9,9.049551E-6,9.713628E-6,1.971353E-5,2.0294714,1.0E-5,3.878322E-5,4.162919E-5,5.1628776E-5,1.240206,1.0E-5,4.7208337E-4,5.0672167E-4,5.167166E-4,1.0197247,1.0E-5,0.0047108172,0.0050560823,0.005075981,1.0039356,2.0E-5
7.0,8.6542195E-6,9.28821E-6,1.9288116E-5,2.0766237,1.0E-5,3.7088983E-5,3.980603E-5,4.980563E-5,1.2512082,1.0E-5,4.5146482E-4,4.845347E-4,4.945299E-4,1.0206283,1.0E-5,0.004505487,0.004835197,0.0048551,1.0041163,2.0E-5
7.1,8.391028E-6,9.006525E-6,1.9006435E-5,2.110296,1.0E-5,3.5961057E-5,3.8598846E-5,4.859846E-5,1.2590652,1.0E-5,4.3773788E-4,4.698437E-4,4.7983901E-4,1.0212737,1.0E-5,0.004368766,0.004688916,0.0047088224,1.0042454,2.0E-5
7.2,5.965188E-6,6.3793277E-6,6.3793277E-6,1.0,0.0,2.556484E-5,2.7339693E-5,2.7339693E-5,1.0,0.0,3.1120746E-4,3.3281048E-4,3.3281048E-4,1.0,0.0,0.00310772,0.0033231787,0.0033331455,1.0029992,1.0E-5
7.3,4.877518E-6,5.2123237E-6,5.2123237E-6,1.0,0.0,2.0903482E-5,2.2338341E-5,2.2338341E-5,1.0,0.0,2.5447016E-4,2.719358E-4,2.719358E-4,1.0,0.0,0.0025417898,0.002716077,0.0027260499,1.0036718,1.0E-5
