Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.126063E-5,7.681804E-5,8.681727E-5,1.1301677,1.0E-5,2.6251914E-4,3.2918202E-4,3.3917875E-4,1.0303683,1.0E-5,0.0031914865,0.0040009576,0.0040208776,1.0049788,2.0E-5,0.031460393,0.03934541,0.039383836,1.0009767,4.0E-5
6.1,6.126063E-5,7.681804E-5,8.681727E-5,1.1301677,1.0E-5,2.6251914E-4,3.2918202E-4,3.3917875E-4,1.0303683,1.0E-5,0.0031914865,0.0040009576,0.0040208776,1.0049788,2.0E-5,0.031460393,0.03934541,0.039383836,1.0009767,4.0E-5
6.2,6.126063E-5,7.681804E-5,8.681727E-5,1.1301677,1.0E-5,2.6251914E-4,3.2918202E-4,3.3917875E-4,1.0303683,1.0E-5,0.0031914865,0.0040009576,0.0040208776,1.0049788,2.0E-5,0.031460393,0.03934541,0.039383836,1.0009767,4.0E-5
6.3,4.0838047E-5,5.0097417E-5,6.0096918E-5,1.199601,1.0E-5,1.7500846E-4,2.1468684E-4,2.246847E-4,1.0465695,1.0E-5,0.0021286458,0.0026108879,0.0026308356,1.0076402,2.0E-5,0.021083709,0.025823712,0.02586268,1.001509,4.0E-5
6.4,4.0838047E-5,5.0097417E-5,6.0096918E-5,1.199601,1.0E-5,1.7500846E-4,2.1468684E-4,2.246847E-4,1.0465695,1.0E-5,0.0021286458,0.0026108879,0.0026308356,1.0076402,2.0E-5,0.021083709,0.025823712,0.02586268,1.001509,4.0E-5
6.5,3.0512005E-5,3.679534E-5,3.679534E-5,1.0,0.0,1.3075917E-4,1.5768547E-4,1.5768547E-4,1.0,0.0,0.0015908304,0.0019182466,0.0019282274,1.0052031,1.0E-5,0.015794903,0.019028878,0.019048497,1.001031,2.0E-5
6.6,2.9255087E-5,3.538276E-5,3.538276E-5,1.0,0.0,1.2537291E-4,1.5163227E-4,1.5163227E-4,1.0,0.0,0.0015253464,0.0018446737,0.0018546552,1.005411,1.0E-5,0.015149189,0.018305281,0.018324915,1.0010725,2.0E-5
6.7,2.287198E-5,2.7416676E-5,2.7416676E-5,1.0,0.0,9.801909E-5,1.1749527E-4,1.1749527E-4,1.0,0.0,0.001192729,0.0014296591,0.0014396447,1.0069847,1.0E-5,0.011863477,0.014213969,0.014233684,1.0013871,2.0E-5
6.8,2.1325764E-5,2.5589981E-5,2.5589981E-5,1.0,0.0,9.139293E-5,1.0966725E-4,1.0966725E-4,1.0,0.0,0.001112141,0.0013344723,0.001344459,1.0074836,1.0E-5,0.011065915,0.013273744,0.013293479,1.0014868,2.0E-5
6.9,1.9009392E-5,2.2752067E-5,2.2752067E-5,1.0,0.0,8.1466285E-5,9.750571E-5,9.750571E-5,1.0,0.0,9.914007E-4,0.001186574,0.0011965622,1.0084176,1.0E-5,0.009869894,0.011811184,0.011830947,1.0016733,2.0E-5
7.0,1.7098473E-5,2.0443129E-5,2.0443129E-5,1.0,0.0,7.3277115E-5,8.7610955E-5,8.7610955E-5,1.0,0.0,8.917837E-4,0.0010662277,0.001076217,1.0093689,1.0E-5,0.008882134,0.010619667,0.010639455,1.0018632,2.0E-5
7.1,1.5982785E-5,1.9110526E-5,1.9110526E-5,1.0,0.0,6.849585E-5,8.1900165E-5,8.1900165E-5,1.0,0.0,8.336179E-4,9.967642E-4,0.0010067542,1.0100225,1.0E-5,0.008304977,0.009931407,0.009941308,1.000997,1.0E-5
7.2,1.4468002E-5,1.7302204E-5,1.7302204E-5,1.0,0.0,6.200425E-5,7.4150674E-5,7.4150674E-5,1.0,0.0,7.546402E-4,9.0249564E-4,9.0249564E-4,1.0,0.0,0.007520827,0.008996683,0.008996683,1.0,0.0
7.3,5.288233E-6,6.2389554E-6,6.2389554E-6,1.0,0.0,2.2663658E-5,2.6738306E-5,2.6738306E-5,1.0,0.0,2.7589512E-4,3.255256E-4,3.255256E-4,1.0,0.0,0.0027555283,0.0032539556,0.0032539556,1.0,0.0
7.4,8.279556E-7,8.412504E-7,8.412504E-7,1.0,0.0,3.5483763E-6,3.6053546E-6,3.6053546E-6,1.0,0.0,4.3200624E-5,4.389438E-5,4.389438E-5,1.0,0.0,4.3192226E-4,4.388643E-4,4.388643E-4,1.0,0.0
7.5,6.559831E-7,6.6706986E-7,6.6706986E-7,1.0,0.0,2.8113532E-6,2.8588681E-6,2.8588681E-6,1.0,0.0,3.4227687E-5,3.480623E-5,3.480623E-5,1.0,0.0,3.4222414E-4,3.4801444E-4,3.4801444E-4,1.0,0.0
7.6,3.5018968E-7,3.5639437E-7,3.5639437E-7,1.0,0.0,1.500812E-6,1.5274038E-6,1.5274038E-6,1.0,0.0,1.8272232E-5,1.8596029E-5,1.8596029E-5,1.0,0.0,1.8270731E-4,1.8594933E-4,1.8594933E-4,1.0,0.0
7.7,1.1986104E-7,1.22052E-7,1.22052E-7,1.0,0.0,5.1369005E-7,5.230799E-7,5.230799E-7,1.0,0.0,6.2541585E-6,6.3684793E-6,6.3684793E-6,1.0,0.0,6.2539824E-5,6.368301E-5,6.368301E-5,1.0,0.0
7.8,3.0445005E-8,3.104645E-8,3.104645E-8,1.0,0.0,1.3047858E-7,1.3305622E-7,1.3305622E-7,1.0,0.0,1.5885756E-6,1.6199584E-6,1.6199584E-6,1.0,0.0,1.5885644E-5,1.6199487E-5,1.6199487E-5,1.0,0.0
