Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.681379E-5,8.0620564E-5,8.0620564E-5,1.0,0.0,2.8631336E-4,3.4547405E-4,3.4547405E-4,1.0,0.0,0.003480294,0.0041985447,0.004208503,1.0023718,1.0E-5,0.03426291,0.041249074,0.041258663,1.0002325,1.0E-5
6.1,6.681379E-5,8.0620564E-5,8.0620564E-5,1.0,0.0,2.8631336E-4,3.4547405E-4,3.4547405E-4,1.0,0.0,0.003480294,0.0041985447,0.004208503,1.0023718,1.0E-5,0.03426291,0.041249074,0.041258663,1.0002325,1.0E-5
6.2,3.9400576E-5,4.6239573E-5,4.6239573E-5,1.0,0.0,1.6884868E-4,1.9815487E-4,1.9815487E-4,1.0,0.0,0.0020537945,0.0024099234,0.0024198995,1.0041395,1.0E-5,0.020349167,0.023844924,0.023854686,1.0004094,1.0E-5
6.3,3.2590255E-5,3.7850605E-5,3.7850605E-5,1.0,0.0,1.3966505E-4,1.6220695E-4,1.6220695E-4,1.0,0.0,0.0016990956,0.001973112,0.0019830924,1.0050582,1.0E-5,0.01686163,0.019559804,0.01956961,1.0005013,1.0E-5
6.4,2.9454652E-5,3.405604E-5,3.405604E-5,1.0,0.0,1.2622811E-4,1.4594644E-4,1.4594644E-4,1.0,0.0,0.0015357438,0.001775476,0.0017854583,1.0056223,1.0E-5,0.015251739,0.017616108,0.017625932,1.0005577,1.0E-5
6.5,2.790836E-5,3.2215743E-5,3.2215743E-5,1.0,0.0,1.1960178E-4,1.3806029E-4,1.3806029E-4,1.0,0.0,0.001455179,0.0016796137,0.0016895969,1.0059438,1.0E-5,0.014456868,0.01667222,0.016682055,1.0005898,1.0E-5
6.6,2.2492153E-5,2.5760062E-5,2.5760062E-5,1.0,0.0,9.639138E-5,1.1039568E-4,1.1039568E-4,1.0,0.0,0.0011729331,0.0013432534,0.00135324,1.0074346,1.0E-5,0.011667615,0.013353059,0.0133629255,1.0007389,1.0E-5
6.7,1.9862755E-5,2.2671533E-5,2.2671533E-5,1.0,0.0,8.512331E-5,9.7160155E-5,9.7160155E-5,1.0,0.0,0.0010358836,0.0011822942,0.0011922824,1.0084481,1.0E-5,0.010310682,0.011761336,0.011771218,1.0008402,1.0E-5
6.8,1.6697575E-5,1.8987843E-5,1.8987843E-5,1.0,0.0,7.155907E-5,8.137398E-5,8.137398E-5,1.0,0.0,8.7088346E-4,9.902873E-4,0.0010002775,1.0100881,1.0E-5,0.008674784,0.009859773,0.009869674,1.0010042,1.0E-5
6.9,1.5218415E-5,1.72804E-5,1.72804E-5,1.0,0.0,6.522015E-5,7.40568E-5,7.40568E-5,1.0,0.0,7.93766E-4,9.012774E-4,9.1126835E-4,1.0110854,1.0E-5,0.007909367,0.008977168,0.008987078,1.0011039,1.0E-5
7.0,1.2392958E-5,1.40438E-5,1.40438E-5,1.0,0.0,5.3111595E-5,6.018637E-5,6.018637E-5,1.0,0.0,6.4644177E-4,7.3253026E-4,7.4252294E-4,1.0136414,1.0E-5,0.0064456454,0.0073019434,0.0073118703,1.0013595,1.0E-5
7.1,1.0934128E-5,1.2385114E-5,1.2385114E-5,1.0,0.0,4.6859706E-5,5.307802E-5,5.307802E-5,1.0,0.0,5.7036756E-4,6.460406E-4,6.5603416E-4,1.015469,1.0E-5,0.0056890585,0.0064423727,0.006452308,1.0015422,1.0E-5
7.2,9.5798805E-6,1.0853756E-5,1.0853756E-5,1.0,0.0,4.1055984E-5,4.6515306E-5,4.6515306E-5,1.0,0.0,4.9974193E-4,5.6618394E-4,5.7617825E-4,1.0176522,1.0E-5,0.0049861963,0.005648139,0.0056580827,1.0017605,1.0E-5
7.3,8.0167365E-6,9.091048E-6,9.091048E-6,1.0,0.0,3.4356988E-5,3.896109E-5,3.896109E-5,1.0,0.0,4.1821605E-4,4.7425512E-4,4.8425037E-4,1.0210757,1.0E-5,0.0041742986,0.0047331336,0.0047430866,1.0021027,1.0E-5
7.4,2.9581017E-6,3.3640365E-6,3.3640365E-6,1.0,0.0,1.2677518E-5,1.4417248E-5,1.4417248E-5,1.0,0.0,1.5433785E-4,1.7552091E-4,1.7552091E-4,1.0,0.0,0.001542307,0.0017543182,0.0017543182,1.0,0.0
