Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,5.32348,0.0,12.0,2.0,2.0,0.90135,8.0E-4,2.04889
2.6,4.22738,0.0,10.0,2.0,1.0,0.84497,8.0E-4,1.62606
2.7,3.36078,0.0,8.0,1.0,1.0,0.77803,8.0E-4,1.2938
2.8,2.66872,0.0,7.0,1.0,1.0,0.70255,8.0E-4,1.02605
2.9,2.11774,0.0,6.0,1.0,0.0,0.62392,8.0E-4,0.81506
3.0,1.68162,0.0,5.0,1.0,0.0,0.54471,8.0E-4,0.64562
3.1,1.33406,0.0,4.0,0.0,0.0,0.46912,8.0E-4,0.51227
3.2,1.05913,0.0,4.0,0.0,0.0,0.39848,8.0E-4,0.40678
3.3,0.84066,0.0,3.0,0.0,0.0,0.33578,8.0E-4,0.3229
3.4,0.669,0.0,3.0,0.0,0.0,0.28118,8.0E-4,0.257
3.5,0.53081,0.0,2.0,0.0,0.0,0.23203,8.0E-4,0.2027
3.6,0.41966,0.0,2.0,0.0,0.0,0.1914,8.0E-4,0.16068
3.7,0.33244,0.0,2.0,0.0,0.0,0.1571,8.0E-4,0.1271
3.8,0.26428,0.0,2.0,0.0,0.0,0.12863,8.0E-4,0.10078
3.9,0.21008,0.0,1.0,0.0,0.0,0.10505,8.0E-4,0.07994
4.0,0.1664,0.0,1.0,0.0,0.0,0.08528,8.0E-4,0.06301
4.1,0.13309,0.0,1.0,0.0,0.0,0.06954,8.0E-4,0.0502
4.2,0.10572,0.0,1.0,0.0,0.0,0.05678,8.0E-4,0.04002
4.3,0.08427,0.0,1.0,0.0,0.0,0.04635,8.0E-4,0.03189
4.4,0.06675,0.0,1.0,0.0,0.0,0.03782,8.0E-4,0.02559
4.5,0.05283,0.0,1.0,0.0,0.0,0.03059,8.0E-4,0.02026
4.6,0.04161,0.0,0.0,0.0,0.0,0.0246,8.0E-4,0.01594
4.7,0.03289,0.0,0.0,0.0,0.0,0.01982,8.0E-4,0.0126
4.8,0.02587,0.0,0.0,0.0,0.0,0.01578,8.0E-4,0.00973
4.9,0.02071,0.0,0.0,0.0,0.0,0.01277,8.0E-4,0.00776
5.0,0.01624,0.0,0.0,0.0,0.0,0.01045,8.0E-4,0.0062
5.1,0.01256,0.0,0.0,0.0,0.0,0.0083,8.0E-4,0.0049
5.2,0.00982,0.0,0.0,0.0,0.0,0.00659,8.0E-4,0.00389
5.3,0.00772,0.0,0.0,0.0,0.0,0.00537,8.0E-4,0.00314
5.4,0.00604,0.0,0.0,0.0,0.0,0.00427,8.0E-4,0.00251
5.5,0.00467,0.0,0.0,0.0,0.0,0.00345,8.0E-4,0.00202
5.6,0.00356,0.0,0.0,0.0,0.0,0.0028,8.0E-4,0.00167
5.7,0.00271,0.0,0.0,0.0,0.0,0.00225,8.0E-4,0.00133
5.8,0.002,0.0,0.0,0.0,0.0,0.00169,8.0E-4,0.00102
5.9,0.00136,0.0,0.0,0.0,0.0,0.00123,8.0E-4,7.2E-4
6.0,0.00112,0.0,0.0,0.0,0.0,0.00104,8.0E-4,6.2E-4
6.1,0.00102,0.0,0.0,0.0,0.0,9.5E-4,8.0E-4,5.9E-4
6.2,8.5E-4,0.0,0.0,0.0,0.0,8.0E-4,6.8E-4,5.0E-4
6.3,6.7E-4,0.0,0.0,0.0,0.0,6.4E-4,5.5E-4,4.2E-4
6.4,6.0E-4,0.0,0.0,0.0,0.0,5.8E-4,5.2E-4,3.7E-4
6.5,5.2E-4,0.0,0.0,0.0,0.0,5.1E-4,4.7E-4,3.4E-4
6.6,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,3.8E-4,2.5E-4
6.7,3.2E-4,0.0,0.0,0.0,0.0,3.2E-4,3.1E-4,2.3E-4
6.8,2.8E-4,0.0,0.0,0.0,0.0,2.8E-4,2.8E-4,2.0E-4
6.9,2.3E-4,0.0,0.0,0.0,0.0,2.3E-4,2.3E-4,1.7E-4
7.0,1.8E-4,0.0,0.0,0.0,0.0,1.8E-4,1.8E-4,1.2E-4
7.1,1.8E-4,0.0,0.0,0.0,0.0,1.8E-4,1.8E-4,1.2E-4
7.2,1.5E-4,0.0,0.0,0.0,0.0,1.5E-4,1.5E-4,1.0E-4
7.3,1.4E-4,0.0,0.0,0.0,0.0,1.4E-4,1.4E-4,1.0E-4
7.4,7.0E-5,0.0,0.0,0.0,0.0,7.0E-5,7.0E-5,5.0E-5
7.5,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,3.0E-5
7.6,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,3.0E-5
7.7,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,1.0E-5
7.8,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,1.0E-5
7.9,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.0,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
