Origin Time (epoch ms),ComCat Event ID,Magnitude,Latitude,Longitude,Depth (km)
1707768904250,ci40668280,2.06,32.802,-115.57383,11.81
1707768837510,ci40668272,1.67,32.800835,-115.571335,11.46
1707768091340,ci40668224,1.72,32.806835,-115.589165,11.23
1707767481230,ci40668216,2.26,32.778168,-115.548,10.91
1707766843690,ci40668200,1.42,32.780334,-115.556,11.24
1707763821330,ci40668144,2.03,32.788166,-115.549,13.59
1707759395880,ci40668104,2.47,32.782,-115.55167,10.97
1707757777700,ci40668056,1.2,32.801,-115.5705,11.11
1707755214680,ci40668016,1.28,32.815,-115.57833,13.58
1707754558130,ci40668000,1.21,32.970833,-115.558,6.01
1707753330950,ci40667992,1.88,32.7765,-115.54933,10.43
1707752166210,ci40667976,1.88,32.785168,-115.56917,6.02
1707752134550,ci40667968,1.78,32.7915,-115.563,11.02
1707751514430,ci40667952,1.47,32.773834,-115.55617,2.91
1707751067780,ci40667944,1.45,32.786167,-115.55067,9.41
1707750614830,ci40667936,2.4,32.778,-115.55133,10.97
1707750191160,ci40667928,2.68,32.815334,-115.58217,12.9
1707750167190,ci40667912,1.43,32.859333,-115.590836,16.34
1707749925020,ci40667904,1.49,32.808,-115.583336,8.32
1707749771780,ci40667896,1.37,32.793335,-115.56783,9.98
1707749605140,ci40667888,1.4,32.7885,-115.5755,4.09
1707749167840,ci40667880,2.55,32.780666,-115.548,10.9
1707749137680,ci40667872,2.04,32.791332,-115.566,11.14
1707749004100,ci40667864,2.66,32.808,-115.601166,4.51
1707748966180,ci40667856,2.79,32.809166,-115.57767,12.63
1707748908000,ci40667848,1.59,32.786335,-115.55117,10.31
1707748876540,ci40667840,1.58,32.818165,-115.58583,12.58
1707748798500,ci40667832,1.95,32.793835,-115.56683,11.54
1707748474210,ci40667824,2.51,32.779835,-115.549164,10.99
1707748402930,ci40667816,1.31,32.783833,-115.55317,8.88
1707748254930,ci40667808,2.34,32.779,-115.54784,9.65
1707748240370,ci40667800,1.83,32.79,-115.54383,9.39
1707748022250,ci40667792,1.26,32.7815,-115.549835,8.73
1707747924910,ci40667784,1.45,32.777,-115.55883,3.66
1707747698180,ci40667760,1.5,32.7795,-115.55334,4.49
1707747321720,ci40667752,3.48,32.7835,-115.552666,11.69
1707747263750,ci40667744,2.19,32.7885,-115.551834,10.3
1707746982700,ci40667736,2.33,32.78583,-115.55317,11.4
1707746956900,ci40667728,1.99,32.77833,-115.54366,9.07
1707746913600,ci40667720,2.05,32.7985,-115.5645,9.17
1707746908050,ci40667712,1.53,32.789165,-115.567,11.46
1707746855150,ci40667704,2.03,32.768833,-115.55217,5.04
1707746808040,ci40667696,2.25,32.77717,-115.54684,9.46
1707746780520,ci40667688,2.19,32.7885,-115.561165,9.53
1707746641040,ci40667680,3.3,32.783,-115.55483,11.38
1707746628220,ci40667672,2.18,32.78583,-115.520164,-0.28
1707746554000,ci40667664,1.46,32.775166,-115.55983,3.0
1707746130510,ci40667648,1.77,32.77833,-115.548,10.01
1707745767690,ci40667640,1.18,32.772167,-115.548,7.55
1707745702190,ci40667632,1.79,32.781166,-115.55766,4.33
1707745334540,ci40667624,1.88,32.786167,-115.5475,9.75
1707745193050,ci40667616,0.92,32.804333,-115.5735,10.32
1707744914480,ci40667608,1.72,32.778667,-115.55583,4.51
1707744762660,ci40667592,1.4,32.801666,-115.5745,11.14
1707744546130,ci40667584,1.76,32.797333,-115.5705,11.19
1707744518660,ci40667568,1.64,32.8075,-115.575,9.15
1707744498610,ci40667560,1.74,32.794167,-115.5575,10.75
1707744416200,ci40667552,1.27,32.783333,-115.54283,10.34
1707744395880,ci40667544,1.04,32.7935,-115.56883,9.94
1707744312710,ci40667536,1.35,32.799168,-115.560165,9.11
1707744254500,ci40667520,1.89,32.792168,-115.55867,11.1
1707744218490,ci40667512,1.96,32.796165,-115.55817,10.62
1707744211660,ci40667504,1.13,32.757168,-115.683334,-0.02
1707744169670,ci40667496,1.45,32.802166,-115.568665,10.75
1707743834580,ci40667488,1.07,32.808167,-115.578835,10.82
1707743659470,ci40667480,1.03,32.7815,-115.55217,6.71
1707743466870,ci40667472,1.05,32.79233,-115.55666,9.78
1707742437660,ci40667464,1.3,32.8305,-115.59534,12.27
1707742294460,ci40667456,1.1,32.797165,-115.574165,10.54
1707741205510,ci40667448,1.08,32.79,-115.55783,9.75
1707739685430,ci40667424,1.17,32.833,-115.592,12.27
1707739328080,ci40667392,1.81,32.7845,-115.5565,10.73
1707738697880,ci40667384,1.17,32.792667,-115.56517,10.89
1707738482390,ci40667376,1.19,32.810833,-115.584,12.67
1707738358900,ci40667368,1.73,32.7915,-115.56367,10.2
1707738326620,ci40667360,1.65,32.805832,-115.59116,5.7
1707738290180,ci40667352,1.69,32.810165,-115.57933,14.22
1707738117520,ci40667344,1.76,32.787666,-115.56316,10.84
1707738052590,ci40667336,1.35,32.812,-115.58767,1.44
1707738040730,ci40667328,1.3,32.801167,-115.5695,11.52
