Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.6420427E-5,1.4769201E-5,1.4769201E-5,1.0,0.0,7.037136E-5,6.329526E-5,7.329462E-5,1.1579797,1.0E-5,8.5643446E-4,7.70386E-4,7.803783E-4,1.0129704,1.0E-5,0.008531413,0.0076809824,0.007690905,1.0012919,1.0E-5
6.1,1.6420427E-5,1.4769201E-5,1.4769201E-5,1.0,0.0,7.037136E-5,6.329526E-5,7.329462E-5,1.1579797,1.0E-5,8.5643446E-4,7.70386E-4,7.803783E-4,1.0129704,1.0E-5,0.008531413,0.0076809824,0.007690905,1.0012919,1.0E-5
6.2,1.6420427E-5,1.4769201E-5,1.4769201E-5,1.0,0.0,7.037136E-5,6.329526E-5,7.329462E-5,1.1579797,1.0E-5,8.5643446E-4,7.70386E-4,7.803783E-4,1.0129704,1.0E-5,0.008531413,0.0076809824,0.007690905,1.0012919,1.0E-5
6.3,1.2046778E-5,9.923325E-6,9.923325E-6,1.0,0.0,5.1628023E-5,4.2527972E-5,4.2527972E-5,1.0,0.0,6.283899E-4,5.176785E-4,5.176785E-4,1.0,0.0,0.0062661595,0.0051670317,0.0051670317,1.0,0.0
6.4,1.2046778E-5,9.923325E-6,9.923325E-6,1.0,0.0,5.1628023E-5,4.2527972E-5,4.2527972E-5,1.0,0.0,6.283899E-4,5.176785E-4,5.176785E-4,1.0,0.0,0.0062661595,0.0051670317,0.0051670317,1.0,0.0
6.5,1.0244343E-5,7.934096E-6,7.934096E-6,1.0,0.0,4.390359E-5,3.4002944E-5,3.4002944E-5,1.0,0.0,5.343951E-4,4.1392812E-4,4.1392812E-4,1.0,0.0,0.005331118,0.0041336254,0.0041336254,1.0,0.0
6.6,9.605408E-6,7.2299194E-6,7.2299194E-6,1.0,0.0,4.1165385E-5,3.0985117E-5,3.0985117E-5,1.0,0.0,5.010733E-4,3.771991E-4,3.771991E-4,1.0,0.0,0.00499945,0.003767608,0.003767608,1.0,0.0
6.7,8.60418E-6,6.1729675E-6,6.1729675E-6,1.0,0.0,3.687454E-5,2.6455416E-5,2.6455416E-5,1.0,0.0,4.48855E-4,3.220668E-4,3.220668E-4,1.0,0.0,0.004479495,0.0032179344,0.0032179344,1.0,0.0
6.8,5.187994E-6,2.600786E-6,2.600786E-6,1.0,0.0,2.223407E-5,1.1146201E-5,1.1146201E-5,1.0,0.0,2.7066618E-4,1.3570067E-4,1.3570067E-4,1.0,0.0,0.0027033675,0.0013565822,0.0013565822,1.0,0.0
6.9,4.5302368E-6,2.3802343E-6,2.3802343E-6,1.0,0.0,1.9415156E-5,1.0200987E-5,1.0200987E-5,1.0,0.0,2.3635388E-4,1.2419403E-4,1.2419403E-4,1.0,0.0,0.0023610266,0.0012416479,0.0012416479,1.0,0.0
7.0,3.431668E-6,1.715452E-6,1.715452E-6,1.0,0.0,1.4707065E-5,7.351937E-6,7.351937E-6,1.0,0.0,1.7904381E-4,8.950983E-5,8.950983E-5,1.0,0.0,0.0017889962,8.950983E-4,8.950983E-4,1.0,0.0
