Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.4273766E-4,3.3053884E-4,3.6052894E-4,1.0907309,3.0E-5,6.115894E-4,0.0014158321,0.0014557755,1.028212,4.0E-5,0.0074207084,0.017103104,0.01714242,1.0022987,4.0E-5,0.07177748,0.15616527,0.15623279,1.0004323,8.0E-5
6.1,1.4273766E-4,3.3053884E-4,3.6052894E-4,1.0907309,3.0E-5,6.115894E-4,0.0014158321,0.0014557755,1.028212,4.0E-5,0.0074207084,0.017103104,0.01714242,1.0022987,4.0E-5,0.07177748,0.15616527,0.15623279,1.0004323,8.0E-5
6.2,1.4273766E-4,3.3053884E-4,3.6052894E-4,1.0907309,3.0E-5,6.115894E-4,0.0014158321,0.0014557755,1.028212,4.0E-5,0.0074207084,0.017103104,0.01714242,1.0022987,4.0E-5,0.07177748,0.15616527,0.15623279,1.0004323,8.0E-5
6.3,1.3730655E-4,3.1949967E-4,3.4949006E-4,1.0938668,3.0E-5,5.883239E-4,0.0013685715,0.0014085168,1.0291876,4.0E-5,0.0071393442,0.016536547,0.016575886,1.002379,4.0E-5,0.06914291,0.15146591,0.15153378,1.0004482,8.0E-5
6.4,1.3730655E-4,3.1949967E-4,3.4949006E-4,1.0938668,3.0E-5,5.883239E-4,0.0013685715,0.0014085168,1.0291876,4.0E-5,0.0071393442,0.016536547,0.016575886,1.002379,4.0E-5,0.06914291,0.15146591,0.15153378,1.0004482,8.0E-5
6.5,1.2942807E-4,3.035156E-4,3.3350653E-4,1.0988117,3.0E-5,5.545738E-4,0.0013001381,0.001340086,1.030726,4.0E-5,0.0067310524,0.01571562,0.01575499,1.0025052,4.0E-5,0.06530788,0.14461048,0.14467892,1.0004733,8.0E-5
6.6,1.1125901E-4,2.6756496E-4,2.9755695E-4,1.1120923,3.0E-5,4.767372E-4,0.0011462055,0.0011861597,1.0348577,4.0E-5,0.005788839,0.013866446,0.013905891,1.0028447,4.0E-5,0.056403454,0.12887838,0.12894808,1.0005407,8.0E-5
6.7,1.02209575E-4,2.4878824E-4,2.787808E-4,1.1205544,3.0E-5,4.3796748E-4,0.0010658011,0.0011057585,1.0374905,4.0E-5,0.0053192247,0.012899392,0.012938876,1.0030609,4.0E-5,0.051936906,0.12065007,0.12072042,1.000583,8.0E-5
6.8,9.610582E-5,2.3381283E-4,2.638058E-4,1.1282778,3.0E-5,4.1181705E-4,0.0010016708,0.0010416307,1.0398933,4.0E-5,0.0050023515,0.012127452,0.012166966,1.0032583,4.0E-5,0.048912346,0.1140111,0.11408198,1.0006217,8.0E-5
6.9,9.3877505E-5,2.2829819E-4,2.5829134E-4,1.1313771,3.0E-5,4.0227012E-4,9.780546E-4,0.0010180156,1.0408576,4.0E-5,0.0048866454,0.01184308,0.011882606,1.0033375,4.0E-5,0.04780577,0.11158722,0.1116583,1.0006369,8.0E-5
