Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.5333705E-4,7.948784E-5,7.948784E-5,1.0,0.0,6.5699324E-4,3.4061793E-4,3.4061793E-4,1.0,0.0,0.007969595,0.004139179,0.0041491375,1.0024059,1.0E-5,0.0768977,0.04360998,0.043619543,1.0002193,1.0E-5
6.1,1.5333705E-4,7.948784E-5,7.948784E-5,1.0,0.0,6.5699324E-4,3.4061793E-4,3.4061793E-4,1.0,0.0,0.007969595,0.004139179,0.0041491375,1.0024059,1.0E-5,0.0768977,0.04360998,0.043619543,1.0002193,1.0E-5
6.2,1.3912938E-4,6.786831E-5,6.786831E-5,1.0,0.0,5.961325E-4,2.9083193E-4,2.9083193E-4,1.0,0.0,0.007233787,0.0035351622,0.0035351622,1.0,0.0,0.07002798,0.037493654,0.037493654,1.0,0.0
6.3,1.3912938E-4,6.786831E-5,6.786831E-5,1.0,0.0,5.961325E-4,2.9083193E-4,2.9083193E-4,1.0,0.0,0.007233787,0.0035351622,0.0035351622,1.0,0.0,0.07002798,0.037493654,0.037493654,1.0,0.0
6.4,1.2623647E-4,5.687355E-5,5.687355E-5,1.0,0.0,5.4090127E-4,2.4372114E-4,2.4372114E-4,1.0,0.0,0.0065656058,0.002963291,0.002963291,1.0,0.0,0.06374981,0.031681668,0.031681668,1.0,0.0
6.5,1.1736096E-4,4.9311566E-5,4.9311566E-5,1.0,0.0,5.028786E-4,2.1131827E-4,2.1131827E-4,1.0,0.0,0.006105373,0.0025697835,0.0025697835,1.0,0.0,0.05940335,0.027661536,0.027661536,1.0,0.0
6.6,1.1586959E-4,4.810635E-5,4.810635E-5,1.0,0.0,4.964894E-4,2.0615388E-4,2.0615388E-4,1.0,0.0,0.006028018,0.0025070535,0.0025070535,1.0,0.0,0.058671024,0.027019601,0.027019601,1.0,0.0
6.7,1.13693764E-4,4.6267352E-5,4.6267352E-5,1.0,0.0,4.87168E-4,1.9827369E-4,1.9827369E-4,1.0,0.0,0.005915152,0.0024113287,0.0024113287,1.0,0.0,0.057601593,0.02604074,0.02604074,1.0,0.0
6.8,1.1204889E-4,4.537153E-5,4.537153E-5,1.0,0.0,4.8012115E-4,1.9443502E-4,1.9443502E-4,1.0,0.0,0.005829819,0.002364695,0.002364695,1.0,0.0,0.05679232,0.025542539,0.025542539,1.0,0.0
6.9,1.1005794E-4,4.42835E-5,4.42835E-5,1.0,0.0,4.7159163E-4,1.8977272E-4,1.8977272E-4,1.0,0.0,0.0057265228,0.0023080534,0.0023080534,1.0,0.0,0.055811852,0.024934927,0.024934927,1.0,0.0
7.0,1.0647948E-4,4.2166554E-5,4.2166554E-5,1.0,0.0,4.562608E-4,1.8070139E-4,1.8070139E-4,1.0,0.0,0.0055408357,0.002197838,0.002197838,1.0,0.0,0.054047033,0.023755288,0.023755288,1.0,0.0
7.1,1.04795035E-4,4.108225E-5,4.108225E-5,1.0,0.0,4.4904428E-4,1.7605501E-4,1.7605501E-4,1.0,0.0,0.0054534175,0.0021413807,0.0021413807,1.0,0.0,0.053215165,0.023157494,0.023157494,1.0,0.0
7.2,1.02724036E-4,3.983767E-5,3.983767E-5,1.0,0.0,4.401716E-4,1.7072179E-4,1.7072179E-4,1.0,0.0,0.0053459285,0.0020765744,0.0020765744,1.0,0.0,0.052191395,0.022469882,0.022469882,1.0,0.0
7.3,1.00650694E-4,3.917433E-5,3.917433E-5,1.0,0.0,4.312888E-4,1.6787929E-4,1.6787929E-4,1.0,0.0,0.005238306,0.0020420323,0.0020420323,1.0,0.0,0.051165357,0.022074545,0.022074545,1.0,0.0
7.4,9.672919E-5,3.7683698E-5,3.7683698E-5,1.0,0.0,4.144878E-4,1.6149165E-4,1.6149165E-4,1.0,0.0,0.005034718,0.0019644056,0.0019644056,1.0,0.0,0.049221683,0.021198956,0.021198956,1.0,0.0
7.5,8.7600405E-5,2.6015254E-5,2.6015254E-5,1.0,0.0,3.753763E-4,1.1148919E-4,1.1148919E-4,1.0,0.0,0.0045606326,0.0013565378,0.0013565378,1.0,0.0,0.04468165,0.014996527,0.014996527,1.0,0.0
7.6,7.9562284E-5,2.2175129E-5,2.2175129E-5,1.0,0.0,3.4093665E-4,9.503281E-5,9.503281E-5,1.0,0.0,0.0041430052,0.0011564121,0.0011564121,1.0,0.0,0.040666126,0.012895617,0.012895617,1.0,0.0
7.7,6.3866544E-5,1.4193099E-5,1.4193099E-5,1.0,0.0,2.7368503E-4,6.082615E-5,6.082615E-5,1.0,0.0,0.0033270244,7.403071E-4,7.403071E-4,1.0,0.0,0.032776527,0.0085177,0.0085177,1.0,0.0
7.8,4.2543215E-5,1.07745145E-5,1.07745145E-5,1.0,0.0,1.8231533E-4,4.617567E-5,4.617567E-5,1.0,0.0,0.0022174292,5.620439E-4,5.620439E-4,1.0,0.0,0.021954332,0.0064646984,0.0064646984,1.0,0.0
7.9,2.2636612E-5,9.176946E-6,9.176946E-6,1.0,0.0,9.7010445E-5,3.9329178E-5,3.9329178E-5,1.0,0.0,0.0011804621,4.7872766E-4,4.7872766E-4,1.0,0.0,0.011742111,0.005437755,0.005437755,1.0,0.0
8.0,1.5167874E-5,8.262195E-6,8.262195E-6,1.0,0.0,6.500356E-5,3.5408924E-5,3.5408924E-5,1.0,0.0,7.9113094E-4,4.310185E-4,4.310185E-4,1.0,0.0,0.007883203,0.004875851,0.004875851,1.0,0.0
8.1,1.0681047E-5,7.5050393E-6,7.5050393E-6,1.0,0.0,4.5775112E-5,3.216406E-5,3.216406E-5,1.0,0.0,5.5716943E-4,3.9152717E-4,3.9152717E-4,1.0,0.0,0.0055577457,0.0044221524,0.0044221524,1.0,0.0
8.2,8.226114E-6,6.03576E-6,6.03576E-6,1.0,0.0,3.52543E-5,2.5867288E-5,2.5867288E-5,1.0,0.0,4.2913653E-4,3.1488884E-4,3.1488884E-4,1.0,0.0,0.004283088,0.0035425327,0.0035425327,1.0,0.0
8.3,1.983087E-6,9.39862E-7,9.39862E-7,1.0,0.0,8.498917E-6,4.027974E-6,4.027974E-6,1.0,0.0,1.034694E-4,4.9039503E-5,4.9039503E-5,1.0,0.0,0.0010342124,5.7020213E-4,5.7020213E-4,1.0,0.0
