Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.1227985E-5,2.2773418E-5,2.2773418E-5,1.0,0.0,9.097391E-5,9.759704E-5,9.759704E-5,1.0,0.0,0.0011070445,0.0011876547,0.0011976428,1.00841,1.0E-5,0.011015458,0.011818949,0.0118288305,1.0008361,1.0E-5
6.1,2.1227985E-5,2.2773418E-5,2.2773418E-5,1.0,0.0,9.097391E-5,9.759704E-5,9.759704E-5,1.0,0.0,0.0011070445,0.0011876547,0.0011976428,1.00841,1.0E-5,0.011015458,0.011818949,0.0118288305,1.0008361,1.0E-5
6.2,2.1227985E-5,2.2773418E-5,2.2773418E-5,1.0,0.0,9.097391E-5,9.759704E-5,9.759704E-5,1.0,0.0,0.0011070445,0.0011876547,0.0011976428,1.00841,1.0E-5,0.011015458,0.011818949,0.0118288305,1.0008361,1.0E-5
6.3,1.1613981E-5,1.2380041E-5,1.2380041E-5,1.0,0.0,4.9773254E-5,5.305631E-5,5.305631E-5,1.0,0.0,6.0582085E-4,6.4578163E-4,6.557752E-4,1.0154752,1.0E-5,0.0060417196,0.0064403033,0.0064502386,1.0015427,1.0E-5
6.4,1.1613981E-5,1.2380041E-5,1.2380041E-5,1.0,0.0,4.9773254E-5,5.305631E-5,5.305631E-5,1.0,0.0,6.0582085E-4,6.4578163E-4,6.557752E-4,1.0154752,1.0E-5,0.0060417196,0.0064403033,0.0064502386,1.0015427,1.0E-5
6.5,8.931326E-6,9.501269E-6,9.501269E-6,1.0,0.0,3.8276554E-5,4.071914E-5,4.071914E-5,1.0,0.0,4.6591737E-4,4.9565197E-4,5.0564704E-4,1.0201654,1.0E-5,0.0046494175,0.004946378,0.0049563283,1.0020117,1.0E-5
6.6,7.345353E-6,7.806165E-6,7.806165E-6,1.0,0.0,3.1479703E-5,3.3454606E-5,3.3454606E-5,1.0,0.0,3.83198E-4,4.0724175E-4,4.172377E-4,1.0245454,1.0E-5,0.0038253788,0.0040657497,0.004075709,1.0024495,1.0E-5
6.7,6.2775666E-6,6.6686234E-6,6.6686234E-6,1.0,0.0,2.690358E-5,2.8579545E-5,2.8579545E-5,1.0,0.0,3.2750185E-4,3.4790795E-4,3.5790447E-4,1.0287333,1.0E-5,0.0032701963,0.0034743769,0.0034843422,1.0028682,1.0E-5
6.8,5.5234095E-6,5.866947E-6,5.866947E-6,1.0,0.0,2.367154E-5,2.5143858E-5,2.5143858E-5,1.0,0.0,2.8816288E-4,3.0609078E-4,3.0609078E-4,1.0,0.0,0.002877895,0.003057411,0.003057411,1.0,0.0
6.9,4.7780054E-6,5.075677E-6,5.075677E-6,1.0,0.0,2.0477004E-5,2.1752761E-5,2.1752761E-5,1.0,0.0,2.4927902E-4,2.6481476E-4,2.6481476E-4,1.0,0.0,0.0024899957,0.002645687,0.002645687,1.0,0.0
7.0,3.883171E-6,4.126888E-6,4.126888E-6,1.0,0.0,1.6642054E-5,1.7686581E-5,1.7686581E-5,1.0,0.0,2.0259817E-4,2.1531977E-4,2.1531977E-4,1.0,0.0,0.0020241356,0.00215179,0.00215179,1.0,0.0
7.1,2.8358215E-6,3.0159283E-6,3.0159283E-6,1.0,0.0,1.2153464E-5,1.2925379E-5,1.2925379E-5,1.0,0.0,1.4795837E-4,1.5736175E-4,1.5736175E-4,1.0,0.0,0.001478599,0.001573151,0.001573151,1.0,0.0
