Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.3079164E-5,2.4533654E-5,2.4533654E-5,1.0,0.0,5.6052355E-5,1.0514002E-4,1.0514002E-4,1.0,0.0,6.822237E-4,0.0012793315,0.0012793315,1.0,0.0,0.006801331,0.012756932,0.012766805,1.0007739,1.0E-5
6.1,1.3079164E-5,2.4533654E-5,2.4533654E-5,1.0,0.0,5.6052355E-5,1.0514002E-4,1.0514002E-4,1.0,0.0,6.822237E-4,0.0012793315,0.0012793315,1.0,0.0,0.006801331,0.012756932,0.012766805,1.0007739,1.0E-5
6.2,1.3079164E-5,2.4533654E-5,2.4533654E-5,1.0,0.0,5.6052355E-5,1.0514002E-4,1.0514002E-4,1.0,0.0,6.822237E-4,0.0012793315,0.0012793315,1.0,0.0,0.006801331,0.012756932,0.012766805,1.0007739,1.0E-5
6.3,1.3079164E-5,2.4533654E-5,2.4533654E-5,1.0,0.0,5.6052355E-5,1.0514002E-4,1.0514002E-4,1.0,0.0,6.822237E-4,0.0012793315,0.0012793315,1.0,0.0,0.006801331,0.012756932,0.012766805,1.0007739,1.0E-5
6.4,1.3079164E-5,2.4533654E-5,2.4533654E-5,1.0,0.0,5.6052355E-5,1.0514002E-4,1.0514002E-4,1.0,0.0,6.822237E-4,0.0012793315,0.0012793315,1.0,0.0,0.006801331,0.012756932,0.012766805,1.0007739,1.0E-5
6.5,1.3079164E-5,2.4533654E-5,2.4533654E-5,1.0,0.0,5.6052355E-5,1.0514002E-4,1.0514002E-4,1.0,0.0,6.822237E-4,0.0012793315,0.0012793315,1.0,0.0,0.006801331,0.012756932,0.012766805,1.0007739,1.0E-5
6.6,1.3074523E-5,2.4528721E-5,2.4528721E-5,1.0,0.0,5.6032466E-5,1.05118874E-4,1.05118874E-4,1.0,0.0,6.8198174E-4,0.0012790743,0.0012790743,1.0,0.0,0.006798926,0.01275439,0.012764263,1.000774,1.0E-5
6.7,1.3050216E-5,2.4503983E-5,2.4503983E-5,1.0,0.0,5.59283E-5,1.05012856E-4,1.05012856E-4,1.0,0.0,6.8071426E-4,0.0012777852,0.0012777852,1.0,0.0,0.0067863287,0.012741646,0.012751519,1.0007749,1.0E-5
6.8,1.29049395E-5,2.4352414E-5,2.4352414E-5,1.0,0.0,5.530571E-5,1.0436333E-4,1.0436333E-4,1.0,0.0,6.73139E-4,0.0012698864,0.0012698864,1.0,0.0,0.0067110364,0.01266356,0.012673434,1.0007796,1.0E-5
6.9,1.2867369E-5,2.4311714E-5,2.4311714E-5,1.0,0.0,5.51447E-5,1.0418891E-4,1.0418891E-4,1.0,0.0,6.711799E-4,0.0012677654,0.0012677654,1.0,0.0,0.006691564,0.012642591,0.012652465,1.0007809,1.0E-5
7.0,1.2495996E-5,2.3699758E-5,2.3699758E-5,1.0,0.0,5.3553173E-5,1.0156646E-4,1.0156646E-4,1.0,0.0,6.518148E-4,0.0012358733,0.0012358733,1.0,0.0,0.0064990623,0.01232722,0.012337097,1.0008012,1.0E-5
7.1,1.2452067E-5,2.36444E-5,2.36444E-5,1.0,0.0,5.3364907E-5,1.0132922E-4,1.0132922E-4,1.0,0.0,6.4952404E-4,0.0012329882,0.0012329882,1.0,0.0,0.0064762887,0.012298689,0.012308567,1.0008031,1.0E-5
7.2,1.2002777E-5,2.301352E-5,2.301352E-5,1.0,0.0,5.143946E-5,9.862566E-5,9.862566E-5,1.0,0.0,6.2609545E-4,0.0012001088,0.0012001088,1.0,0.0,0.006243344,0.011973449,0.011983329,1.0008252,1.0E-5
7.3,1.1923425E-5,2.2881923E-5,2.2881923E-5,1.0,0.0,5.109939E-5,9.806171E-5,9.806171E-5,1.0,0.0,6.219575E-4,0.0011932503,0.0011932503,1.0,0.0,0.0062021962,0.011905628,0.011915509,1.0008299,1.0E-5
7.4,1.16105175E-5,2.224843E-5,2.224843E-5,1.0,0.0,4.975841E-5,9.534695E-5,9.534695E-5,1.0,0.0,6.0564023E-4,0.0011602337,0.0011602337,1.0,0.0,0.006039923,0.011579454,0.011579454,1.0,0.0
7.5,1.1037265E-5,2.0916192E-5,2.0916192E-5,1.0,0.0,4.7301706E-5,8.963775E-5,8.963775E-5,1.0,0.0,5.757461E-4,0.0010907957,0.0010907957,1.0,0.0,0.005742567,0.010892626,0.010892626,1.0,0.0
7.6,1.0720915E-5,2.0341631E-5,2.0341631E-5,1.0,0.0,4.5945973E-5,8.717552E-5,8.717552E-5,1.0,0.0,5.592486E-4,0.0010608475,0.0010608475,1.0,0.0,0.005578433,0.01059605,0.01059605,1.0,0.0
7.7,9.276279E-6,1.7712426E-5,1.7712426E-5,1.0,0.0,3.9754876E-5,7.5908196E-5,7.5908196E-5,1.0,0.0,4.839081E-4,9.237923E-4,9.237923E-4,1.0,0.0,0.0048285574,0.009237614,0.009237614,1.0,0.0
7.8,5.8346777E-6,1.2161944E-5,1.2161944E-5,1.0,0.0,2.5005522E-5,5.2121577E-5,5.2121577E-5,1.0,0.0,3.043997E-4,6.343956E-4,6.343956E-4,1.0,0.0,0.0030398308,0.006363622,0.006363622,1.0,0.0
7.9,4.690204E-6,9.317712E-6,9.317712E-6,1.0,0.0,2.0100719E-5,3.993244E-5,3.993244E-5,1.0,0.0,2.4469878E-4,4.8606916E-4,4.8606916E-4,1.0,0.0,0.002444295,0.0048857806,0.0048857806,1.0,0.0
8.0,2.9570454E-6,5.3244353E-6,5.3244353E-6,1.0,0.0,1.267299E-5,2.281881E-5,2.281881E-5,1.0,0.0,1.5428272E-4,2.777836E-4,2.777836E-4,1.0,0.0,0.0015417566,0.0027970672,0.0027970672,1.0,0.0
8.1,1.6376824E-6,2.443411E-6,2.443411E-6,1.0,0.0,7.01862E-6,1.0471719E-5,1.0471719E-5,1.0,0.0,8.544835E-5,1.2748573E-4,1.2748573E-4,1.0,0.0,8.54155E-4,0.0012890658,0.0012890658,1.0,0.0
8.2,6.9631557E-7,5.365408E-7,5.365408E-7,1.0,0.0,2.984206E-6,2.2994586E-6,2.2994586E-6,1.0,0.0,3.63321E-5,2.7995551E-5,2.7995551E-5,1.0,0.0,3.6326164E-4,2.888836E-4,2.888836E-4,1.0,0.0
8.3,1.7876137E-7,1.0132249E-7,1.0132249E-7,1.0,0.0,7.661199E-7,4.3423918E-7,4.3423918E-7,1.0,0.0,9.32747E-6,5.2868495E-6,5.2868495E-6,1.0,0.0,9.3270784E-5,5.524545E-5,5.524545E-5,1.0,0.0
