Time (days),ComCat Data
0.0,0.0
0.016613893,2.0
0.033227786,3.0
0.049841676,3.0
0.06645557,3.0
0.08306946,3.0
0.09968335,3.0
0.116297245,4.0
0.13291115,4.0
0.14952503,5.0
0.16613892,5.0
0.18275282,7.0
0.1993667,7.0
0.2159806,7.0
0.23259449,7.0
0.24920839,7.0
0.2658223,7.0
0.28243616,7.0
0.29905006,7.0
0.31566396,7.0
0.33227783,7.0
0.34889174,8.0
0.36550564,8.0
0.38211954,8.0
0.3987334,8.0
0.4153473,8.0
0.4319612,8.0
0.4485751,8.0
0.46518898,8.0
0.48180288,8.0
0.49841678,8.0
0.5150307,8.0
0.5316446,8.0
0.5482584,8.0
0.5648723,8.0
0.5814862,8.0
0.5981001,8.0
0.614714,8.0
0.6313279,8.0
0.6479418,8.0
0.66455567,8.0
0.68116957,8.0
0.69778347,8.0
0.7143974,8.0
0.7310113,8.0
0.7476252,8.0
0.7642391,8.0
0.780853,8.0
0.7974668,8.0
0.8140807,8.0
0.8306946,8.0
0.8473085,8.0
0.8639224,8.0
0.8805363,8.0
0.8971502,8.0
0.91376406,8.0
0.93037796,8.0
0.94699186,8.0
0.96360576,8.0
0.98021966,8.0
0.99683356,8.0
1.0134474,8.0
1.0300614,8.0
1.0466752,8.0
1.0632892,8.0
1.079903,8.0
1.0965168,8.0
1.1131308,8.0
1.1297446,8.0
1.1463586,8.0
1.1629725,8.0
1.1795864,8.0
1.1962003,8.0
1.2128141,8.0
1.229428,8.0
1.2460419,8.0
1.2626559,8.0
1.2792697,8.0
1.2958837,8.0
1.3124975,8.0
1.3291113,8.0
1.3457253,8.0
1.3623391,8.0
1.3789531,8.0
1.3955669,8.0
1.4121809,8.0
1.4287947,8.0
1.4454087,8.0
1.4620225,8.0
1.4786364,8.0
1.4952503,8.0
1.5118642,8.0
1.5284781,8.0
1.545092,8.0
1.561706,8.0
1.5783198,8.0
1.5949336,8.0
1.6115476,8.0
1.6281614,8.0
1.6447754,8.0
1.6613892,8.0
1.6780032,8.0
1.694617,8.0
1.7112309,8.0
1.7278448,8.0
1.7444587,8.0
1.7610726,8.0
1.7776865,8.0
1.7943004,8.0
1.8109143,8.0
1.8275281,8.0
1.8441421,8.0
1.8607559,8.0
1.8773699,8.0
1.8939837,8.0
1.9105977,8.0
1.9272115,8.0
1.9438254,8.0
1.9604393,8.0
1.9770532,8.0
1.9936671,8.0
2.010281,8.0
2.0268948,8.0
2.0435088,8.0
2.0601227,8.0
2.0767365,8.0
2.0933504,8.0
2.1099644,8.0
2.1265783,8.0
2.143192,8.0
2.159806,8.0
2.17642,8.0
2.1930337,8.0
2.2096477,8.0
2.2262616,8.0
2.2428756,8.0
2.2594893,8.0
2.2761033,8.0
2.2927172,8.0
2.309331,8.0
2.325945,8.0
2.3425589,8.0
2.3591728,8.0
2.3757865,8.0
2.3924005,8.0
2.4090145,8.0
2.4256282,8.0
2.4422421,8.0
2.458856,8.0
2.47547,8.0
2.4920838,8.0
2.5086977,8.0
2.5253117,8.0
2.5419254,8.0
2.5585394,8.0
2.5751534,8.0
2.5917673,8.0
2.608381,8.0
2.624995,8.0
2.641609,8.0
2.6582227,8.0
2.6748366,8.0
2.6914506,8.0
2.7080646,8.0
2.7246783,8.0
2.7412922,8.0
2.7579062,8.0
2.7745202,8.0
2.7911339,8.0
2.8077478,8.0
2.8243618,8.0
2.8409755,8.0
2.8575895,8.0
2.8742034,8.0
2.8908174,8.0
2.9074311,8.0
2.924045,8.0
2.940659,8.0
2.9572728,8.0
2.9738867,8.0
2.9905007,8.0
3.0071146,8.0
3.0237284,8.0
3.0403423,8.0
3.0569563,8.0
3.07357,8.0
3.090184,8.0
3.106798,8.0
3.123412,8.0
3.1400256,8.0
3.1566396,8.0
3.1732535,8.0
3.1898673,8.0
3.2064812,8.0
3.2230952,8.0
3.2397091,8.0
3.2563229,8.0
3.2729368,8.0
3.2895508,8.0
3.3061645,8.0
3.3227785,8.0
3.3393924,8.0
3.3560064,8.0
3.37262,8.0
3.389234,8.0
3.405848,8.0
3.4224617,8.0
3.4390757,8.0
3.4556897,8.0
3.4723036,8.0
3.4889174,8.0
3.5055313,8.0
3.5221453,8.0
3.538759,8.0
3.555373,8.0
3.571987,8.0
3.5886009,8.0
3.6052146,8.0
3.6218286,8.0
3.6384425,8.0
3.6550562,8.0
3.6716702,8.0
3.6882842,8.0
3.704898,8.0
3.7215118,8.0
3.7381258,8.0
3.7547398,8.0
3.7713535,8.0
3.7879674,8.0
3.8045814,8.0
3.8211954,8.0
3.837809,8.0
3.854423,8.0
3.871037,8.0
3.8876507,8.0
3.9042647,8.0
3.9208786,8.0
3.9374926,8.0
3.9541063,8.0
3.9707203,8.0
3.9873343,8.0
4.003948,8.0
4.020562,8.0
4.0371757,8.0
4.0537896,8.0
4.0704036,8.0
4.0870175,8.0
4.1036315,8.0
4.1202455,8.0
4.1368594,8.0
4.153473,8.0
4.170087,8.0
4.186701,8.0
4.203315,8.0
4.2199287,8.0
4.2365427,8.0
4.2531567,8.0
4.26977,8.0
4.286384,8.0
4.302998,8.0
4.319612,8.0
4.336226,8.0
4.35284,8.0
4.369454,8.0
4.3860674,8.0
4.4026814,8.0
4.4192953,8.0
4.4359093,8.0
4.452523,8.0
4.469137,8.0
4.485751,8.0
4.5023646,8.0
4.5189786,8.0
4.5355926,8.0
4.5522065,8.0
4.5688205,8.0
4.5854344,8.0
4.6020484,8.0
4.618662,8.0
4.635276,8.0
4.65189,8.0
