Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.4267689E-5,2.4508043E-5,2.4508043E-5,1.0,0.0,1.0400023E-4,1.0503025E-4,1.0503025E-4,1.0,0.0,0.0012654673,0.0012779962,0.0012879834,1.0078148,1.0E-5,0.0125828525,0.012780398,0.01279027,1.0007725,1.0E-5
6.1,2.4267689E-5,2.4508043E-5,2.4508043E-5,1.0,0.0,1.0400023E-4,1.0503025E-4,1.0503025E-4,1.0,0.0,0.0012654673,0.0012779962,0.0012879834,1.0078148,1.0E-5,0.0125828525,0.012780398,0.01279027,1.0007725,1.0E-5
6.2,2.4267689E-5,2.4508043E-5,2.4508043E-5,1.0,0.0,1.0400023E-4,1.0503025E-4,1.0503025E-4,1.0,0.0,0.0012654673,0.0012779962,0.0012879834,1.0078148,1.0E-5,0.0125828525,0.012780398,0.01279027,1.0007725,1.0E-5
6.3,2.4170902E-5,2.4508043E-5,2.4508043E-5,1.0,0.0,1.03585466E-4,1.0503025E-4,1.0503025E-4,1.0,0.0,0.0012604233,0.0012779962,0.0012879834,1.0078148,1.0E-5,0.012532983,0.012780398,0.01279027,1.0007725,1.0E-5
6.4,2.2870605E-5,2.4215453E-5,2.4215453E-5,1.0,0.0,9.8013195E-5,1.037764E-4,1.037764E-4,1.0,0.0,0.0011926574,0.0012627483,0.0012727357,1.0079092,1.0E-5,0.011862768,0.012629654,0.012639527,1.0007818,1.0E-5
6.5,2.2672486E-5,2.4105268E-5,2.4105268E-5,1.0,0.0,9.716418E-5,1.0330421E-4,1.0330421E-4,1.0,0.0,0.0011823318,0.001257006,0.0012669933,1.0079454,1.0E-5,0.011760611,0.012572883,0.0125827575,1.0007854,1.0E-5
6.6,2.1276646E-5,2.289472E-5,2.289472E-5,1.0,0.0,9.118244E-5,9.811655E-5,9.811655E-5,1.0,0.0,0.0011095807,0.0011939168,0.0012039047,1.0083658,1.0E-5,0.011040569,0.011948916,0.0119587965,1.000827,1.0E-5
6.7,1.9706355E-5,2.1543081E-5,2.1543081E-5,1.0,0.0,8.445307E-5,9.232423E-5,9.232423E-5,1.0,0.0,0.0010277311,0.0011234697,0.0011334585,1.008891,1.0E-5,0.010229911,0.011251751,0.011261638,1.0008787,1.0E-5
6.8,1.8744462E-5,2.1043394E-5,2.1043394E-5,1.0,0.0,8.033094E-5,9.018286E-5,9.018286E-5,1.0,0.0,9.775903E-4,0.001097425,0.001107414,1.0091022,1.0E-5,0.009733009,0.010993906,0.011003797,1.0008996,1.0E-5
6.9,1.7559682E-5,2.0082754E-5,2.0082754E-5,1.0,0.0,7.5253614E-5,8.606612E-5,8.606612E-5,1.0,0.0,9.158276E-4,0.0010473527,0.0010573423,1.0095379,1.0E-5,0.0091206245,0.010497978,0.010507873,1.0009426,1.0E-5
7.0,1.6794445E-5,1.9343168E-5,1.9343168E-5,1.0,0.0,7.197421E-5,8.2896666E-5,8.2896666E-5,1.0,0.0,8.759337E-4,0.001008801,0.0010187909,1.0099027,1.0E-5,0.008724891,0.010115934,0.010125832,1.0009786,1.0E-5
7.1,1.6337795E-5,1.8839766E-5,1.8839766E-5,1.0,0.0,7.0017246E-5,8.0739366E-5,8.0739366E-5,1.0,0.0,8.521265E-4,9.825599E-4,9.9255E-4,1.0101675,1.0E-5,0.008488664,0.009855773,0.009865675,1.0010046,1.0E-5
7.2,1.5780008E-5,1.8286826E-5,1.8286826E-5,1.0,0.0,6.762685E-5,7.836976E-5,7.836976E-5,1.0,0.0,8.2304585E-4,9.5373555E-4,9.63726E-4,1.010475,1.0E-5,0.008200042,0.009569973,0.009579877,1.001035,1.0E-5
7.3,1.5058865E-5,1.7740984E-5,1.7740984E-5,1.0,0.0,6.45364E-5,7.603058E-5,7.603058E-5,1.0,0.0,7.854473E-4,9.2528044E-4,9.352712E-4,1.0107975,1.0E-5,0.00782677,0.0092874635,0.00929737,1.0010667,1.0E-5
7.4,1.4887923E-5,1.7580309E-5,1.7580309E-5,1.0,0.0,6.380382E-5,7.534201E-5,7.534201E-5,1.0,0.0,7.7653467E-4,9.1690425E-4,9.2689507E-4,1.0108962,1.0E-5,0.0077382675,0.009204153,0.009214061,1.0010765,1.0E-5
7.5,1.4509299E-5,1.7187685E-5,1.7187685E-5,1.0,0.0,6.218123E-5,7.365944E-5,7.365944E-5,1.0,0.0,7.567935E-4,8.9643593E-4,9.06427E-4,1.0111452,1.0E-5,0.0075422134,0.0090007065,0.009010617,1.001101,1.0E-5
7.6,1.2756717E-5,1.5234425E-5,1.5234425E-5,1.0,0.0,5.4670498E-5,6.528876E-5,6.528876E-5,1.0,0.0,6.6541E-4,7.946015E-4,7.946015E-4,1.0,0.0,0.006634211,0.007989419,0.007989419,1.0,0.0
7.7,1.0328985E-5,1.2618532E-5,1.2618532E-5,1.0,0.0,4.4266326E-5,5.4078308E-5,5.4078308E-5,1.0,0.0,5.388092E-4,6.5820495E-4,6.5820495E-4,1.0,0.0,0.0053750467,0.0066372524,0.0066372524,1.0,0.0
7.8,7.0306583E-6,9.8543815E-6,9.8543815E-6,1.0,0.0,3.0131043E-5,4.223238E-5,4.223238E-5,1.0,0.0,3.667837E-4,5.140581E-4,5.140581E-4,1.0,0.0,0.003661789,0.0051900987,0.0051900987,1.0,0.0
