Time (days),ComCat Data
0.0,0.0
0.0010696376,1.0
0.0021392752,2.0
0.003208913,4.0
0.0042785504,5.0
0.0053481883,6.0
0.006417826,8.0
0.0074874633,10.0
0.008557101,12.0
0.009626739,15.0
0.010696377,17.0
0.011766014,19.0
0.012835652,20.0
0.01390529,23.0
0.014974927,24.0
0.016044565,25.0
0.017114202,26.0
0.01818384,27.0
0.019253477,29.0
0.020323114,31.0
0.021392753,32.0
0.02246239,36.0
0.023532027,38.0
0.024601666,40.0
0.025671303,43.0
0.02674094,45.0
0.02781058,45.0
0.028880216,46.0
0.029949853,48.0
0.031019492,50.0
0.03208913,50.0
0.033158768,52.0
0.034228403,53.0
0.035298042,53.0
0.03636768,55.0
0.037437316,57.0
0.038506955,59.0
0.039576594,61.0
0.04064623,61.0
0.041715868,63.0
0.042785507,64.0
0.04385514,65.0
0.04492478,66.0
0.04599442,66.0
0.047064055,66.0
0.048133694,66.0
0.049203333,66.0
0.050272968,68.0
0.051342607,69.0
0.052412245,69.0
0.05348188,72.0
0.05455152,72.0
0.05562116,72.0
0.056690793,72.0
0.057760432,75.0
0.05883007,77.0
0.059899706,78.0
0.060969345,79.0
0.062038984,79.0
0.06310862,81.0
0.06417826,82.0
0.06524789,82.0
0.066317536,85.0
0.06738717,85.0
0.068456806,86.0
0.06952645,89.0
0.070596084,90.0
0.07166572,92.0
0.07273536,92.0
0.073805,93.0
0.07487463,94.0
0.075944275,96.0
0.07701391,97.0
0.078083545,98.0
0.07915319,100.0
0.08022282,101.0
0.08129246,102.0
0.0823621,103.0
0.083431736,105.0
0.08450137,105.0
0.08557101,106.0
0.08664065,107.0
0.08771028,108.0
0.08877993,110.0
0.08984956,113.0
0.0909192,115.0
0.09198884,117.0
0.093058474,119.0
0.09412811,119.0
0.09519775,122.0
0.09626739,123.0
0.09733702,123.0
0.098406665,125.0
0.0994763,126.0
0.100545935,127.0
0.10161558,128.0
0.10268521,129.0
0.10375485,129.0
0.10482449,130.0
0.105894126,131.0
0.10696376,132.0
0.108033404,132.0
0.10910304,133.0
0.110172674,135.0
0.11124232,136.0
0.11231195,138.0
0.11338159,141.0
0.11445123,141.0
0.115520865,141.0
0.1165905,142.0
0.11766014,142.0
0.11872978,143.0
0.11979941,145.0
0.120869055,145.0
0.12193869,145.0
0.123008326,147.0
0.12407797,147.0
0.1251476,148.0
0.12621725,151.0
0.12728688,151.0
0.12835652,151.0
0.12942615,153.0
0.13049579,154.0
0.13156542,155.0
0.13263507,155.0
0.1337047,156.0
0.13477434,156.0
0.13584398,156.0
0.13691361,156.0
0.13798325,157.0
0.1390529,158.0
0.14012253,159.0
0.14119217,160.0
0.1422618,160.0
0.14333144,161.0
0.14440107,161.0
0.14547072,162.0
0.14654036,162.0
0.14761,163.0
0.14867963,164.0
0.14974926,165.0
0.1508189,165.0
0.15188855,166.0
0.15295818,168.0
0.15402782,169.0
0.15509745,171.0
0.15616709,171.0
0.15723673,172.0
0.15830638,172.0
0.15937601,172.0
0.16044565,172.0
0.16151528,172.0
0.16258492,173.0
0.16365455,174.0
0.1647242,175.0
0.16579384,177.0
0.16686347,178.0
0.1679331,180.0
0.16900274,180.0
0.17007238,180.0
0.17114203,180.0
0.17221166,182.0
0.1732813,182.0
0.17435093,183.0
0.17542057,184.0
0.1764902,184.0
0.17755985,185.0
0.17862949,186.0
0.17969912,187.0
0.18076876,188.0
0.1818384,188.0
0.18290803,189.0
0.18397768,189.0
0.18504731,189.0
0.18611695,190.0
0.18718658,190.0
0.18825622,190.0
0.18932585,191.0
0.1903955,192.0
0.19146514,193.0
0.19253477,193.0
0.19360441,193.0
0.19467404,193.0
0.19574368,194.0
0.19681333,194.0
0.19788297,194.0
0.1989526,194.0
0.20002224,194.0
0.20109187,194.0
0.2021615,194.0
0.20323116,195.0
0.20430079,196.0
0.20537043,196.0
0.20644006,196.0
0.2075097,196.0
0.20857933,197.0
0.20964898,197.0
0.21071862,198.0
0.21178825,199.0
0.21285789,199.0
0.21392752,199.0
0.21499716,199.0
0.21606681,201.0
0.21713644,201.0
0.21820608,202.0
0.21927571,203.0
0.22034535,204.0
0.22141498,205.0
0.22248463,206.0
0.22355427,206.0
0.2246239,207.0
0.22569354,209.0
0.22676317,209.0
0.22783281,209.0
0.22890246,209.0
0.2299721,209.0
0.23104173,209.0
0.23211136,209.0
0.233181,209.0
0.23425063,209.0
0.23532028,209.0
0.23638992,209.0
0.23745956,209.0
0.23852919,209.0
0.23959883,209.0
0.24066846,209.0
0.24173811,211.0
0.24280775,212.0
0.24387738,212.0
0.24494702,212.0
0.24601665,212.0
0.24708629,212.0
0.24815594,212.0
0.24922557,213.0
0.2502952,213.0
0.25136486,213.0
0.2524345,213.0
0.25350413,214.0
0.25457376,214.0
0.2556434,214.0
0.25671303,214.0
0.25778267,214.0
0.2588523,215.0
0.25992194,215.0
0.26099157,215.0
0.2620612,216.0
