Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.2156251E-5,2.4156201E-5,2.4156201E-5,1.0,0.0,9.495191E-5,1.0352307E-4,1.0352307E-4,1.0,0.0,0.0011554264,0.0012597719,0.0012697593,1.0079279,1.0E-5,0.011494373,0.012536971,0.012546846,1.0007876,1.0E-5
6.1,2.2156251E-5,2.4156201E-5,2.4156201E-5,1.0,0.0,9.495191E-5,1.0352307E-4,1.0352307E-4,1.0,0.0,0.0011554264,0.0012597719,0.0012697593,1.0079279,1.0E-5,0.011494373,0.012536971,0.012546846,1.0007876,1.0E-5
6.2,2.2156251E-5,2.4156201E-5,2.4156201E-5,1.0,0.0,9.495191E-5,1.0352307E-4,1.0352307E-4,1.0,0.0,0.0011554264,0.0012597719,0.0012697593,1.0079279,1.0E-5,0.011494373,0.012536971,0.012546846,1.0007876,1.0E-5
6.3,2.2156251E-5,2.4156201E-5,2.4156201E-5,1.0,0.0,9.495191E-5,1.0352307E-4,1.0352307E-4,1.0,0.0,0.0011554264,0.0012597719,0.0012697593,1.0079279,1.0E-5,0.011494373,0.012536971,0.012546846,1.0007876,1.0E-5
6.4,2.2156251E-5,2.4156201E-5,2.4156201E-5,1.0,0.0,9.495191E-5,1.0352307E-4,1.0352307E-4,1.0,0.0,0.0011554264,0.0012597719,0.0012697593,1.0079279,1.0E-5,0.011494373,0.012536971,0.012546846,1.0007876,1.0E-5
6.5,2.2156251E-5,2.4156201E-5,2.4156201E-5,1.0,0.0,9.495191E-5,1.0352307E-4,1.0352307E-4,1.0,0.0,0.0011554264,0.0012597719,0.0012697593,1.0079279,1.0E-5,0.011494373,0.012536971,0.012546846,1.0007876,1.0E-5
6.6,2.2156251E-5,2.4156201E-5,2.4156201E-5,1.0,0.0,9.495191E-5,1.0352307E-4,1.0352307E-4,1.0,0.0,0.0011554264,0.0012597719,0.0012697593,1.0079279,1.0E-5,0.011494373,0.012536971,0.012546846,1.0007876,1.0E-5
6.7,1.0601296E-5,1.139869E-5,1.139869E-5,1.0,0.0,4.5433335E-5,4.885064E-5,4.885064E-5,1.0,0.0,5.5301044E-4,5.945992E-4,5.945992E-4,1.0,0.0,0.005516363,0.0059305876,0.0059305876,1.0,0.0
6.8,1.0246747E-5,1.10155E-5,1.10155E-5,1.0,0.0,4.391389E-5,4.7208454E-5,4.7208454E-5,1.0,0.0,5.345204E-4,5.746162E-4,5.746162E-4,1.0,0.0,0.0053323656,0.0057317973,0.0057317973,1.0,0.0
6.9,9.049551E-6,9.716018E-6,9.716018E-6,1.0,0.0,3.878322E-5,4.1639436E-5,4.1639436E-5,1.0,0.0,4.7208337E-4,5.0684635E-4,5.0684635E-4,1.0,0.0,0.0047108172,0.0050573233,0.0050573233,1.0,0.0
7.0,8.6542195E-6,9.290493E-6,9.290493E-6,1.0,0.0,3.7088983E-5,3.981581E-5,3.981581E-5,1.0,0.0,4.5146482E-4,4.846538E-4,4.846538E-4,1.0,0.0,0.004505487,0.004836383,0.004836383,1.0,0.0
7.1,8.391028E-6,9.008743E-6,9.008743E-6,1.0,0.0,3.5961057E-5,3.8608352E-5,3.8608352E-5,1.0,0.0,4.3773788E-4,4.699594E-4,4.699594E-4,1.0,0.0,0.004368766,0.004690068,0.004690068,1.0,0.0
7.2,5.965188E-6,6.3808247E-6,6.3808247E-6,1.0,0.0,2.556484E-5,2.7346108E-5,2.7346108E-5,1.0,0.0,3.1120746E-4,3.3288854E-4,3.3288854E-4,1.0,0.0,0.00310772,0.0033239573,0.0033239573,1.0,0.0
7.3,4.877518E-6,5.213539E-6,5.213539E-6,1.0,0.0,2.0903482E-5,2.2343549E-5,2.2343549E-5,1.0,0.0,2.5447016E-4,2.7199922E-4,2.7199922E-4,1.0,0.0,0.0025417898,0.0027167094,0.0027167094,1.0,0.0
7.4,3.8829853E-6,4.147836E-6,4.147836E-6,1.0,0.0,1.664126E-5,1.7776321E-5,1.7776321E-5,1.0,0.0,2.0258849E-4,2.1640564E-4,2.1640564E-4,1.0,0.0,0.002024039,0.0021619909,0.0021619909,1.0,0.0
7.5,1.3489616E-6,1.4286973E-6,1.4286973E-6,1.0,0.0,5.7812517E-6,6.122974E-6,6.122974E-6,1.0,0.0,7.038446E-5,7.4544696E-5,7.4544696E-5,1.0,0.0,7.036218E-4,7.452009E-4,7.452009E-4,1.0,0.0
7.6,6.058192E-7,6.355724E-7,6.355724E-7,1.0,0.0,2.5963652E-6,2.723879E-6,2.723879E-6,1.0,0.0,3.161029E-5,3.3162738E-5,3.3162738E-5,1.0,0.0,3.1605794E-4,3.3157953E-4,3.3157953E-4,1.0,0.0
7.7,2.2170494E-7,2.2623206E-7,2.2623206E-7,1.0,0.0,9.5016367E-7,9.695657E-7,9.695657E-7,1.0,0.0,1.1568181E-5,1.180441E-5,1.180441E-5,1.0,0.0,1.1567579E-4,1.1803894E-4,1.1803894E-4,1.0,0.0
7.8,2.1613102E-8,1.5495287E-8,1.5495287E-8,1.0,0.0,9.262757E-8,6.640837E-8,6.640837E-8,1.0,0.0,1.1277401E-6,8.085217E-7,8.085217E-7,1.0,0.0,1.1277344E-5,8.085195E-6,8.085195E-6,1.0,0.0
