Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.980352E-5,2.1708E-5,2.1708E-5,1.0,0.0,8.486947E-5,9.3031376E-5,1.0303044E-4,1.1074806,1.0E-5,0.0010327959,0.0011321403,0.001142129,1.0088228,1.0E-5,0.010280091,0.011270886,0.011280773,1.0008773,1.0E-5
6.1,1.980352E-5,2.1708E-5,2.1708E-5,1.0,0.0,8.486947E-5,9.3031376E-5,1.0303044E-4,1.1074806,1.0E-5,0.0010327959,0.0011321403,0.001142129,1.0088228,1.0E-5,0.010280091,0.011270886,0.011280773,1.0008773,1.0E-5
6.2,1.980352E-5,2.1708E-5,2.1708E-5,1.0,0.0,8.486947E-5,9.3031376E-5,1.0303044E-4,1.1074806,1.0E-5,0.0010327959,0.0011321403,0.001142129,1.0088228,1.0E-5,0.010280091,0.011270886,0.011280773,1.0008773,1.0E-5
6.3,1.5344787E-5,1.6805367E-5,1.6805367E-5,1.0,0.0,6.576172E-5,7.202136E-5,8.202064E-5,1.1388377,1.0E-5,8.003548E-4,8.7656826E-4,8.865595E-4,1.0113981,1.0E-5,0.007974784,0.008737126,0.008747039,1.0011345,1.0E-5
6.4,1.5344787E-5,1.6805367E-5,1.6805367E-5,1.0,0.0,6.576172E-5,7.202136E-5,8.202064E-5,1.1388377,1.0E-5,8.003548E-4,8.7656826E-4,8.865595E-4,1.0113981,1.0E-5,0.007974784,0.008737126,0.008747039,1.0011345,1.0E-5
6.5,1.4189697E-5,1.5538528E-5,1.5538528E-5,1.0,0.0,6.081157E-5,6.659233E-5,7.659166E-5,1.1501575,1.0E-5,7.401293E-4,8.1052E-4,8.205119E-4,1.0123278,1.0E-5,0.0073766913,0.008081555,0.008091475,1.0012274,1.0E-5
6.6,1.3469301E-5,1.4749817E-5,1.4749817E-5,1.0,0.0,5.7724297E-5,6.3212305E-5,6.3212305E-5,1.0,0.0,7.025667E-4,7.6939777E-4,7.6939777E-4,1.0,0.0,0.0070034964,0.007673218,0.007673218,1.0,0.0
6.7,1.3027966E-5,1.4266981E-5,1.4266981E-5,1.0,0.0,5.5832945E-5,6.114311E-5,6.114311E-5,1.0,0.0,6.7955407E-4,7.4422255E-4,7.4422255E-4,1.0,0.0,0.006774798,0.007423154,0.007423154,1.0,0.0
6.8,5.695434E-6,6.244852E-6,6.244852E-6,1.0,0.0,2.4408775E-5,2.6763546E-5,2.6763546E-5,1.0,0.0,2.971363E-4,3.2582766E-4,3.2582766E-4,1.0,0.0,0.0029673933,0.0032564595,0.0032564595,1.0,0.0
6.9,4.385688E-6,4.808792E-6,4.808792E-6,1.0,0.0,1.879567E-5,2.0609106E-5,2.0609106E-5,1.0,0.0,2.2881327E-4,2.5091588E-4,2.5091588E-4,1.0,0.0,0.002285778,0.0025091588,0.0025091588,1.0,0.0
