Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.2243486E-5,5.1496794E-5,5.1496794E-5,1.0,0.0,1.8103095E-4,2.2068205E-4,2.2068205E-4,1.0,0.0,0.0022018238,0.0026835226,0.0026835226,1.0,0.0,0.021801353,0.02660954,0.026619274,1.0003659,1.0E-5
6.1,4.2243486E-5,5.1496794E-5,5.1496794E-5,1.0,0.0,1.8103095E-4,2.2068205E-4,2.2068205E-4,1.0,0.0,0.0022018238,0.0026835226,0.0026835226,1.0,0.0,0.021801353,0.02660954,0.026619274,1.0003659,1.0E-5
6.2,4.216245E-5,5.1363888E-5,5.1363888E-5,1.0,0.0,1.806837E-4,2.2011253E-4,2.2011253E-4,1.0,0.0,0.0021976046,0.002676606,0.002676606,1.0,0.0,0.021759989,0.026543016,0.02655275,1.0003667,1.0E-5
6.3,4.216245E-5,5.1363888E-5,5.1363888E-5,1.0,0.0,1.806837E-4,2.2011253E-4,2.2011253E-4,1.0,0.0,0.0021976046,0.002676606,0.002676606,1.0,0.0,0.021759989,0.026543016,0.02655275,1.0003667,1.0E-5
6.4,3.6858168E-5,4.4144046E-5,4.4144046E-5,1.0,0.0,1.5795401E-4,1.8917517E-4,1.8917517E-4,1.0,0.0,0.0019213937,0.0023007984,0.0023007984,1.0,0.0,0.019048655,0.022867978,0.022877749,1.0004272,1.0E-5
6.5,3.39199E-5,4.026537E-5,4.026537E-5,1.0,0.0,1.453629E-4,1.7255457E-4,1.7255457E-4,1.0,0.0,0.0017683565,0.0020988483,0.0020988483,1.0,0.0,0.017543508,0.020895563,0.020905355,1.0004686,1.0E-5
6.6,3.3571985E-5,3.971945E-5,3.971945E-5,1.0,0.0,1.4387199E-4,1.7021522E-4,1.7021522E-4,1.0,0.0,0.0017502342,0.0020704211,0.0020704211,1.0,0.0,0.017365133,0.020613857,0.02062365,1.0004752,1.0E-5
6.7,3.2580007E-5,3.83957E-5,3.83957E-5,1.0,0.0,1.3962112E-4,1.6454275E-4,1.6454275E-4,1.0,0.0,0.0016985617,0.0020014876,0.0020014876,1.0,0.0,0.016856372,0.019928891,0.019938692,1.0004917,1.0E-5
6.8,3.2185937E-5,3.7833495E-5,3.7833495E-5,1.0,0.0,1.3793244E-4,1.621336E-4,1.621336E-4,1.0,0.0,0.0016780337,0.0019722097,0.0019722097,1.0,0.0,0.016654192,0.019641371,0.019651176,1.0004991,1.0E-5
6.9,3.165394E-5,3.7051585E-5,3.7051585E-5,1.0,0.0,1.3565269E-4,1.5878295E-4,1.5878295E-4,1.0,0.0,0.0016503202,0.0019314885,0.0019314885,1.0,0.0,0.01638118,0.019241178,0.019250985,1.0005097,1.0E-5
