Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.1810763E-5,4.7835576E-5,6.783462E-5,1.4180789,2.0E-5,1.7917668E-4,2.0499443E-4,2.3498827E-4,1.1463155,3.0E-5,0.0021792934,0.0024931168,0.0025230418,1.0120032,3.0E-5,0.021580452,0.024669267,0.024718033,1.0019768,5.0E-5
6.1,4.1810763E-5,4.7835576E-5,6.783462E-5,1.4180789,2.0E-5,1.7917668E-4,2.0499443E-4,2.3498827E-4,1.1463155,3.0E-5,0.0021792934,0.0024931168,0.0025230418,1.0120032,3.0E-5,0.021580452,0.024669267,0.024718033,1.0019768,5.0E-5
6.2,4.1810763E-5,4.7835576E-5,6.783462E-5,1.4180789,2.0E-5,1.7917668E-4,2.0499443E-4,2.3498827E-4,1.1463155,3.0E-5,0.0021792934,0.0024931168,0.0025230418,1.0120032,3.0E-5,0.021580452,0.024669267,0.024718033,1.0019768,5.0E-5
6.3,4.1810763E-5,4.7835576E-5,6.783462E-5,1.4180789,2.0E-5,1.7917668E-4,2.0499443E-4,2.3498827E-4,1.1463155,3.0E-5,0.0021792934,0.0024931168,0.0025230418,1.0120032,3.0E-5,0.021580452,0.024669267,0.024718033,1.0019768,5.0E-5
6.4,4.1810763E-5,4.7835576E-5,6.783462E-5,1.4180789,2.0E-5,1.7917668E-4,2.0499443E-4,2.3498827E-4,1.1463155,3.0E-5,0.0021792934,0.0024931168,0.0025230418,1.0120032,3.0E-5,0.021580452,0.024669267,0.024718033,1.0019768,5.0E-5
6.5,3.154503E-5,3.55224E-5,5.552169E-5,1.563005,2.0E-5,1.3518598E-4,1.522305E-4,1.8222594E-4,1.1970396,3.0E-5,0.0016446467,0.0018519239,0.0018818683,1.0161694,3.0E-5,0.01632528,0.018374665,0.018423747,1.0026711,5.0E-5
6.6,3.1535834E-5,3.55118E-5,5.551109E-5,1.563173,2.0E-5,1.3514658E-4,1.5218506E-4,1.821805E-4,1.1970984,3.0E-5,0.0016441676,0.0018513717,0.0018813162,1.0161742,3.0E-5,0.01632056,0.018369235,0.018418316,1.002672,5.0E-5
6.7,2.8267326E-5,3.1613698E-5,5.1613068E-5,1.6326171,2.0E-5,1.2114006E-4,1.3548073E-4,1.6547667E-4,1.2214037,3.0E-5,0.0014738824,0.0016483159,0.0016782664,1.0181704,3.0E-5,0.014641452,0.01636977,0.01641895,1.0030044,5.0E-5
6.8,2.8212884E-5,3.155166E-5,5.155103E-5,1.6338611,2.0E-5,1.20906756E-4,1.3521488E-4,1.6521082E-4,1.2218391,3.0E-5,0.0014710457,0.0016450841,0.0016750348,1.0182061,3.0E-5,0.014613459,0.016337927,0.01638711,1.0030104,5.0E-5
6.9,2.4227871E-5,2.6825059E-5,4.682452E-5,1.7455516,2.0E-5,1.03829596E-4,1.14959905E-4,1.4495646E-4,1.2609305,3.0E-5,0.0012633923,0.001398815,0.001428773,1.0214168,3.0E-5,0.012562336,0.013907881,0.013957186,1.003545,5.0E-5
7.0,2.348524E-5,2.5954223E-5,3.5953963E-5,1.3852837,1.0E-5,1.0064714E-4,1.1122807E-4,1.2122696E-4,1.0898954,1.0E-5,0.0012246901,0.0013534371,0.0013634235,1.0073786,1.0E-5,0.012179627,0.013459669,0.0134793995,1.0014659,2.0E-5
7.1,2.2311642E-5,2.4576198E-5,3.4575954E-5,1.4068878,1.0E-5,9.561782E-5,1.0532274E-4,1.1532169E-4,1.0949363,1.0E-5,0.0011635252,0.0012816258,0.001291613,1.0077926,1.0E-5,0.01157452,0.01274995,0.012769695,1.0015486,2.0E-5
7.2,1.6533986E-5,1.775931E-5,2.7759132E-5,1.563075,1.0E-5,7.085802E-5,7.610947E-5,8.610871E-5,1.1313797,1.0E-5,8.623549E-4,9.263031E-4,9.3629386E-4,1.0107856,1.0E-5,0.008590161,0.009230777,0.009250592,1.0021467,2.0E-5
7.3,1.4703092E-5,1.5637585E-5,1.5637585E-5,1.0,0.0,6.301173E-5,6.701685E-5,6.701685E-5,1.0,0.0,7.668978E-4,8.1568706E-4,8.1568706E-4,1.0,0.0,0.0076425658,0.008133082,0.008143,1.0012195,1.0E-5
7.4,6.1331984E-6,5.54637E-6,5.54637E-6,1.0,0.0,2.6284872E-5,2.3769944E-5,2.3769944E-5,1.0,0.0,3.199713E-4,2.8936117E-4,2.8936117E-4,1.0,0.0,0.0031951098,0.0028898986,0.0028898986,1.0,0.0
7.5,5.954766E-6,5.355719E-6,5.355719E-6,1.0,0.0,2.5520176E-5,2.2952883E-5,2.2952883E-5,1.0,0.0,3.1066386E-4,2.7941607E-4,2.7941607E-4,1.0,0.0,0.003102299,0.0027907016,0.0027907016,1.0,0.0
