Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2188602E-4,2.660775E-4,3.3605887E-4,1.2630112,7.0E-5,5.2226405E-4,0.0011398356,0.001229733,1.0788687,9.0E-5,0.0063400427,0.013789766,0.013888387,1.0071517,1.0E-4,0.061621845,0.13017501,0.13029678,1.0009354,1.4E-4
6.1,1.2188602E-4,2.660775E-4,3.3605887E-4,1.2630112,7.0E-5,5.2226405E-4,0.0011398356,0.001229733,1.0788687,9.0E-5,0.0063400427,0.013789766,0.013888387,1.0071517,1.0E-4,0.061621845,0.13017501,0.13029678,1.0009354,1.4E-4
6.2,1.2188602E-4,2.660775E-4,3.3605887E-4,1.2630112,7.0E-5,5.2226405E-4,0.0011398356,0.001229733,1.0788687,9.0E-5,0.0063400427,0.013789766,0.013888387,1.0071517,1.0E-4,0.061621845,0.13017501,0.13029678,1.0009354,1.4E-4
6.3,1.2142645E-4,2.652021E-4,3.3518355E-4,1.2638797,7.0E-5,5.202953E-4,0.0011360872,0.0012259849,1.0791292,9.0E-5,0.006316212,0.013744707,0.013843332,1.0071756,1.0E-4,0.06139677,0.12979014,0.12991197,1.0009387,1.4E-4
6.4,1.1865206E-4,2.6015303E-4,3.3013482E-4,1.2690024,7.0E-5,5.0840975E-4,0.0011144669,0.0012043666,1.0806661,9.0E-5,0.006172335,0.013484765,0.013583416,1.0073158,1.0E-4,0.060036868,0.12755853,0.12768067,1.0009575,1.4E-4
6.5,1.17443946E-4,2.5804664E-4,3.2802857E-4,1.2711987,7.0E-5,5.032341E-4,0.0011054471,0.0011953476,1.081325,9.0E-5,0.006109677,0.013376298,0.013474961,1.007376,1.0E-4,0.059444077,0.12662664,0.12674892,1.0009656,1.4E-4
6.6,1.13579066E-4,2.5119478E-4,3.2117718E-4,1.2785982,7.0E-5,4.866766E-4,0.0010761066,0.0011660097,1.0835449,9.0E-5,0.0059092017,0.0130234,0.013122098,1.0075785,1.0E-4,0.057545185,0.12357826,0.123700954,1.0009929,1.4E-4
6.7,1.1271412E-4,2.4963493E-4,3.1961745E-4,1.2803395,7.0E-5,4.829711E-4,0.001069427,0.0011593307,1.0840672,9.0E-5,0.005864331,0.012943046,0.013041751,1.0076262,1.0E-4,0.057119697,0.12288493,0.12300772,1.0009993,1.4E-4
6.8,1.1217975E-4,2.4850617E-4,3.1848878E-4,1.2816131,7.0E-5,4.8068175E-4,0.0010645933,0.0011544975,1.0844493,9.0E-5,0.005836608,0.012884894,0.012983605,1.007661,1.0E-4,0.056856725,0.122381285,0.12250415,1.001004,1.4E-4
6.9,1.1146753E-4,2.469668E-4,3.1694953E-4,1.283369,7.0E-5,4.7763053E-4,0.0010580015,0.0011479063,1.0849761,9.0E-5,0.0057996577,0.012805585,0.012904304,1.0077091,1.0E-4,0.056506127,0.12169578,0.12181874,1.0010104,1.4E-4
7.0,1.0965793E-4,2.4315926E-4,3.1314223E-4,1.2878072,7.0E-5,4.698779E-4,0.0010416965,0.0011316028,1.0863075,9.0E-5,0.005705768,0.012609386,0.012708126,1.0078306,1.0E-4,0.055614736,0.11999376,0.120116964,1.0010267,1.4E-4
7.1,9.927982E-5,2.2079231E-4,2.8077906E-4,1.2716886,6.0E-5,4.2541555E-4,9.459107E-4,0.001025835,1.0844946,8.0E-5,0.0051671406,0.011455991,0.01154496,1.0077661,9.0E-5,0.05048634,0.10995941,0.110075116,1.0010523,1.3E-4
7.2,9.696786E-5,2.1570963E-4,2.756967E-4,1.2780917,6.0E-5,4.1551032E-4,9.241434E-4,0.0010040695,1.0864867,8.0E-5,0.00504711,0.011193727,0.01128272,1.0079502,9.0E-5,0.04934009,0.10766273,0.107778735,1.0010775,1.3E-4
7.3,9.4727984E-5,2.097979E-4,2.6978532E-4,1.2859296,6.0E-5,4.0591392E-4,8.988251E-4,9.787532E-4,1.0889251,8.0E-5,0.0049308087,0.010888599,0.010977618,1.0081755,9.0E-5,0.048228268,0.10496631,0.10508267,1.0011085,1.3E-4
7.4,9.220358E-5,2.0323519E-4,2.5322504E-4,1.2459704,5.0E-5,3.9509835E-4,8.707182E-4,9.406573E-4,1.0803235,7.0E-5,0.004799717,0.010549753,0.010628909,1.0075032,8.0E-5,0.046973653,0.1019628,0.10207056,1.0010569,1.2E-4
7.5,7.71631E-5,1.650838E-4,1.9507884E-4,1.1816959,3.0E-5,3.306571E-4,7.0731033E-4,7.57275E-4,1.0706403,5.0E-5,0.0040183207,0.00857759,0.008637075,1.006935,6.0E-5,0.03946433,0.08418792,0.08427034,1.0009791,9.0E-5
7.6,7.5634416E-5,1.6153956E-4,1.9153472E-4,1.185683,3.0E-5,3.241072E-4,6.921289E-4,7.420943E-4,1.0721909,5.0E-5,0.0039388672,0.008394195,0.008453691,1.0070878,6.0E-5,0.038697794,0.082504384,0.08258696,1.0010009,9.0E-5
7.7,6.3783E-5,1.3578025E-4,1.6577617E-4,1.2209152,3.0E-5,2.7332708E-4,5.817856E-4,6.3175656E-4,1.0858923,5.0E-5,0.0033226798,0.0070602717,0.0071099186,1.0070319,5.0E-5,0.032734364,0.07006087,0.070135266,1.0010619,8.0E-5
7.8,5.863422E-5,1.2548799E-4,1.4548548E-4,1.1593578,2.0E-5,2.512653E-4,5.376949E-4,5.776734E-4,1.0743517,4.0E-5,0.003054864,0.006526814,0.0065665524,1.0060886,4.0E-5,0.030132094,0.06481206,0.06487752,1.0010101,7.0E-5
7.9,4.595283E-5,9.276476E-5,1.1276291E-4,1.2155792,2.0E-5,1.9692584E-4,3.975027E-4,4.374868E-4,1.1005882,4.0E-5,0.0023949358,0.0048288656,0.004868672,1.0082436,4.0E-5,0.023692891,0.048344724,0.048411343,1.0013779,7.0E-5
8.0,3.2950178E-5,5.634619E-5,5.634619E-5,1.0,0.0,1.412074E-4,2.4146133E-4,2.5145893E-4,1.0414045,1.0E-5,0.0017178444,0.0029358307,0.0029458015,1.0033962,1.0E-5,0.017046256,0.02989608,0.029925184,1.0009735,3.0E-5
8.1,1.9177472E-5,2.1959295E-5,2.1959295E-5,1.0,0.0,8.218658E-5,9.410787E-5,1.04106926E-4,1.106251,1.0E-5,0.0010001622,0.0011451619,0.0011551505,1.0087224,1.0E-5,0.009956728,0.012196121,0.0122257555,1.0024298,3.0E-5
8.2,8.643924E-6,6.547067E-6,6.547067E-6,1.0,0.0,3.704486E-5,2.805856E-5,3.805828E-5,1.3563875,1.0E-5,4.5092785E-4,3.4155953E-4,3.515561E-4,1.0292674,1.0E-5,0.0045001395,0.0038270745,0.003846998,1.0052059,2.0E-5
8.3,1.983087E-6,9.567714E-7,9.567714E-7,1.0,0.0,8.498917E-6,4.1004428E-6,4.1004428E-6,1.0,0.0,1.034694E-4,4.992177E-5,4.992177E-5,1.0,0.0,0.0010342124,5.7975407E-4,5.7975407E-4,1.0,0.0
