Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.1064058E-4,6.954659E-4,7.25445E-4,1.0431066,3.0E-5,0.0013306376,0.002977293,0.0030271441,1.0167438,5.0E-5,0.016080605,0.035615683,0.03568319,1.0018954,7.0E-5,0.1496549,0.29369557,0.29377326,1.0002645,1.1E-4
6.1,3.1064058E-4,6.954659E-4,7.25445E-4,1.0431066,3.0E-5,0.0013306376,0.002977293,0.0030271441,1.0167438,5.0E-5,0.016080605,0.035615683,0.03568319,1.0018954,7.0E-5,0.1496549,0.29369557,0.29377326,1.0002645,1.1E-4
6.2,3.1064058E-4,6.954659E-4,7.25445E-4,1.0431066,3.0E-5,0.0013306376,0.002977293,0.0030271441,1.0167438,5.0E-5,0.016080605,0.035615683,0.03568319,1.0018954,7.0E-5,0.1496549,0.29369557,0.29377326,1.0002645,1.1E-4
6.3,3.1064058E-4,6.954659E-4,7.25445E-4,1.0431066,3.0E-5,0.0013306376,0.002977293,0.0030271441,1.0167438,5.0E-5,0.016080605,0.035615683,0.03568319,1.0018954,7.0E-5,0.1496549,0.29369557,0.29377326,1.0002645,1.1E-4
6.4,1.9872203E-4,4.514635E-4,4.8144997E-4,1.0664206,3.0E-5,8.5138786E-4,0.0019334375,0.0019833408,1.0258107,5.0E-5,0.010316478,0.02329191,0.02336028,1.0029353,7.0E-5,0.098504856,0.20458016,0.20466766,1.0004277,1.1E-4
6.5,1.291105E-4,3.0600058E-4,3.359914E-4,1.098009,3.0E-5,5.5321335E-4,0.0013107748,0.0013607093,1.0380954,5.0E-5,0.006714592,0.015842821,0.015911713,1.0043484,7.0E-5,0.065152965,0.14563905,0.14573303,1.0006453,1.1E-4
6.6,1.291105E-4,3.0600058E-4,3.359914E-4,1.098009,3.0E-5,5.5321335E-4,0.0013107748,0.0013607093,1.0380954,5.0E-5,0.006714592,0.015842821,0.015911713,1.0043484,7.0E-5,0.065152965,0.14563905,0.14573303,1.0006453,1.1E-4
6.7,1.08001186E-4,2.6147463E-4,2.914668E-4,1.1147039,3.0E-5,4.6278012E-4,0.001120125,0.001170069,1.0445879,5.0E-5,0.0056198016,0.013552604,0.013621655,1.005095,7.0E-5,0.054797906,0.12682657,0.12692262,1.0007573,1.1E-4
6.8,1.0624356E-4,2.565876E-4,2.8657992E-4,1.1168891,3.0E-5,4.5525006E-4,0.0010991982,0.0011491433,1.0454377,5.0E-5,0.0055285925,0.013300952,0.01337002,1.0051928,7.0E-5,0.053930566,0.124765895,0.12486217,1.0007716,1.1E-4
6.9,1.0393785E-4,2.502069E-4,2.801994E-4,1.1198708,3.0E-5,4.4537184E-4,0.0010718751,0.0011218216,1.0465972,5.0E-5,0.0054089287,0.012972295,0.013041387,1.0053262,7.0E-5,0.05279156,0.12205228,0.12214886,1.0007913,1.1E-4
7.0,1.0155622E-4,2.4380608E-4,2.7379877E-4,1.1230186,3.0E-5,4.3516833E-4,0.0010444652,0.001094413,1.0478214,5.0E-5,0.005285311,0.012642494,0.01271161,1.0054669,7.0E-5,0.05161361,0.11929626,0.11939314,1.000812,1.1E-4
7.1,9.885595E-5,2.365803E-4,2.665732E-4,1.1267768,3.0E-5,4.2359953E-4,0.0010135219,0.0010634713,1.0492829,5.0E-5,0.0051451353,0.0122700585,0.0123392,1.0056349,7.0E-5,0.05027629,0.1161663,0.116263516,1.000837,1.1E-4
7.2,9.6411415E-5,2.3010887E-4,2.6010195E-4,1.1303431,3.0E-5,4.1312634E-4,9.858084E-4,0.0010357592,1.0506698,5.0E-5,0.005018219,0.011936393,0.012005557,1.0057944,7.0E-5,0.049064007,0.11333871,0.11343624,1.0008606,1.1E-4
7.3,9.1180635E-5,2.1181094E-4,2.4180458E-4,1.1416057,3.0E-5,3.907156E-4,9.0744544E-4,9.574001E-4,1.0550498,5.0E-5,0.004746591,0.010992328,0.011061558,1.0062981,7.0E-5,0.046464786,0.10537529,0.1054737,1.0009339,1.1E-4
7.4,8.887388E-5,2.0405541E-4,2.340493E-4,1.1469889,3.0E-5,3.8083247E-4,8.742302E-4,9.241865E-4,1.0571432,5.0E-5,0.0046267817,0.010591935,0.010661194,1.0065387,7.0E-5,0.045316286,0.10194685,0.10204564,1.000969,1.1E-4
7.5,8.6750515E-5,1.9714734E-4,2.2714143E-4,1.1521405,3.0E-5,3.7173493E-4,8.446437E-4,8.9460146E-4,1.0591465,5.0E-5,0.004516484,0.0102351615,0.010304445,1.0067692,7.0E-5,0.04425787,0.09884613,0.09894526,1.0010028,1.1E-4
7.6,8.453092E-5,1.907799E-4,2.2077418E-4,1.1572193,3.0E-5,3.6222505E-4,8.17372E-4,8.673311E-4,1.0611217,5.0E-5,0.0044011753,0.009906196,0.009975503,1.0069963,7.0E-5,0.04315024,0.095923804,0.09602325,1.0010368,1.1E-4
7.7,8.259102E-5,1.8578932E-4,2.1578374E-4,1.1614432,3.0E-5,3.539135E-4,7.9599704E-4,8.4595726E-4,1.0627643,5.0E-5,0.004300386,0.009648292,0.009717617,1.0071852,7.0E-5,0.042181134,0.09359947,0.09369917,1.0010653,1.1E-4
7.8,7.444844E-5,1.6750154E-4,1.874982E-4,1.1193819,2.0E-5,3.1902574E-4,7.176663E-4,7.576376E-4,1.0556962,4.0E-5,0.0038772223,0.008702648,0.008762126,1.0068345,6.0E-5,0.03810269,0.08482815,0.08491967,1.0010788,1.0E-4
7.9,5.2586525E-5,1.0994982E-4,1.2994763E-4,1.1818812,2.0E-5,2.2535135E-4,4.7112844E-4,5.111096E-4,1.0848626,4.0E-5,0.0027402006,0.0057209185,0.0057706325,1.0086899,5.0E-5,0.027066574,0.05679376,0.05687865,1.0014946,9.0E-5
8.0,3.379877E-5,5.9909467E-5,5.9909467E-5,1.0,0.0,1.4484383E-4,2.567296E-4,2.6672703E-4,1.0389415,1.0E-5,0.0017620471,0.0031212054,0.003131174,1.0031939,1.0E-5,0.017481409,0.031669687,0.031708423,1.0012231,4.0E-5
8.1,1.8668277E-5,2.2067266E-5,2.2067266E-5,1.0,0.0,8.000444E-5,9.4570576E-5,1.04569626E-4,1.1057311,1.0E-5,9.736188E-4,0.0011507894,0.0011607779,1.0086796,1.0E-5,0.009693642,0.012225895,0.012255529,1.0024238,3.0E-5
8.2,8.541571E-6,6.5292843E-6,6.5292843E-6,1.0,0.0,3.660622E-5,2.7982349E-5,3.7982067E-5,1.3573581,1.0E-5,4.455896E-4,3.4063196E-4,3.5062854E-4,1.0293472,1.0E-5,0.0044469717,0.0038171315,0.003837055,1.0052196,2.0E-5
8.3,1.983087E-6,9.567714E-7,9.567714E-7,1.0,0.0,8.498917E-6,4.1004428E-6,4.1004428E-6,1.0,0.0,1.034694E-4,4.992177E-5,4.992177E-5,1.0,0.0,0.0010342124,5.7975407E-4,5.7975407E-4,1.0,0.0
