Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.4273766E-4,3.3248306E-4,3.524764E-4,1.0601335,2.0E-5,6.115894E-4,0.0014241554,0.0014640985,1.0280468,4.0E-5,0.0074207084,0.017202847,0.017261814,1.0034277,6.0E-5,0.07177748,0.15696847,0.15705277,1.000537,1.0E-4
6.1,1.4273766E-4,3.3248306E-4,3.524764E-4,1.0601335,2.0E-5,6.115894E-4,0.0014241554,0.0014640985,1.0280468,4.0E-5,0.0074207084,0.017202847,0.017261814,1.0034277,6.0E-5,0.07177748,0.15696847,0.15705277,1.000537,1.0E-4
6.2,1.4273766E-4,3.3248306E-4,3.524764E-4,1.0601335,2.0E-5,6.115894E-4,0.0014241554,0.0014640985,1.0280468,4.0E-5,0.0074207084,0.017202847,0.017261814,1.0034277,6.0E-5,0.07177748,0.15696847,0.15705277,1.000537,1.0E-4
6.3,1.3730655E-4,3.214351E-4,3.4142868E-4,1.0622009,2.0E-5,5.883239E-4,0.0013768575,0.0014168024,1.0290116,4.0E-5,0.0071393442,0.016635895,0.016694896,1.0035467,6.0E-5,0.06914291,0.15226427,0.15234904,1.0005567,1.0E-4
6.4,1.3730655E-4,3.214351E-4,3.4142868E-4,1.0622009,2.0E-5,5.883239E-4,0.0013768575,0.0014168024,1.0290116,4.0E-5,0.0071393442,0.016635895,0.016694896,1.0035467,6.0E-5,0.06914291,0.15226427,0.15234904,1.0005567,1.0E-4
6.5,1.2942807E-4,3.0543804E-4,3.2543193E-4,1.0654597,2.0E-5,5.545738E-4,0.0013083688,0.0013483164,1.0305325,4.0E-5,0.0067310524,0.015814379,0.01587343,1.003734,6.0E-5,0.06530788,0.14542314,0.1455086,1.0005877,1.0E-4
6.6,1.1125901E-4,2.6945595E-4,2.8945055E-4,1.0742036,2.0E-5,4.767372E-4,0.0011543025,0.0011942564,1.034613,4.0E-5,0.005788839,0.013963769,0.014022931,1.0042368,6.0E-5,0.056403454,0.12965575,0.12974277,1.0006713,1.0E-4
6.7,1.02209575E-4,2.5066672E-4,2.7066172E-4,1.0797672,2.0E-5,4.3796748E-4,0.0010738452,0.0011138022,1.0372093,4.0E-5,0.0053192247,0.012996165,0.013055385,1.0045568,6.0E-5,0.051936906,0.12144242,0.12153028,1.0007235,1.0E-4
6.8,9.610582E-5,2.356669E-4,2.556622E-4,1.0848455,2.0E-5,4.1181705E-4,0.0010096107,0.0010495704,1.0395793,4.0E-5,0.0050023515,0.01222304,0.012282306,1.0048487,6.0E-5,0.048912346,0.11479959,0.11488811,1.000771,1.0E-4
6.9,9.3877505E-5,2.30145E-4,2.5014038E-4,1.0868818,2.0E-5,4.0227012E-4,9.859635E-4,0.0010259241,1.0405295,4.0E-5,0.0048866454,0.0119383205,0.011997604,1.0049658,6.0E-5,0.04780577,0.11237333,0.112462096,1.0007899,1.0E-4
7.0,9.1019785E-5,2.2329821E-4,2.4329375E-4,1.0895463,2.0E-5,3.900265E-4,9.56642E-4,9.966037E-4,1.041773,4.0E-5,0.0047382377,0.011585178,0.011644484,1.0051191,6.0E-5,0.046384744,0.10931144,0.1094005,1.0008148,1.0E-4
7.1,8.771155E-5,2.1490827E-4,2.3490397E-4,1.093043,2.0E-5,3.758525E-4,9.207109E-4,9.606741E-4,1.0434047,4.0E-5,0.0045664064,0.011152271,0.011211602,1.0053201,6.0E-5,0.044737056,0.10559491,0.10568435,1.000847,1.0E-4
7.2,8.0830236E-5,1.9867625E-4,2.1867228E-4,1.1006463,2.0E-5,3.4636928E-4,8.51192E-4,8.9115795E-4,1.046953,4.0E-5,0.0042088944,0.010314152,0.010373533,1.0057572,6.0E-5,0.041300658,0.09825117,0.098341346,1.0009178,1.0E-4
7.3,7.7668235E-5,1.878033E-4,2.0779955E-4,1.1064744,2.0E-5,3.328214E-4,8.046231E-4,8.4459095E-4,1.0496727,4.0E-5,0.0040445733,0.009752385,0.0098118,1.0060923,6.0E-5,0.03971748,0.09342956,0.09352022,1.0009704,1.0E-4
7.4,7.520177E-5,1.7976158E-4,1.99758E-4,1.1112385,2.0E-5,3.2225347E-4,7.7017944E-4,8.101486E-4,1.051896,4.0E-5,0.0039163795,0.009336705,0.009396145,1.0063663,6.0E-5,0.038480744,0.08981651,0.08990753,1.0010134,1.0E-4
7.5,7.274697E-5,1.7241175E-4,1.9240829E-4,1.1159813,2.0E-5,3.1173544E-4,7.386983E-4,7.7866873E-4,1.0541093,4.0E-5,0.003788775,0.008956639,0.009016101,1.0066389,6.0E-5,0.03724827,0.08646383,0.08655518,1.0010566,1.0E-4
7.6,7.1185845E-5,1.6796475E-4,1.879614E-4,1.1190526,2.0E-5,3.0504653E-4,7.196504E-4,7.596217E-4,1.0555426,4.0E-5,0.0037076178,0.008726614,0.00878609,1.0068156,6.0E-5,0.036463667,0.0844052,0.08449676,1.0010848,1.0E-4
7.7,6.709961E-5,1.5664661E-4,1.7664347E-4,1.1276559,2.0E-5,2.8753807E-4,6.711699E-4,7.111431E-4,1.0595574,4.0E-5,0.003495157,0.008140929,0.008200441,1.0073102,6.0E-5,0.034406938,0.07909113,0.07918322,1.0011643,1.0E-4
7.8,6.300812E-5,1.4465775E-4,1.6465486E-4,1.1382374,2.0E-5,2.7000686E-4,6.198145E-4,6.597897E-4,1.0644954,4.0E-5,0.0032823787,0.0075201704,0.007579719,1.0079186,6.0E-5,0.032343175,0.07342101,0.073513664,1.001262,1.0E-4
7.9,4.983037E-5,1.06841544E-4,1.2683941E-4,1.1871731,2.0E-5,2.1354125E-4,4.5781198E-4,4.9779366E-4,1.0873321,4.0E-5,0.0025967648,0.0055596298,0.005609352,1.0089434,5.0E-5,0.025666296,0.05511199,0.05519703,1.001543,9.0E-5
8.0,3.2211527E-5,5.9006306E-5,5.9006306E-5,1.0,0.0,1.380421E-4,2.5285967E-4,2.6285715E-4,1.0395377,1.0E-5,0.0016793669,0.003074223,0.0030841923,1.0032429,1.0E-5,0.016667323,0.031124257,0.03116301,1.0012451,4.0E-5
8.1,1.743376E-5,2.1480619E-5,2.1480619E-5,1.0,0.0,7.471398E-5,9.205655E-5,1.0205563E-4,1.1086189,1.0E-5,9.0926304E-4,0.0011202131,0.0011302019,1.0089169,1.0E-5,0.009055517,0.011853421,0.011883065,1.0025009,3.0E-5
