Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2336002E-4,3.114857E-4,3.2148257E-4,1.0320942,1.0E-5,5.2857865E-4,0.0013342828,0.0013642428,1.022454,3.0E-5,0.006416472,0.016129076,0.01616843,1.00244,4.0E-5,0.06234337,0.14745452,0.14752272,1.0004625,8.0E-5
6.1,1.2336002E-4,3.114857E-4,3.2148257E-4,1.0320942,1.0E-5,5.2857865E-4,0.0013342828,0.0013642428,1.022454,3.0E-5,0.006416472,0.016129076,0.01616843,1.00244,4.0E-5,0.06234337,0.14745452,0.14752272,1.0004625,8.0E-5
6.2,1.2336002E-4,3.114857E-4,3.2148257E-4,1.0320942,1.0E-5,5.2857865E-4,0.0013342828,0.0013642428,1.022454,3.0E-5,0.006416472,0.016129076,0.01616843,1.00244,4.0E-5,0.06234337,0.14745452,0.14752272,1.0004625,8.0E-5
6.3,1.1712257E-4,2.9923543E-4,3.0923245E-4,1.0334085,1.0E-5,5.018573E-4,0.001281834,0.0013117956,1.023374,3.0E-5,0.006093008,0.0154997185,0.0155390985,1.0025407,4.0E-5,0.059286322,0.14211397,0.1421826,1.0004829,8.0E-5
6.4,1.1712257E-4,2.9923543E-4,3.0923245E-4,1.0334085,1.0E-5,5.018573E-4,0.001281834,0.0013117956,1.023374,3.0E-5,0.006093008,0.0154997185,0.0155390985,1.0025407,4.0E-5,0.059286322,0.14211397,0.1421826,1.0004829,8.0E-5
6.5,1.0689076E-4,2.7914328E-4,2.8914047E-4,1.0358139,1.0E-5,4.5802278E-4,0.0011958056,0.0012257698,1.0250577,3.0E-5,0.0055621783,0.014466573,0.0145059945,1.002725,4.0E-5,0.05425003,0.13331176,0.1333811,1.0005201,8.0E-5
6.6,9.7648895E-5,2.61375E-4,2.713724E-4,1.0382493,1.0E-5,4.1842813E-4,0.0011197223,0.0011496887,1.0267624,3.0E-5,0.005082469,0.01355197,0.013591428,1.0029116,4.0E-5,0.049677886,0.12542644,0.1254964,1.0005578,8.0E-5
6.7,8.757013E-5,2.4186392E-4,2.518615E-4,1.0413356,1.0E-5,3.7524657E-4,0.0010361711,0.00106614,1.0289228,3.0E-5,0.00455906,0.012546686,0.012586185,1.0031481,4.0E-5,0.04466656,0.11673575,0.11680641,1.0006053,8.0E-5
6.8,8.562978E-5,2.3737027E-4,2.473679E-4,1.0421183,1.0E-5,3.6693315E-4,0.0010169278,0.0010468973,1.0294706,3.0E-5,0.004458263,0.012315063,0.01235457,1.003208,4.0E-5,0.043698758,0.11472294,0.11479376,1.0006174,8.0E-5
6.9,6.124075E-5,1.8006434E-4,1.9006254E-4,1.0555257,1.0E-5,2.6243398E-4,7.7147695E-4,8.0145383E-4,1.0388565,3.0E-5,0.0031904527,0.009352508,0.009392134,1.0042369,4.0E-5,0.031450346,0.08817759,0.08825054,1.0008273,8.0E-5
7.0,5.8598747E-5,1.7423758E-4,1.8423583E-4,1.057383,1.0E-5,2.5111332E-4,7.465196E-4,7.764972E-4,1.0401565,3.0E-5,0.0030530186,0.009051214,0.009090852,1.0043793,4.0E-5,0.03011414,0.08545173,0.085524894,1.0008562,8.0E-5
7.1,5.613814E-5,1.6831268E-4,1.7831099E-4,1.0594032,1.0E-5,2.4056983E-4,7.211414E-4,7.511198E-4,1.0415707,3.0E-5,0.0029250039,0.00874475,0.0087844,1.0045341,4.0E-5,0.028868021,0.08271658,0.08278996,1.0008872,8.0E-5
7.2,4.991222E-5,1.541048E-4,1.6410326E-4,1.0648808,1.0E-5,2.1389198E-4,6.602824E-4,6.902626E-4,1.0454051,3.0E-5,0.002601025,0.008009423,0.0080491025,1.0049541,4.0E-5,0.025707912,0.0760721,0.076146014,1.0009717,8.0E-5
7.3,4.7410045E-5,1.4580652E-4,1.5580507E-4,1.0685741,1.0E-5,2.0317009E-4,6.2473584E-4,6.547171E-4,1.0479903,3.0E-5,0.0024707897,0.007579729,0.0076194257,1.0052372,4.0E-5,0.024434982,0.07226983,0.07234404,1.001027,8.0E-5
7.4,4.5556746E-5,1.3970675E-4,1.4970535E-4,1.0715685,1.0E-5,1.952286E-4,5.9860613E-4,6.285882E-4,1.0500864,3.0E-5,0.002374317,0.007263765,0.0073034745,1.0054668,4.0E-5,0.023491086,0.069462985,0.06953743,1.0010717,8.0E-5
7.5,4.3084514E-5,1.3184016E-4,1.4183886E-4,1.0758394,1.0E-5,1.8463485E-4,5.6490727E-4,5.948903E-4,1.053076,3.0E-5,0.0022456115,0.006856138,0.0068958635,1.0057942,4.0E-5,0.022230545,0.06578633,0.06586107,1.0011361,8.0E-5
7.6,3.408608E-5,1.0578276E-4,1.157817E-4,1.0945233,1.0E-5,1.4607502E-4,4.5327604E-4,4.8326244E-4,1.0661548,3.0E-5,0.0017770125,0.0055047013,0.0055444813,1.0072265,4.0E-5,0.017628696,0.053291943,0.053367678,1.0014212,8.0E-5
7.7,2.8315713E-5,8.935721E-5,9.9356315E-5,1.1119004,1.0E-5,1.2134742E-4,3.829033E-4,4.128918E-4,1.0783187,3.0E-5,0.0014764034,0.004651894,0.004691708,1.0085586,4.0E-5,0.01466633,0.045320604,0.045396976,1.0016851,8.0E-5
7.8,2.6222975E-5,8.0975355E-5,9.097454E-5,1.1234844,1.0E-5,1.1237934E-4,3.469911E-4,3.7698066E-4,1.0864276,3.0E-5,0.0013673597,0.004216441,0.004256272,1.0094466,4.0E-5,0.013589768,0.04126834,0.041345038,1.0018585,8.0E-5
7.9,2.1469694E-5,6.295219E-5,7.295156E-5,1.1588407,1.0E-5,9.200973E-5,2.6976722E-4,2.9975912E-4,1.111177,3.0E-5,0.0011196428,0.0032794732,0.003319342,1.0121571,4.0E-5,0.011140184,0.032449905,0.03252731,1.0023854,8.0E-5
8.0,1.2420249E-5,3.4137433E-5,3.4137433E-5,1.0,0.0,5.322855E-5,1.4629507E-4,1.5629361E-4,1.068345,1.0E-5,6.478649E-4,0.0017796886,0.0017896708,1.0056089,1.0E-5,0.0064597935,0.017827736,0.017867023,1.0022037,4.0E-5
8.1,4.9197724E-6,8.83501E-6,8.83501E-6,1.0,0.0,2.1084568E-5,3.7863778E-5,4.78634E-5,1.2640946,1.0E-5,2.566744E-4,4.6089417E-4,4.7088956E-4,1.0216869,1.0E-5,0.002563781,0.0048869853,0.0049168384,1.0061088,3.0E-5
8.2,2.5634774E-6,3.391601E-6,3.391601E-6,1.0,0.0,1.0986286E-5,1.45353515E-5,2.4535206E-5,1.6879679,1.0E-5,1.3374983E-4,1.769536E-4,1.8695183E-4,1.056502,1.0E-5,0.0013366934,0.0019553096,0.0019752707,1.0102086,2.0E-5
8.3,5.2850464E-7,3.9027466E-7,3.9027466E-7,1.0,0.0,2.2650179E-6,1.6726046E-6,1.6726046E-6,1.0,0.0,2.7576245E-5,2.036379E-5,2.036379E-5,1.0,0.0,2.7572823E-4,2.3691103E-4,2.3691103E-4,1.0,0.0
