Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.3699627E-5,1.626785E-5,1.626785E-5,1.0,0.0,1.4441897E-4,6.971791E-5,6.971791E-5,1.0,0.0,0.0017568829,8.4855885E-4,8.4855885E-4,1.0,0.0,0.01743058,0.008495435,0.00850535,1.001167,1.0E-5
6.1,2.303065E-5,1.626785E-5,1.626785E-5,1.0,0.0,9.8699056E-5,6.971791E-5,6.971791E-5,1.0,0.0,0.0012009986,8.4855885E-4,8.4855885E-4,1.0,0.0,0.011945285,0.008495435,0.00850535,1.001167,1.0E-5
6.2,2.24246E-5,1.6239055E-5,1.6239055E-5,1.0,0.0,9.610189E-5,6.959451E-5,6.959451E-5,1.0,0.0,0.0011694124,8.4705756E-4,8.4705756E-4,1.0,0.0,0.011632777,0.008480537,0.008490452,1.0011692,1.0E-5
6.3,1.6621638E-5,9.454347E-6,9.454347E-6,1.0,0.0,7.123365E-5,4.0518225E-5,4.0518225E-5,1.0,0.0,8.669246E-4,4.932377E-4,4.932377E-4,1.0,0.0,0.008635503,0.0049604606,0.0049604606,1.0,0.0
6.4,1.48395575E-5,7.371184E-6,7.371184E-6,1.0,0.0,6.3596555E-5,3.1590607E-5,3.1590607E-5,1.0,0.0,7.7401294E-4,3.8458343E-4,3.8458343E-4,1.0,0.0,0.0077132257,0.0038778302,0.0038778302,1.0,0.0
6.5,1.4358964E-5,6.8205636E-6,6.8205636E-6,1.0,0.0,6.1536964E-5,2.923086E-5,2.923086E-5,1.0,0.0,7.48955E-4,3.5586313E-4,3.5586313E-4,1.0,0.0,0.0074643586,0.003591578,0.003591578,1.0,0.0
6.6,9.772591E-6,1.4838785E-6,1.4838785E-6,1.0,0.0,4.188186E-5,6.359464E-6,6.359464E-6,1.0,0.0,5.097923E-4,7.7423756E-5,7.7423756E-5,1.0,0.0,0.005086244,8.092336E-4,8.092336E-4,1.0,0.0
6.7,9.752745E-6,1.4625986E-6,1.4625986E-6,1.0,0.0,4.179681E-5,6.2682648E-6,6.2682648E-6,1.0,0.0,5.0875737E-4,7.631348E-5,7.631348E-5,1.0,0.0,0.005075942,7.9813896E-4,7.9813896E-4,1.0,0.0
6.8,9.608213E-6,1.3463746E-6,1.3463746E-6,1.0,0.0,4.1177405E-5,5.770164E-6,5.770164E-6,1.0,0.0,5.012196E-4,7.024951E-5,7.024951E-5,1.0,0.0,0.005000906,7.372345E-4,7.372345E-4,1.0,0.0
6.9,9.427164E-6,1.2294299E-6,1.2294299E-6,1.0,0.0,4.04015E-5,5.2689747E-6,5.2689747E-6,1.0,0.0,4.9177726E-4,6.4147906E-5,6.4147906E-5,1.0,0.0,0.004906904,6.7575916E-4,6.7575916E-4,1.0,0.0
7.0,9.247601E-6,1.0936952E-6,1.0936952E-6,1.0,0.0,3.9631974E-5,4.687257E-6,4.687257E-6,1.0,0.0,4.8241246E-4,5.7065878E-5,5.7065878E-5,1.0,0.0,0.0048136655,6.0460105E-4,6.0460105E-4,1.0,0.0
7.1,8.995454E-6,9.285186E-7,9.285186E-7,1.0,0.0,3.8551374E-5,3.9793595E-6,3.9793595E-6,1.0,0.0,4.6926187E-4,4.8447637E-5,4.8447637E-5,1.0,0.0,0.004682722,5.1773543E-4,5.1773543E-4,1.0,0.0
7.2,8.520861E-6,6.1930393E-7,6.1930393E-7,1.0,0.0,3.6517464E-5,2.654157E-6,2.654157E-6,1.0,0.0,4.445094E-4,3.2313892E-5,3.2313892E-5,1.0,0.0,0.004436213,3.5502046E-4,3.5502046E-4,1.0,0.0
7.3,8.043592E-6,4.2962262E-7,4.2962262E-7,1.0,0.0,3.4472083E-5,1.8412385E-6,1.8412385E-6,1.0,0.0,4.196168E-4,2.2416849E-5,2.2416849E-5,1.0,0.0,0.004188253,2.5487514E-4,2.5487514E-4,1.0,0.0
7.4,7.662316E-6,3.704336E-7,3.704336E-7,1.0,0.0,3.2838085E-5,1.5875717E-6,1.5875717E-6,1.0,0.0,3.9973034E-4,1.9328516E-5,1.9328516E-5,1.0,0.0,0.0039901207,2.2221054E-4,2.2221054E-4,1.0,0.0
7.5,6.961638E-6,3.0195332E-7,3.0195332E-7,1.0,0.0,2.9835252E-5,1.294085E-6,1.294085E-6,1.0,0.0,3.6318362E-4,1.5755373E-5,1.5755373E-5,1.0,0.0,0.0036259065,1.8281567E-4,1.8281567E-4,1.0,0.0
7.6,6.282332E-6,2.2096535E-7,2.2096535E-7,1.0,0.0,2.6924003E-5,9.46994E-7,9.46994E-7,1.0,0.0,3.2775043E-4,1.15295925E-5,1.15295925E-5,1.0,0.0,0.0032726745,1.3594932E-4,1.3594932E-4,1.0,0.0
7.7,4.934408E-6,6.827338E-8,6.827338E-8,1.0,0.0,2.114729E-5,2.9260016E-7,2.9260016E-7,1.0,0.0,2.5743784E-4,3.562401E-6,3.562401E-6,1.0,0.0,0.0025713982,4.45549E-5,4.45549E-5,1.0,0.0
7.8,2.373212E-6,4.9550795E-8,4.9550795E-8,1.0,0.0,1.0170869E-5,2.1236053E-7,2.1236053E-7,1.0,0.0,1.238233E-4,2.5854863E-6,2.5854863E-6,1.0,0.0,0.0012375432,3.361639E-5,3.361639E-5,1.0,0.0
7.9,1.8227792E-6,4.321042E-8,4.321042E-8,1.0,0.0,7.811887E-6,1.851875E-7,1.851875E-7,1.0,0.0,9.510558E-5,2.2546556E-6,2.2546556E-6,1.0,0.0,9.5064886E-4,2.9723244E-5,2.9723244E-5,1.0,0.0
