Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 yr Probability,1 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,9.43636,0.0,24.0,1.0,0.0,0.67973,0.00319,2.21353
2.6,7.49041,0.0,19.0,1.0,0.0,0.62781,0.00319,1.75875
2.7,5.95006,0.0,16.0,1.0,0.0,0.57469,0.00319,1.39843
2.8,4.72693,0.0,13.0,1.0,0.0,0.52165,0.00319,1.11246
2.9,3.75696,0.0,10.0,0.0,0.0,0.46769,0.00319,0.88374
3.0,2.98522,0.0,8.0,0.0,0.0,0.41557,0.00319,0.70259
3.1,2.36853,0.0,7.0,0.0,0.0,0.36431,0.00319,0.55688
3.2,1.8816,0.0,6.0,0.0,0.0,0.31755,0.00319,0.44098
3.3,1.49475,0.0,5.0,0.0,0.0,0.27504,0.00319,0.35165
3.4,1.18885,0.0,4.0,0.0,0.0,0.23631,0.00319,0.27952
3.5,0.94594,0.0,3.0,0.0,0.0,0.20108,0.00319,0.22174
3.6,0.75172,0.0,3.0,0.0,0.0,0.16972,0.00319,0.17622
3.7,0.59915,0.0,2.0,0.0,0.0,0.1439,0.00319,0.14091
3.8,0.47733,0.0,2.0,0.0,0.0,0.12103,0.00319,0.11209
3.9,0.37879,0.0,2.0,0.0,0.0,0.10102,0.00319,0.08886
4.0,0.30155,0.0,1.0,0.0,0.0,0.08337,0.00319,0.07062
4.1,0.24101,0.0,1.0,0.0,0.0,0.06997,0.00319,0.05681
4.2,0.19041,0.0,1.0,0.0,0.0,0.05742,0.00319,0.04476
4.3,0.15151,0.0,1.0,0.0,0.0,0.04748,0.00319,0.03589
4.4,0.12087,0.0,1.0,0.0,0.0,0.03947,0.00319,0.02868
4.5,0.0964,0.0,1.0,0.0,0.0,0.03265,0.00319,0.02288
4.6,0.07696,0.0,1.0,0.0,0.0,0.02694,0.00319,0.01846
4.7,0.06159,0.0,0.0,0.0,0.0,0.0226,0.00319,0.01501
4.8,0.0495,0.0,0.0,0.0,0.0,0.01882,0.00319,0.01226
4.9,0.04014,0.0,0.0,0.0,0.0,0.01592,0.00319,0.01009
5.0,0.03239,0.0,0.0,0.0,0.0,0.01364,0.00319,0.00839
5.1,0.02646,0.0,0.0,0.0,0.0,0.01172,0.00319,0.00707
5.2,0.02147,0.0,0.0,0.0,0.0,0.00972,0.00319,0.00577
5.3,0.01763,0.0,0.0,0.0,0.0,0.00844,0.00319,0.00492
5.4,0.01454,0.0,0.0,0.0,0.0,0.00734,0.00319,0.00417
5.5,0.01194,0.0,0.0,0.0,0.0,0.00638,0.00319,0.00359
5.6,0.00992,0.0,0.0,0.0,0.0,0.0056,0.00319,0.00315
5.7,0.00821,0.0,0.0,0.0,0.0,0.00504,0.00319,0.00279
5.8,0.00697,0.0,0.0,0.0,0.0,0.00454,0.00319,0.00245
5.9,0.00598,0.0,0.0,0.0,0.0,0.00415,0.00319,0.00223
6.0,0.00527,0.0,0.0,0.0,0.0,0.00389,0.00319,0.00208
6.1,0.00469,0.0,0.0,0.0,0.0,0.00368,0.00319,0.00197
6.2,0.00436,0.0,0.0,0.0,0.0,0.00351,0.00318,0.00189
6.3,0.00402,0.0,0.0,0.0,0.0,0.00337,0.00317,0.00183
6.4,0.00188,0.0,0.0,0.0,0.0,0.0016,0.0014,6.8E-4
6.5,0.00173,0.0,0.0,0.0,0.0,0.0015,0.00137,6.5E-4
6.6,6.6E-4,0.0,0.0,0.0,0.0,5.6E-4,4.6E-4,2.5E-4
6.7,5.9E-4,0.0,0.0,0.0,0.0,5.2E-4,4.5E-4,2.3E-4
6.8,4.8E-4,0.0,0.0,0.0,0.0,4.2E-4,3.8E-4,1.8E-4
6.9,2.9E-4,0.0,0.0,0.0,0.0,2.5E-4,2.4E-4,1.1E-4
7.0,2.4E-4,0.0,0.0,0.0,0.0,2.1E-4,2.1E-4,1.0E-4
7.1,2.0E-4,0.0,0.0,0.0,0.0,1.8E-4,1.8E-4,7.0E-5
7.2,1.5E-4,0.0,0.0,0.0,0.0,1.4E-4,1.4E-4,5.0E-5
7.3,9.0E-5,0.0,0.0,0.0,0.0,8.0E-5,8.0E-5,4.0E-5
7.4,4.0E-5,0.0,0.0,0.0,0.0,3.0E-5,3.0E-5,1.0E-5
7.5,3.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,0.0
7.6,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
7.7,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
7.8,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
