Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.155064E-5,2.970987E-5,2.970987E-5,1.0,0.0,1.3521002E-4,1.2732203E-4,1.2732203E-4,1.0,0.0,0.001644939,0.0015490819,0.0015490819,1.0,0.0,0.01632816,0.015387188,0.015397035,1.0006399,1.0E-5
6.1,3.155064E-5,2.970987E-5,2.970987E-5,1.0,0.0,1.3521002E-4,1.2732203E-4,1.2732203E-4,1.0,0.0,0.001644939,0.0015490819,0.0015490819,1.0,0.0,0.01632816,0.015387188,0.015397035,1.0006399,1.0E-5
6.2,3.155064E-5,2.970987E-5,2.970987E-5,1.0,0.0,1.3521002E-4,1.2732203E-4,1.2732203E-4,1.0,0.0,0.001644939,0.0015490819,0.0015490819,1.0,0.0,0.01632816,0.015387188,0.015397035,1.0006399,1.0E-5
6.3,3.155064E-5,2.970987E-5,2.970987E-5,1.0,0.0,1.3521002E-4,1.2732203E-4,1.2732203E-4,1.0,0.0,0.001644939,0.0015490819,0.0015490819,1.0,0.0,0.01632816,0.015387188,0.015397035,1.0006399,1.0E-5
6.4,3.155064E-5,2.970987E-5,2.970987E-5,1.0,0.0,1.3521002E-4,1.2732203E-4,1.2732203E-4,1.0,0.0,0.001644939,0.0015490819,0.0015490819,1.0,0.0,0.01632816,0.015387188,0.015397035,1.0006399,1.0E-5
6.5,3.155064E-5,2.970987E-5,2.970987E-5,1.0,0.0,1.3521002E-4,1.2732203E-4,1.2732203E-4,1.0,0.0,0.001644939,0.0015490819,0.0015490819,1.0,0.0,0.01632816,0.015387188,0.015397035,1.0006399,1.0E-5
6.6,3.155064E-5,2.970987E-5,2.970987E-5,1.0,0.0,1.3521002E-4,1.2732203E-4,1.2732203E-4,1.0,0.0,0.001644939,0.0015490819,0.0015490819,1.0,0.0,0.01632816,0.015387188,0.015397035,1.0006399,1.0E-5
6.7,3.098897E-5,2.904388E-5,2.904388E-5,1.0,0.0,1.328031E-4,1.2446805E-4,1.2446805E-4,1.0,0.0,0.0016156785,0.0015143832,0.0015143832,1.0,0.0,0.016039822,0.015044921,0.015054771,1.0006547,1.0E-5
6.8,3.0449872E-5,2.8415549E-5,2.8415549E-5,1.0,0.0,1.3049292E-4,1.21775454E-4,1.21775454E-4,1.0,0.0,0.0015875935,0.0014816454,0.0014816454,1.0,0.0,0.015762992,0.014721884,0.014731738,1.0006692,1.0E-5
6.9,2.697928E-5,2.4373268E-5,2.4373268E-5,1.0,0.0,1.15620365E-4,1.044528E-4,1.044528E-4,1.0,0.0,0.0014067689,0.0012709928,0.0012709928,1.0,0.0,0.0139789665,0.012639778,0.012649651,1.0007812,1.0E-5
7.0,2.4893961E-5,2.200291E-5,2.200291E-5,1.0,0.0,1.0668404E-4,9.429488E-5,9.429488E-5,1.0,0.0,0.0012981043,0.0011474534,0.0011474534,1.0,0.0,0.012905477,0.011417393,0.011427279,1.0008658,1.0E-5
7.1,2.0945363E-5,1.7472134E-5,1.7472134E-5,1.0,0.0,8.976275E-5,7.487845E-5,7.487845E-5,1.0,0.0,0.0010923136,9.1126864E-4,9.1126864E-4,1.0,0.0,0.0108696,0.009076059,0.009085968,1.0010918,1.0E-5
7.2,2.0439404E-5,1.6924343E-5,1.6924343E-5,1.0,0.0,8.7594504E-5,7.253091E-5,7.253091E-5,1.0,0.0,0.0010659413,8.827108E-4,8.827108E-4,1.0,0.0,0.010608427,0.008792768,0.00880268,1.0011272,1.0E-5
7.3,1.8463334E-5,1.5487418E-5,1.5487418E-5,1.0,0.0,7.912617E-5,6.637298E-5,6.637298E-5,1.0,0.0,9.6293533E-4,8.077959E-4,8.077959E-4,1.0,0.0,0.009587734,0.008049265,0.008059184,1.0012324,1.0E-5
7.4,1.763139E-5,1.4616494E-5,1.4616494E-5,1.0,0.0,7.556091E-5,6.264064E-5,6.264064E-5,1.0,0.0,9.1956573E-4,7.6238695E-4,7.6238695E-4,1.0,0.0,0.009157699,0.0075983233,0.007608247,1.001306,1.0E-5
7.5,1.3594944E-5,1.1223559E-5,1.1223559E-5,1.0,0.0,5.8262744E-5,4.8100097E-5,4.8100097E-5,1.0,0.0,7.0911803E-4,5.854639E-4,5.854639E-4,1.0,0.0,0.007068595,0.0058394475,0.005849389,1.0017025,1.0E-5
7.6,6.9889534E-6,5.653923E-6,5.653923E-6,1.0,0.0,2.9952313E-5,2.4230876E-5,2.4230876E-5,1.0,0.0,3.646084E-4,2.949714E-4,2.949714E-4,1.0,0.0,0.0036401073,0.002945843,0.0029558137,1.0033846,1.0E-5
7.7,4.0824193E-6,3.2930632E-6,3.2930632E-6,1.0,0.0,1.7495966E-5,1.4113052E-5,1.4113052E-5,1.0,0.0,2.1299256E-4,1.71813E-4,1.71813E-4,1.0,0.0,0.0021278851,0.001716815,0.001716815,1.0,0.0
7.8,1.7023609E-6,1.4404472E-6,1.4404472E-6,1.0,0.0,7.295812E-6,6.1733313E-6,6.1733313E-6,1.0,0.0,8.882289E-5,7.515774E-5,7.515774E-5,1.0,0.0,8.8787393E-4,7.5132604E-4,7.5132604E-4,1.0,0.0
7.9,2.721225E-7,2.2685285E-7,2.2685285E-7,1.0,0.0,1.1662388E-6,9.722262E-7,9.722262E-7,1.0,0.0,1.4198865E-5,1.1836792E-5,1.1836792E-5,1.0,0.0,1.4197957E-4,1.18361895E-4,1.18361895E-4,1.0,0.0
8.0,9.364255E-9,5.1818003E-9,5.1818003E-9,1.0,0.0,4.0132523E-8,2.2207717E-8,2.2207717E-8,1.0,0.0,4.8861335E-7,2.703789E-7,2.703789E-7,1.0,0.0,4.8861225E-6,2.703786E-6,2.703786E-6,1.0,0.0
