Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.126063E-5,7.6884164E-5,8.6883396E-5,1.1300558,1.0E-5,2.6251914E-4,3.2946374E-4,3.3946044E-4,1.0303423,1.0E-5,0.0031914865,0.004004367,0.004014327,1.0024873,1.0E-5,0.031460393,0.03937821,0.03938782,1.0002439,1.0E-5
6.1,6.126063E-5,7.6884164E-5,8.6883396E-5,1.1300558,1.0E-5,2.6251914E-4,3.2946374E-4,3.3946044E-4,1.0303423,1.0E-5,0.0031914865,0.004004367,0.004014327,1.0024873,1.0E-5,0.031460393,0.03937821,0.03938782,1.0002439,1.0E-5
6.2,6.126063E-5,7.6884164E-5,8.6883396E-5,1.1300558,1.0E-5,2.6251914E-4,3.2946374E-4,3.3946044E-4,1.0303423,1.0E-5,0.0031914865,0.004004367,0.004014327,1.0024873,1.0E-5,0.031460393,0.03937821,0.03938782,1.0002439,1.0E-5
6.3,4.0838047E-5,5.0136186E-5,6.0135684E-5,1.1994468,1.0E-5,1.7500846E-4,2.1485287E-4,2.2485072E-4,1.0465335,1.0E-5,0.0021286458,0.0026128972,0.002622871,1.0038172,1.0E-5,0.021083709,0.025843317,0.025853058,1.0003769,1.0E-5
6.4,4.0838047E-5,5.0136186E-5,6.0135684E-5,1.1994468,1.0E-5,1.7500846E-4,2.1485287E-4,2.2485072E-4,1.0465335,1.0E-5,0.0021286458,0.0026128972,0.002622871,1.0038172,1.0E-5,0.021083709,0.025843317,0.025853058,1.0003769,1.0E-5
6.5,3.0512005E-5,3.6821275E-5,4.6820907E-5,1.2715721,1.0E-5,1.3075917E-4,1.5779654E-4,1.6779498E-4,1.0633627,1.0E-5,0.0015908304,0.0019195958,0.0019295765,1.0051994,1.0E-5,0.015794903,0.019042142,0.01905195,1.0005151,1.0E-5
6.6,2.9255087E-5,3.5408102E-5,4.540775E-5,1.2824112,1.0E-5,1.2537291E-4,1.5174081E-4,1.6173928E-4,1.0658919,1.0E-5,0.0015253464,0.0018459919,0.0018559735,1.0054071,1.0E-5,0.015149189,0.01831825,0.018328067,1.0005358,1.0E-5
6.7,2.287198E-5,2.743534E-5,3.7435067E-5,1.3644834,1.0E-5,9.801909E-5,1.17575255E-4,1.2757408E-4,1.0850419,1.0E-5,0.001192729,0.0014306317,0.0014406175,1.00698,1.0E-5,0.011863477,0.014223584,0.014233442,1.0006931,1.0E-5
6.8,2.1325764E-5,2.5607505E-5,3.560725E-5,1.3905005,1.0E-5,9.139293E-5,1.0974235E-4,1.1974126E-4,1.0911125,1.0E-5,0.001112141,0.0013353857,0.0013453724,1.0074785,1.0E-5,0.011065915,0.013282781,0.013292648,1.0007429,1.0E-5
6.9,1.9009392E-5,2.276742E-5,3.276719E-5,1.4392141,1.0E-5,8.1466285E-5,9.757151E-5,1.0757054E-4,1.102479,1.0E-5,9.914007E-4,0.0011873743,0.0011973624,1.0084119,1.0E-5,0.009869894,0.011819114,0.011828995,1.0008361,1.0E-5
