Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,7.23642,0.0,19.0,4.0,3.0,0.97057,8.9E-4,3.27617
2.6,5.7433,0.0,16.0,3.0,2.0,0.9409,8.9E-4,2.59981
2.7,4.55672,0.0,13.0,2.0,2.0,0.89638,8.9E-4,2.06366
2.8,3.61967,0.0,10.0,2.0,1.0,0.83909,8.9E-4,1.63996
2.9,2.87654,0.0,9.0,1.0,1.0,0.77089,8.9E-4,1.30287
3.0,2.28536,0.0,7.0,1.0,0.0,0.6949,8.9E-4,1.03454
3.1,1.81439,0.0,6.0,1.0,0.0,0.61599,8.9E-4,0.82207
3.2,1.44187,0.0,5.0,1.0,0.0,0.53701,8.9E-4,0.65314
3.3,1.14422,0.0,4.0,0.0,0.0,0.4623,8.9E-4,0.51867
3.4,0.90909,0.0,4.0,0.0,0.0,0.39397,8.9E-4,0.41313
3.5,0.72151,0.0,3.0,0.0,0.0,0.33147,8.9E-4,0.328
3.6,0.57376,0.0,3.0,0.0,0.0,0.27711,8.9E-4,0.26196
3.7,0.45573,0.0,2.0,0.0,0.0,0.23072,8.9E-4,0.2074
3.8,0.36157,0.0,2.0,0.0,0.0,0.19045,8.9E-4,0.16511
3.9,0.28756,0.0,2.0,0.0,0.0,0.15629,8.9E-4,0.13119
4.0,0.22855,0.0,2.0,0.0,0.0,0.12802,8.9E-4,0.10421
4.1,0.18091,0.0,1.0,0.0,0.0,0.10434,8.9E-4,0.08282
4.2,0.14298,0.0,1.0,0.0,0.0,0.08401,8.9E-4,0.06521
4.3,0.11388,0.0,1.0,0.0,0.0,0.06836,8.9E-4,0.05184
4.4,0.09002,0.0,1.0,0.0,0.0,0.05513,8.9E-4,0.04076
4.5,0.07179,0.0,1.0,0.0,0.0,0.04472,8.9E-4,0.03271
4.6,0.05691,0.0,1.0,0.0,0.0,0.03621,8.9E-4,0.02594
4.7,0.04534,0.0,1.0,0.0,0.0,0.02935,8.9E-4,0.02061
4.8,0.03581,0.0,0.0,0.0,0.0,0.02349,8.9E-4,0.01608
4.9,0.02841,0.0,0.0,0.0,0.0,0.01882,8.9E-4,0.01275
5.0,0.02245,0.0,0.0,0.0,0.0,0.01511,8.9E-4,0.00992
5.1,0.01763,0.0,0.0,0.0,0.0,0.01215,8.9E-4,0.00784
5.2,0.01392,0.0,0.0,0.0,0.0,0.00971,8.9E-4,0.00615
5.3,0.01095,0.0,0.0,0.0,0.0,0.0078,8.9E-4,0.00486
5.4,0.00868,0.0,0.0,0.0,0.0,0.00629,8.9E-4,0.00392
5.5,0.00669,0.0,0.0,0.0,0.0,0.00492,8.9E-4,0.00307
5.6,0.00519,0.0,0.0,0.0,0.0,0.00395,8.9E-4,0.00244
5.7,0.00394,0.0,0.0,0.0,0.0,0.00307,8.9E-4,0.00181
5.8,0.00297,0.0,0.0,0.0,0.0,0.00234,8.9E-4,0.00135
5.9,0.00224,0.0,0.0,0.0,0.0,0.00179,8.9E-4,0.00101
6.0,0.00189,0.0,0.0,0.0,0.0,0.00154,8.9E-4,8.7E-4
