Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.1710231E-5,8.923589E-6,8.923589E-6,1.0,0.0,5.0185736E-5,3.82434E-5,4.824302E-5,1.2614731,1.0E-5,6.1084004E-4,4.6551565E-4,4.7551098E-4,1.0214715,1.0E-5,0.006091637,0.0046455977,0.004655551,1.0021425,1.0E-5
6.1,1.1710231E-5,8.923589E-6,8.923589E-6,1.0,0.0,5.0185736E-5,3.82434E-5,4.824302E-5,1.2614731,1.0E-5,6.1084004E-4,4.6551565E-4,4.7551098E-4,1.0214715,1.0E-5,0.006091637,0.0046455977,0.004655551,1.0021425,1.0E-5
6.2,1.1710231E-5,8.923589E-6,8.923589E-6,1.0,0.0,5.0185736E-5,3.82434E-5,4.824302E-5,1.2614731,1.0E-5,6.1084004E-4,4.6551565E-4,4.7551098E-4,1.0214715,1.0E-5,0.006091637,0.0046455977,0.004655551,1.0021425,1.0E-5
6.3,1.1710231E-5,8.923589E-6,8.923589E-6,1.0,0.0,5.0185736E-5,3.82434E-5,4.824302E-5,1.2614731,1.0E-5,6.1084004E-4,4.6551565E-4,4.7551098E-4,1.0214715,1.0E-5,0.006091637,0.0046455977,0.004655551,1.0021425,1.0E-5
6.4,1.1710231E-5,8.923589E-6,8.923589E-6,1.0,0.0,5.0185736E-5,3.82434E-5,4.824302E-5,1.2614731,1.0E-5,6.1084004E-4,4.6551565E-4,4.7551098E-4,1.0214715,1.0E-5,0.006091637,0.0046455977,0.004655551,1.0021425,1.0E-5
6.5,1.1710231E-5,8.923589E-6,8.923589E-6,1.0,0.0,5.0185736E-5,3.82434E-5,4.824302E-5,1.2614731,1.0E-5,6.1084004E-4,4.6551565E-4,4.7551098E-4,1.0214715,1.0E-5,0.006091637,0.0046455977,0.004655551,1.0021425,1.0E-5
6.6,1.1650619E-5,8.855706E-6,8.855706E-6,1.0,0.0,4.993027E-5,3.7952483E-5,4.7952104E-5,1.2634773,1.0E-5,6.0773146E-4,4.6197523E-4,4.7197062E-4,1.0216361,1.0E-5,0.0060607214,0.0046103406,0.0046202946,1.002159,1.0E-5
6.7,1.1650619E-5,8.855706E-6,8.855706E-6,1.0,0.0,4.993027E-5,3.7952483E-5,4.7952104E-5,1.2634773,1.0E-5,6.0773146E-4,4.6197523E-4,4.7197062E-4,1.0216361,1.0E-5,0.0060607214,0.0046103406,0.0046202946,1.002159,1.0E-5
6.8,1.1442698E-5,8.637992E-6,8.637992E-6,1.0,0.0,4.9039216E-5,3.701945E-5,4.701908E-5,1.2701182,1.0E-5,5.968889E-4,4.5062028E-4,4.606158E-4,1.0221816,1.0E-5,0.0059528816,0.0044972557,0.0045072106,1.0022136,1.0E-5
6.9,1.1300589E-5,8.48583E-6,8.48583E-6,1.0,0.0,4.8430196E-5,3.6367346E-5,4.6366982E-5,1.274962,1.0E-5,5.894781E-4,4.4268416E-4,4.5267973E-4,1.0225794,1.0E-5,0.005879169,0.004418211,0.004428167,1.0022534,1.0E-5
7.0,1.1117729E-5,8.302434E-6,8.302434E-6,1.0,0.0,4.764654E-5,3.5581383E-5,4.5581026E-5,1.2810359,1.0E-5,5.799422E-4,4.3311893E-4,4.4311458E-4,1.0230783,1.0E-5,0.0057843104,0.0043229344,0.004332891,1.0023032,1.0E-5
7.1,1.08053955E-5,7.987419E-6,7.987419E-6,1.0,0.0,4.6308014E-5,3.4231354E-5,4.4231012E-5,1.2921199,1.0E-5,5.6365423E-4,4.166887E-4,4.2668454E-4,1.0239887,1.0E-5,0.005622267,0.0041592577,0.004169216,1.0023943,1.0E-5
7.2,1.032804E-5,7.5072194E-6,7.5072194E-6,1.0,0.0,4.4262277E-5,3.217341E-5,4.2173087E-5,1.3108057,1.0E-5,5.387599E-4,3.9164245E-4,4.0163854E-4,1.0255235,1.0E-5,0.0053745564,0.0039096978,0.0039196587,1.0025477,1.0E-5
7.3,9.622426E-6,6.964819E-6,6.964819E-6,1.0,0.0,4.1238312E-5,2.9848892E-5,3.9848594E-5,1.3350108,1.0E-5,5.019608E-4,3.633511E-4,3.7334746E-4,1.0275116,1.0E-5,0.005008285,0.0036277294,0.0036376931,1.0027466,1.0E-5
7.4,9.144434E-6,6.557043E-6,6.557043E-6,1.0,0.0,3.9189843E-5,2.8101318E-5,3.8101036E-5,1.3558452,1.0E-5,4.7703186E-4,3.420812E-4,3.520778E-4,1.0292228,1.0E-5,0.0047600917,0.0034156882,0.003425654,1.0029176,1.0E-5
7.5,7.988981E-6,5.543064E-6,5.543064E-6,1.0,0.0,3.4238044E-5,2.375578E-5,3.3755543E-5,1.4209402,1.0E-5,4.1676845E-4,2.891895E-4,2.9918662E-4,1.0345694,1.0E-5,0.0041598766,0.0028882609,0.002898232,1.0034523,1.0E-5
7.6,6.9554876E-6,4.6970727E-6,4.6970727E-6,1.0,0.0,2.9808893E-5,2.0130163E-5,3.012996E-5,1.496757,1.0E-5,3.6286283E-4,2.4505836E-4,2.550559E-4,1.0407966,1.0E-5,0.0036227088,0.0024479986,0.002457974,1.0040749,1.0E-5
7.7,4.1557314E-6,2.3472674E-6,2.3472674E-6,1.0,0.0,1.7810156E-5,1.0059683E-5,2.0059582E-5,1.994057,1.0E-5,2.1681708E-4,1.2247052E-4,1.3246929E-4,1.0816423,1.0E-5,0.0021660565,0.0012241045,0.0012340923,1.0081593,1.0E-5
7.8,2.2597293E-7,9.406712E-8,9.406712E-8,1.0,0.0,9.684551E-7,4.0314475E-7,1.0403141E-5,25.804976,1.0E-5,1.1790877E-5,4.9082796E-6,1.4908231E-5,3.0373638,1.0E-5,1.17902506E-4,4.9082046E-5,5.9081554E-5,1.2037305,1.0E-5
7.9,6.676829E-9,3.4774659E-9,3.4774659E-9,1.0,0.0,2.861498E-8,1.4903424E-8,1.4903424E-8,1.0,0.0,3.4838732E-7,1.8144918E-7,1.8144918E-7,1.0,0.0,3.4838679E-6,1.8144906E-6,1.8144906E-6,1.0,0.0
