Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.1876025E-5,3.730386E-5,3.730386E-5,1.0,0.0,1.3660437E-4,1.5986667E-4,1.6986507E-4,1.0625421,1.0E-5,0.0016618895,0.0019451176,0.0019850398,1.0205243,4.0E-5,0.016495159,0.019327777,0.019367004,1.0020295,4.0E-5
6.1,3.1876025E-5,3.730386E-5,3.730386E-5,1.0,0.0,1.3660437E-4,1.5986667E-4,1.6986507E-4,1.0625421,1.0E-5,0.0016618895,0.0019451176,0.0019850398,1.0205243,4.0E-5,0.016495159,0.019327777,0.019367004,1.0020295,4.0E-5
6.2,3.1876025E-5,3.730386E-5,3.730386E-5,1.0,0.0,1.3660437E-4,1.5986667E-4,1.6986507E-4,1.0625421,1.0E-5,0.0016618895,0.0019451176,0.0019850398,1.0205243,4.0E-5,0.016495159,0.019327777,0.019367004,1.0020295,4.0E-5
6.3,3.1876025E-5,3.730386E-5,3.730386E-5,1.0,0.0,1.3660437E-4,1.5986667E-4,1.6986507E-4,1.0625421,1.0E-5,0.0016618895,0.0019451176,0.0019850398,1.0205243,4.0E-5,0.016495159,0.019327777,0.019367004,1.0020295,4.0E-5
6.4,1.9273462E-5,2.1326154E-5,2.1326154E-5,1.0,0.0,8.259794E-5,9.139559E-5,1.01394675E-4,1.1094044,1.0E-5,0.001005166,0.0011123471,0.0011423138,1.02694,3.0E-5,0.010006315,0.011084778,0.0111144455,1.0026764,3.0E-5
6.5,1.9273462E-5,2.1326154E-5,2.1326154E-5,1.0,0.0,8.259794E-5,9.139559E-5,1.01394675E-4,1.1094044,1.0E-5,0.001005166,0.0011123471,0.0011423138,1.02694,3.0E-5,0.010006315,0.011084778,0.0111144455,1.0026764,3.0E-5
6.6,9.813258E-6,9.6981275E-6,9.6981275E-6,1.0,0.0,4.205614E-5,4.1562784E-5,5.156237E-5,1.2405899,1.0E-5,5.119132E-4,5.059167E-4,5.1591167E-4,1.0197561,1.0E-5,0.005107356,0.00504838,0.005058329,1.0019709,1.0E-5
6.7,9.801478E-6,9.685671E-6,9.685671E-6,1.0,0.0,4.2005657E-5,4.15094E-5,5.1508985E-5,1.2408993,1.0E-5,5.112989E-4,5.0526706E-4,5.15262E-4,1.0197815,1.0E-5,0.0051012407,0.0050419127,0.005051862,1.0019734,1.0E-5
6.8,8.102489E-6,7.798243E-6,7.798243E-6,1.0,0.0,3.4724493E-5,3.3420645E-5,4.342031E-5,1.2992063,1.0E-5,4.2268867E-4,4.068254E-4,4.168213E-4,1.0245706,1.0E-5,0.004218856,0.004061305,0.004071264,1.0024523,1.0E-5
6.9,6.08275E-6,5.495556E-6,5.495556E-6,1.0,0.0,2.6068668E-5,2.3552175E-5,3.355194E-5,1.4245793,1.0E-5,3.173398E-4,2.8671077E-4,2.967079E-4,1.0348684,1.0E-5,0.0031688702,0.0028634868,0.0028734582,1.0034822,1.0E-5
