Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.7360222E-5,1.8545501E-5,2.8545317E-5,1.5392044,1.0E-5,7.439883E-5,7.9478574E-5,8.9477784E-5,1.12581,1.0E-5,9.0542925E-4,9.67271E-4,9.772613E-4,1.0103284,1.0E-5,0.009017491,0.009635475,0.009645379,1.0010278,1.0E-5
6.1,9.062689E-6,9.612387E-6,1.9612291E-5,2.0403144,1.0E-5,3.8839516E-5,4.1195344E-5,5.1194933E-5,1.2427359,1.0E-5,4.727685E-4,5.014468E-4,5.114418E-4,1.0199323,1.0E-5,0.0047176396,0.00500404,0.0050139898,1.0019884,1.0E-5
6.2,9.062689E-6,9.612387E-6,1.9612291E-5,2.0403144,1.0E-5,3.8839516E-5,4.1195344E-5,5.1194933E-5,1.2427359,1.0E-5,4.727685E-4,5.014468E-4,5.114418E-4,1.0199323,1.0E-5,0.0047176396,0.00500404,0.0050139898,1.0019884,1.0E-5
6.3,7.2575485E-6,7.683319E-6,1.7683242E-5,2.3015108,1.0E-5,3.110341E-5,3.2928136E-5,4.2927808E-5,1.3036816,1.0E-5,3.786182E-4,4.0083347E-4,4.1082947E-4,1.024938,1.0E-5,0.0037797375,0.0040018125,0.0040117726,1.0024889,1.0E-5
6.4,7.2575485E-6,7.683319E-6,1.7683242E-5,2.3015108,1.0E-5,3.110341E-5,3.2928136E-5,4.2927808E-5,1.3036816,1.0E-5,3.786182E-4,4.0083347E-4,4.1082947E-4,1.024938,1.0E-5,0.0037797375,0.0040018125,0.0040117726,1.0024889,1.0E-5
6.5,6.06582E-6,6.416732E-6,1.6416669E-5,2.5584157,1.0E-5,2.5996113E-5,2.7500027E-5,3.749975E-5,1.363626,1.0E-5,3.164567E-4,3.347679E-4,3.4476456E-4,1.0298615,1.0E-5,0.0031600643,0.0033432774,0.003353244,1.0029811,1.0E-5
6.6,5.598744E-6,5.9221065E-6,1.5922047E-5,2.6885784,1.0E-5,2.3994397E-5,2.5380246E-5,3.537999E-5,1.3939972,1.0E-5,2.9209262E-4,3.089671E-4,3.18964E-4,1.0323559,1.0E-5,0.0029170897,0.0030860072,0.0030959763,1.0032305,1.0E-5
6.7,5.246996E-6,5.550271E-6,1.5550215E-5,2.801704,1.0E-5,2.2486933E-5,2.3786693E-5,3.3786455E-5,1.4203931,1.0E-5,2.73744E-4,2.895709E-4,2.99568E-4,1.0345238,1.0E-5,0.0027340704,0.0028925622,0.0029025334,1.0034472,1.0E-5
6.8,4.02324E-6,4.255409E-6,1.4255366E-5,3.3499405,1.0E-5,1.7242342E-5,1.8237373E-5,2.823719E-5,1.5483146,1.0E-5,2.099053E-4,2.2202337E-4,2.3202115E-4,1.0450304,1.0E-5,0.0020970714,0.0022186025,0.0022285802,1.0044973,1.0E-5
6.9,6.835972E-7,7.1513483E-7,1.0715127E-5,14.983368,1.0E-5,2.9296991E-6,3.0648616E-6,1.3064831E-5,4.26278,1.0E-5,3.56685E-5,3.731437E-5,4.7314E-5,1.2679833,1.0E-5,3.5662777E-4,3.7311242E-4,3.8310868E-4,1.0267916,1.0E-5
