Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,9.913453E-6,1.0202573E-5,2.0202471E-5,1.9801348,1.0E-5,4.2485535E-5,4.372464E-5,5.37242E-5,1.228694,1.0E-5,5.1713863E-4,5.322278E-4,5.422225E-4,1.0187789,1.0E-5,0.0051593683,0.0053105615,0.0053205085,1.001873,1.0E-5
6.1,9.913453E-6,1.0202573E-5,2.0202471E-5,1.9801348,1.0E-5,4.2485535E-5,4.372464E-5,5.37242E-5,1.228694,1.0E-5,5.1713863E-4,5.322278E-4,5.422225E-4,1.0187789,1.0E-5,0.0051593683,0.0053105615,0.0053205085,1.001873,1.0E-5
6.2,4.5596407E-6,4.7013846E-6,1.4701338E-5,3.127023,1.0E-5,1.954117E-5,2.0148644E-5,3.0148442E-5,1.4963013,1.0E-5,2.3788778E-4,2.452834E-4,2.5528093E-4,1.0407592,1.0E-5,0.0023763329,0.0024502529,0.0024602285,1.0040712,1.0E-5
6.3,4.5596407E-6,4.7013846E-6,1.4701338E-5,3.127023,1.0E-5,1.954117E-5,2.0148644E-5,3.0148442E-5,1.4963013,1.0E-5,2.3788778E-4,2.452834E-4,2.5528093E-4,1.0407592,1.0E-5,0.0023763329,0.0024502529,0.0024602285,1.0040712,1.0E-5
6.4,3.4025713E-6,3.513887E-6,1.3513852E-5,3.8458414,1.0E-5,1.4582367E-5,1.5059433E-5,2.5059282E-5,1.6640257,1.0E-5,1.7752586E-4,1.8333402E-4,1.9333218E-4,1.0545353,1.0E-5,0.001773841,0.0018319108,0.0018418925,1.0054488,1.0E-5
6.5,2.8352947E-6,2.9313012E-6,1.2931272E-5,4.411444,1.0E-5,1.2151207E-5,1.2562663E-5,2.2562537E-5,1.7959995,1.0E-5,1.479309E-4,1.5294044E-4,1.629389E-4,1.065375,1.0E-5,0.0014783246,0.0015284258,0.0015384105,1.0065327,1.0E-5
6.6,2.251518E-6,2.331959E-6,1.2331936E-5,5.2882304,1.0E-5,9.649328E-6,9.994075E-6,1.9993975E-5,2.000583,1.0E-5,1.1747423E-4,1.216717E-4,1.3167049E-4,1.0821784,1.0E-5,0.0011741214,0.0012161128,0.0012261006,1.0082129,1.0E-5
6.7,1.8911853E-6,1.9616766E-6,1.1961657E-5,6.09767,1.0E-5,8.105055E-6,8.407162E-6,1.8407078E-5,2.189452,1.0E-5,9.867457E-5,1.0235298E-4,1.12351954E-4,1.097691,1.0E-5,9.863076E-4,0.001023116,0.0010331058,1.0097641,1.0E-5
6.8,1.4874814E-6,1.5459377E-6,1.15459225E-5,7.468556,1.0E-5,6.374905E-6,6.6254333E-6,1.6625367E-5,2.5093253,1.0E-5,7.76117E-5,8.066219E-5,9.0661386E-5,1.1239638,1.0E-5,7.75846E-4,8.0638035E-4,8.163723E-4,1.0123911,1.0E-5
6.9,6.835972E-7,7.1513483E-7,1.0715127E-5,14.983368,1.0E-5,2.9296991E-6,3.0648616E-6,1.3064831E-5,4.26278,1.0E-5,3.56685E-5,3.731437E-5,4.7314E-5,1.2679833,1.0E-5,3.5662777E-4,3.7311242E-4,3.8310868E-4,1.0267916,1.0E-5
