Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.849599E-6,1.9342526E-6,1.1934233E-5,6.1699457,1.0E-5,7.926829E-6,8.289639E-6,1.8289556E-5,2.2063153,1.0E-5,9.650487E-5,1.00923644E-4,1.2092163E-4,1.1981496,2.0E-5,9.646297E-4,0.001008971,0.0010389407,1.0297033,3.0E-5
6.1,1.849599E-6,1.9342526E-6,1.1934233E-5,6.1699457,1.0E-5,7.926829E-6,8.289639E-6,1.8289556E-5,2.2063153,1.0E-5,9.650487E-5,1.00923644E-4,1.2092163E-4,1.1981496,2.0E-5,9.646297E-4,0.001008971,0.0010389407,1.0297033,3.0E-5
6.2,1.849599E-6,1.9342526E-6,1.1934233E-5,6.1699457,1.0E-5,7.926829E-6,8.289639E-6,1.8289556E-5,2.2063153,1.0E-5,9.650487E-5,1.00923644E-4,1.2092163E-4,1.1981496,2.0E-5,9.646297E-4,0.001008971,0.0010389407,1.0297033,3.0E-5
6.3,1.849599E-6,1.9342526E-6,1.1934233E-5,6.1699457,1.0E-5,7.926829E-6,8.289639E-6,1.8289556E-5,2.2063153,1.0E-5,9.650487E-5,1.00923644E-4,1.2092163E-4,1.1981496,2.0E-5,9.646297E-4,0.001008971,0.0010389407,1.0297033,3.0E-5
6.4,1.7803909E-6,1.8647527E-6,1.1864734E-5,6.3626313,1.0E-5,7.630225E-6,7.991784E-6,1.7991704E-5,2.251275,1.0E-5,9.289402E-5,9.729758E-5,1.1729563E-4,1.2055349,2.0E-5,9.28552E-4,9.7274216E-4,0.001002713,1.0308106,3.0E-5
6.5,5.9157696E-7,6.244797E-7,1.0624473E-5,17.01332,1.0E-5,2.5353274E-6,2.6763391E-6,1.26763125E-5,4.7364373,1.0E-5,3.0867173E-5,3.2583983E-5,5.258333E-5,1.6137786,2.0E-5,3.0862886E-4,3.257959E-4,3.5578612E-4,1.0920522,3.0E-5
6.6,5.9157696E-7,6.244797E-7,1.0624473E-5,17.01332,1.0E-5,2.5353274E-6,2.6763391E-6,1.26763125E-5,4.7364373,1.0E-5,3.0867173E-5,3.2583983E-5,5.258333E-5,1.6137786,2.0E-5,3.0862886E-4,3.257959E-4,3.5578612E-4,1.0920522,3.0E-5
6.7,5.9157696E-7,6.244797E-7,1.0624473E-5,17.01332,1.0E-5,2.5353274E-6,2.6763391E-6,1.26763125E-5,4.7364373,1.0E-5,3.0867173E-5,3.2583983E-5,5.258333E-5,1.6137786,2.0E-5,3.0862886E-4,3.257959E-4,3.5578612E-4,1.0920522,3.0E-5
6.8,4.7536267E-7,5.0216136E-7,1.0502156E-5,20.913908,1.0E-5,2.037267E-6,2.1521184E-6,1.2152097E-5,5.6465745,1.0E-5,2.4803443E-5,2.6201751E-5,4.620123E-5,1.7632878,2.0E-5,2.4800675E-4,2.6198901E-4,2.9198115E-4,1.1144786,3.0E-5
6.9,3.6345344E-7,3.8413737E-7,1.0384134E-5,27.032343,1.0E-5,1.5576567E-6,1.646302E-6,1.1646285E-5,7.074209,1.0E-5,1.8964305E-5,2.004356E-5,4.004316E-5,1.9978067,2.0E-5,1.8962687E-4,2.0041919E-4,2.3041318E-4,1.1496563,3.0E-5
7.0,2.4087325E-7,2.5484806E-7,1.0254846E-5,40.239056,1.0E-5,1.0323135E-6,1.0922056E-6,1.1092195E-5,10.155776,1.0E-5,1.25683455E-5,1.3297535E-5,3.3297267E-5,2.5040183,2.0E-5,1.2567634E-4,1.3296862E-4,1.6296464E-4,1.2255871,3.0E-5
7.1,8.551555E-8,8.987249E-8,8.987249E-8,1.0,0.0,3.6649516E-7,3.851678E-7,3.851678E-7,1.0,0.0,4.4620692E-6,4.689409E-6,4.689409E-6,1.0,0.0,4.46198E-5,4.6893216E-5,4.6893216E-5,1.0,0.0
7.2,2.475279E-8,2.5809657E-8,2.5809657E-8,1.0,0.0,1.0608338E-7,1.1061281E-7,1.1061281E-7,1.0,0.0,1.2915643E-6,1.3467102E-6,1.3467102E-6,1.0,0.0,1.2915569E-5,1.3467027E-5,1.3467027E-5,1.0,0.0
7.3,1.5212393E-8,1.5817507E-8,1.5817507E-8,1.0,0.0,6.519597E-8,6.7789315E-8,6.7789315E-8,1.0,0.0,7.9376065E-7,8.2533467E-7,8.2533467E-7,1.0,0.0,7.937579E-6,8.253319E-6,8.253319E-6,1.0,0.0
7.4,8.182E-9,8.447307E-9,8.447307E-9,1.0,0.0,3.5065714E-8,3.6202742E-8,3.6202742E-8,1.0,0.0,4.26925E-7,4.4076828E-7,4.4076828E-7,1.0,0.0,4.269242E-6,4.4076746E-6,4.4076746E-6,1.0,0.0
