Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.8002043E-5,4.094355E-5,5.094314E-5,1.2442287,1.0E-5,2.0570682E-4,1.7546066E-4,1.8545892E-4,1.0569829,1.0E-5,0.002501604,0.0021341548,0.0021441334,1.0046757,1.0E-5,0.024736298,0.021223124,0.02123291,1.0004612,1.0E-5
6.1,4.8002043E-5,4.094355E-5,5.094314E-5,1.2442287,1.0E-5,2.0570682E-4,1.7546066E-4,1.8545892E-4,1.0569829,1.0E-5,0.002501604,0.0021341548,0.0021441334,1.0046757,1.0E-5,0.024736298,0.021223124,0.02123291,1.0004612,1.0E-5
6.2,4.2998647E-5,3.5152978E-5,4.515263E-5,1.2844609,1.0E-5,1.842669E-4,1.50647E-4,1.6064549E-4,1.0663704,1.0E-5,0.0022411412,0.0018325965,0.001842578,1.0054468,1.0E-5,0.022186736,0.018258892,0.01826871,1.0005376,1.0E-5
6.3,4.2998647E-5,3.5152978E-5,4.515263E-5,1.2844609,1.0E-5,1.842669E-4,1.50647E-4,1.6064549E-4,1.0663704,1.0E-5,0.0022411412,0.0018325965,0.001842578,1.0054468,1.0E-5,0.022186736,0.018258892,0.01826871,1.0005376,1.0E-5
6.4,4.1101295E-5,3.3018343E-5,4.301801E-5,1.3028519,1.0E-5,1.7613651E-4,1.414996E-4,1.5149817E-4,1.0706615,1.0E-5,0.0021423528,0.0017214094,0.0017313921,1.0057992,1.0E-5,0.02121817,0.017164316,0.017174145,1.0005726,1.0E-5
6.5,4.1032585E-5,3.293639E-5,4.2936063E-5,1.3036056,1.0E-5,1.7584208E-4,1.4114841E-4,1.51147E-4,1.0708374,1.0E-5,0.0021387753,0.0017171405,0.0017271234,1.0058136,1.0E-5,0.021183075,0.017122293,0.017132122,1.000574,1.0E-5
6.6,4.011629E-5,3.1946893E-5,4.1946572E-5,1.3130095,1.0E-5,1.7191563E-4,1.3690814E-4,1.4690678E-4,1.0730317,1.0E-5,0.0020910634,0.001665596,0.0016755793,1.0059938,1.0E-5,0.020714961,0.016615577,0.016625412,1.0005919,1.0E-5
6.7,3.8583938E-5,3.0117504E-5,4.0117204E-5,1.3320228,1.0E-5,1.6534925E-4,1.290687E-4,1.3906742E-4,1.0774682,1.0E-5,0.0020112682,0.0015702932,0.0015802775,1.0063583,1.0E-5,0.019931622,0.015675664,0.015685506,1.0006279,1.0E-5
6.8,3.44341E-5,2.5079209E-5,3.507896E-5,1.3987267,1.0E-5,1.4756636E-4,1.0747796E-4,1.1747688E-4,1.0930324,1.0E-5,0.0017951399,0.0013077692,0.0013177561,1.0076367,1.0E-5,0.017807078,0.0130836265,0.013093496,1.0007544,1.0E-5
6.9,3.221199E-5,2.2385599E-5,3.2385375E-5,1.4467058,1.0E-5,1.3804408E-4,9.5934796E-5,1.0593384E-4,1.1042274,1.0E-5,0.0016793909,0.0011673886,0.001177377,1.0085561,1.0E-5,0.01666756,0.011694343,0.011704226,1.0008451,1.0E-5
7.0,2.9186718E-5,1.8730174E-5,2.8729986E-5,1.5338879,1.0E-5,1.2507994E-4,8.026973E-5,9.026893E-5,1.12457,1.0E-5,0.0015217843,9.768503E-4,9.868405E-4,1.010227,1.0E-5,0.015114053,0.009806619,0.009816521,1.0010097,1.0E-5
