Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.2269712E-5,3.6986534E-5,3.6986534E-5,1.0,0.0,1.3829143E-4,1.5850744E-4,1.6850585E-4,1.0630785,1.0E-5,0.0016823979,0.0019287096,0.001948671,1.0103496,2.0E-5,0.016697178,0.019177888,0.019197503,1.0010228,2.0E-5
6.1,3.2269712E-5,3.6986534E-5,3.6986534E-5,1.0,0.0,1.3829143E-4,1.5850744E-4,1.6850585E-4,1.0630785,1.0E-5,0.0016823979,0.0019287096,0.001948671,1.0103496,2.0E-5,0.016697178,0.019177888,0.019197503,1.0010228,2.0E-5
6.2,3.2269712E-5,3.6986534E-5,3.6986534E-5,1.0,0.0,1.3829143E-4,1.5850744E-4,1.6850585E-4,1.0630785,1.0E-5,0.0016823979,0.0019287096,0.001948671,1.0103496,2.0E-5,0.016697178,0.019177888,0.019197503,1.0010228,2.0E-5
6.3,3.2269712E-5,3.6986534E-5,3.6986534E-5,1.0,0.0,1.3829143E-4,1.5850744E-4,1.6850585E-4,1.0630785,1.0E-5,0.0016823979,0.0019287096,0.001948671,1.0103496,2.0E-5,0.016697178,0.019177888,0.019197503,1.0010228,2.0E-5
6.4,1.4404779E-5,1.49068965E-5,1.49068965E-5,1.0,0.0,6.1733306E-5,6.388516E-5,6.388516E-5,1.0,0.0,7.513438E-4,7.7752944E-4,7.7752944E-4,1.0,0.0,0.0074880854,0.007748646,0.007748646,1.0,0.0
6.5,1.4404779E-5,1.49068965E-5,1.49068965E-5,1.0,0.0,6.1733306E-5,6.388516E-5,6.388516E-5,1.0,0.0,7.513438E-4,7.7752944E-4,7.7752944E-4,1.0,0.0,0.0074880854,0.007748646,0.007748646,1.0,0.0
6.6,1.280208E-5,1.3059804E-5,1.3059804E-5,1.0,0.0,5.4864904E-5,5.5969398E-5,5.5969398E-5,1.0,0.0,6.6777546E-4,6.8121613E-4,6.8121613E-4,1.0,0.0,0.006657724,0.0067914925,0.0067914925,1.0,0.0
6.7,1.2457027E-5,1.2674814E-5,1.2674814E-5,1.0,0.0,5.3386164E-5,5.431951E-5,5.431951E-5,1.0,0.0,6.497827E-4,6.61141E-4,6.61141E-4,1.0,0.0,0.00647886,0.0065919408,0.0065919408,1.0,0.0
6.8,1.2095134E-5,1.2276008E-5,1.2276008E-5,1.0,0.0,5.1835254E-5,5.2610412E-5,5.2610412E-5,1.0,0.0,6.309115E-4,6.4034516E-4,6.4034516E-4,1.0,0.0,0.0062912325,0.0063851904,0.0063851904,1.0,0.0
6.9,1.1104036E-5,1.120052E-5,1.120052E-5,1.0,0.0,4.758786E-5,4.800135E-5,4.800135E-5,1.0,0.0,5.7922816E-4,5.84261E-4,5.84261E-4,1.0,0.0,0.005777207,0.005827397,0.005827397,1.0,0.0
7.0,1.0577444E-5,1.0623765E-5,1.0623765E-5,1.0,0.0,4.5331115E-5,4.5529632E-5,4.5529632E-5,1.0,0.0,5.5176654E-4,5.541835E-4,5.541835E-4,1.0,0.0,0.0055039856,0.0055281552,0.0055281552,1.0,0.0
7.1,1.0021775E-5,1.0022009E-5,1.0022009E-5,1.0,0.0,4.294976E-5,4.2950764E-5,4.2950764E-5,1.0,0.0,5.2278786E-4,5.228013E-4,5.228013E-4,1.0,0.0,0.0052155964,0.0052158483,0.0052158483,1.0,0.0
7.2,8.874109E-6,8.787899E-6,8.787899E-6,1.0,0.0,3.8031343E-5,3.766189E-5,3.766189E-5,1.0,0.0,4.629332E-4,4.584381E-4,4.584381E-4,1.0,0.0,0.0046197,0.0045750435,0.0045750435,1.0,0.0
7.3,7.5504267E-6,7.539027E-6,7.539027E-6,1.0,0.0,3.235857E-5,3.2309723E-5,3.2309723E-5,1.0,0.0,3.9389438E-4,3.933009E-4,3.933009E-4,1.0,0.0,0.0039319694,0.003926157,0.003926157,1.0,0.0
7.4,6.309394E-6,6.213467E-6,6.213467E-6,1.0,0.0,2.703998E-5,2.6628877E-5,2.6628877E-5,1.0,0.0,3.2916202E-4,3.241593E-4,3.241593E-4,1.0,0.0,0.003286749,0.0032369634,0.0032369634,1.0,0.0
7.5,4.6103073E-6,4.464888E-6,4.464888E-6,1.0,0.0,1.975831E-5,1.91351E-5,1.91351E-5,1.0,0.0,2.4053088E-4,2.3294563E-4,2.3294563E-4,1.0,0.0,0.002402707,0.0023270852,0.0023270852,1.0,0.0
7.6,1.2858658E-6,1.3037962E-6,1.3037962E-6,1.0,0.0,5.5108417E-6,5.5876867E-6,5.5876867E-6,1.0,0.0,6.7092435E-5,6.8028035E-5,6.8028035E-5,1.0,0.0,6.707218E-4,6.80079E-4,6.80079E-4,1.0,0.0
7.7,5.3302307E-7,5.622373E-7,5.622373E-7,1.0,0.0,2.2843826E-6,2.4095864E-6,2.4095864E-6,1.0,0.0,2.7812002E-5,2.9336356E-5,2.9336356E-5,1.0,0.0,2.7808524E-4,2.9332843E-4,2.9332843E-4,1.0,0.0
7.8,4.613933E-8,4.80992E-8,4.80992E-8,1.0,0.0,1.9773998E-7,2.061394E-7,2.061394E-7,1.0,0.0,2.4074816E-6,2.5097445E-6,2.5097445E-6,1.0,0.0,2.4074554E-5,2.5097172E-5,2.5097172E-5,1.0,0.0
