Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.198912E-5,2.2385198E-5,2.2385198E-5,1.0,0.0,9.4235686E-5,9.593329E-5,9.593329E-5,1.0,0.0,0.0011467156,0.0011674062,0.0011873828,1.017112,2.0E-5,0.011408163,0.0116172265,0.011636995,1.0017016,2.0E-5
6.1,2.198912E-5,2.2385198E-5,2.2385198E-5,1.0,0.0,9.4235686E-5,9.593329E-5,9.593329E-5,1.0,0.0,0.0011467156,0.0011674062,0.0011873828,1.017112,2.0E-5,0.011408163,0.0116172265,0.011636995,1.0017016,2.0E-5
6.2,1.69983E-5,1.6753344E-5,1.6753344E-5,1.0,0.0,7.284782E-5,7.179823E-5,7.179823E-5,1.0,0.0,8.865613E-4,8.7382237E-4,8.938049E-4,1.0228679,2.0E-5,0.008830327,0.008706814,0.00872664,1.002277,2.0E-5
6.3,1.69983E-5,1.6753344E-5,1.6753344E-5,1.0,0.0,7.284782E-5,7.179823E-5,7.179823E-5,1.0,0.0,8.865613E-4,8.7382237E-4,8.938049E-4,1.0228679,2.0E-5,0.008830327,0.008706814,0.00872664,1.002277,2.0E-5
6.4,1.4666188E-5,1.4125839E-5,1.4125839E-5,1.0,0.0,6.285358E-5,6.053805E-5,6.053805E-5,1.0,0.0,7.6497364E-4,7.368266E-4,7.568119E-4,1.0271235,2.0E-5,0.0076234564,0.007346336,0.007366189,1.0027025,2.0E-5
6.5,1.4666188E-5,1.4125839E-5,1.4125839E-5,1.0,0.0,6.285358E-5,6.053805E-5,6.053805E-5,1.0,0.0,7.6497364E-4,7.368266E-4,7.568119E-4,1.0271235,2.0E-5,0.0076234564,0.007346336,0.007366189,1.0027025,2.0E-5
6.6,1.4377586E-5,1.3801492E-5,1.3801492E-5,1.0,0.0,6.1616774E-5,5.9148053E-5,5.9148053E-5,1.0,0.0,7.4992597E-4,7.199147E-4,7.399003E-4,1.0277611,2.0E-5,0.007474003,0.0071783178,0.0071981745,1.0027661,2.0E-5
6.7,1.3881404E-5,1.327717E-5,1.327717E-5,1.0,0.0,5.9490372E-5,5.6901055E-5,5.6901055E-5,1.0,0.0,7.240546E-4,6.925751E-4,7.1256125E-4,1.0288577,2.0E-5,0.007217,0.006906641,0.006926503,1.0028758,2.0E-5
6.8,1.0176516E-5,9.205199E-6,9.205199E-6,1.0,0.0,4.3612912E-5,3.9450348E-5,3.9450348E-5,1.0,0.0,5.308578E-4,4.802189E-4,4.902141E-4,1.0208138,1.0E-5,0.0052959146,0.0047934623,0.004803414,1.0020761,1.0E-5
6.9,9.699797E-6,8.82327E-6,8.82327E-6,1.0,0.0,4.15699E-5,3.781356E-5,3.781356E-5,1.0,0.0,5.05996E-4,4.6029946E-4,4.7029485E-4,1.021715,1.0E-5,0.005048454,0.004595095,0.0046050493,1.0021663,1.0E-5
