Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,233.31207,12.0,1121.0,124.0,41.0,0.99981,0.0017,142.41566
2.6,185.90956,9.0,895.0,99.0,33.0,0.9996,0.0017,113.51025
2.7,148.01428,7.0,713.0,78.0,31.0,0.99939,0.0017,90.3822
2.8,117.78566,6.0,568.0,62.0,18.0,0.99892,0.0017,71.92238
2.9,93.71345,4.0,452.0,50.0,15.0,0.99798,0.0017,57.22202
3.0,74.53502,3.0,359.0,39.0,13.0,0.9968,0.0017,45.51173
3.1,59.26825,2.0,287.0,31.0,7.0,0.99484,0.0017,36.1981
3.2,47.08358,2.0,228.0,25.0,6.0,0.99171,0.0017,28.75573
3.3,37.39808,1.0,182.0,20.0,5.0,0.98755,0.0017,22.84318
3.4,29.70473,1.0,144.0,16.0,4.0,0.98127,0.0017,18.13555
3.5,23.59228,0.0,114.0,12.0,4.0,0.97285,0.0017,14.39951
3.6,18.7252,0.0,91.0,10.0,2.0,0.96076,0.0017,11.43225
3.7,14.86363,0.0,73.0,8.0,2.0,0.9457,0.0017,9.07453
3.8,11.78824,0.0,58.0,6.0,1.0,0.92569,0.0017,7.19317
3.9,9.35854,0.0,46.0,5.0,1.0,0.9007,0.0017,5.71129
4.0,7.41761,0.0,37.0,4.0,1.0,0.87056,0.0017,4.52581
4.1,5.87586,0.0,29.0,3.0,0.0,0.83419,0.0017,3.58587
4.2,4.6553,0.0,23.0,2.0,0.0,0.79389,0.0017,2.83958
4.3,3.6825,0.0,19.0,2.0,0.0,0.7482,0.0017,2.24653
4.4,2.90638,0.0,15.0,1.0,0.0,0.6964,0.0017,1.77483
4.5,2.29236,0.0,12.0,1.0,0.0,0.64172,0.0017,1.39971
4.6,1.80642,0.0,10.0,1.0,0.0,0.58539,0.0017,1.10286
4.7,1.42022,0.0,8.0,1.0,0.0,0.52758,0.0017,0.86729
4.8,1.11515,0.0,6.0,0.0,0.0,0.46831,0.0017,0.67995
4.9,0.87306,0.0,5.0,0.0,0.0,0.40942,0.0017,0.53034
5.0,0.68176,0.0,4.0,0.0,0.0,0.35383,0.0017,0.41333
5.1,0.5276,0.0,3.0,0.0,0.0,0.30134,0.0017,0.31829
5.2,0.40389,0.0,3.0,0.0,0.0,0.25278,0.0017,0.24408
5.3,0.30729,0.0,2.0,0.0,0.0,0.20737,0.0017,0.18533
5.4,0.22903,0.0,2.0,0.0,0.0,0.16553,0.0017,0.13805
5.5,0.16843,0.0,2.0,0.0,0.0,0.12915,0.0017,0.10029
5.6,0.1197,0.0,1.0,0.0,0.0,0.09706,0.0017,0.07066
5.7,0.08081,0.0,1.0,0.0,0.0,0.06875,0.0017,0.04704
5.8,0.05023,0.0,1.0,0.0,0.0,0.0443,0.0017,0.02853
5.9,0.02591,0.0,0.0,0.0,0.0,0.02365,0.0017,0.01372
6.0,0.01674,0.0,0.0,0.0,0.0,0.0154,0.0017,0.00827
6.1,0.01356,0.0,0.0,0.0,0.0,0.01265,0.0017,0.00674
6.2,0.01101,0.0,0.0,0.0,0.0,0.01037,0.00161,0.00542
6.3,0.00839,0.0,0.0,0.0,0.0,0.00801,0.0014,0.00425
6.4,0.00635,0.0,0.0,0.0,0.0,0.00609,0.0012,0.00322
6.5,0.00477,0.0,0.0,0.0,0.0,0.00457,0.00112,0.0024
6.6,0.00355,0.0,0.0,0.0,0.0,0.00345,0.00107,0.00177
6.7,0.00239,0.0,0.0,0.0,0.0,0.00232,6.8E-4,0.00121
6.8,0.00168,0.0,0.0,0.0,0.0,0.00165,5.7E-4,8.7E-4
6.9,0.0012,0.0,0.0,0.0,0.0,0.00119,4.7E-4,6.1E-4
7.0,8.3E-4,0.0,0.0,0.0,0.0,8.2E-4,3.7E-4,4.3E-4
7.1,5.5E-4,0.0,0.0,0.0,0.0,5.5E-4,3.0E-4,2.9E-4
7.2,3.8E-4,0.0,0.0,0.0,0.0,3.8E-4,2.7E-4,2.2E-4
7.3,2.5E-4,0.0,0.0,0.0,0.0,2.5E-4,2.1E-4,1.4E-4
7.4,1.9E-4,0.0,0.0,0.0,0.0,1.9E-4,1.5E-4,9.0E-5
7.5,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,9.0E-5,4.0E-5
7.6,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,7.0E-5,3.0E-5
7.7,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,3.0E-5,0.0
7.8,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,1.0E-5,0.0
7.9,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
