Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.1181217E-5,2.4101482E-5,2.4101482E-5,1.0,0.0,9.077348E-5,1.0328893E-4,1.0328893E-4,1.0,0.0,0.0011046068,0.0012569857,0.0012569857,1.0,0.0,0.010991322,0.012515393,0.012525268,1.000789,1.0E-5
6.1,2.1181217E-5,2.4101482E-5,2.4101482E-5,1.0,0.0,9.077348E-5,1.0328893E-4,1.0328893E-4,1.0,0.0,0.0011046068,0.0012569857,0.0012569857,1.0,0.0,0.010991322,0.012515393,0.012525268,1.000789,1.0E-5
6.2,2.1181217E-5,2.4101482E-5,2.4101482E-5,1.0,0.0,9.077348E-5,1.0328893E-4,1.0328893E-4,1.0,0.0,0.0011046068,0.0012569857,0.0012569857,1.0,0.0,0.010991322,0.012515393,0.012525268,1.000789,1.0E-5
6.3,2.1181217E-5,2.4101482E-5,2.4101482E-5,1.0,0.0,9.077348E-5,1.0328893E-4,1.0328893E-4,1.0,0.0,0.0011046068,0.0012569857,0.0012569857,1.0,0.0,0.010991322,0.012515393,0.012525268,1.000789,1.0E-5
6.4,1.0988268E-5,1.2307345E-5,1.2307345E-5,1.0,0.0,4.7091726E-5,5.274479E-5,5.274479E-5,1.0,0.0,5.731909E-4,6.4199464E-4,6.4199464E-4,1.0,0.0,0.005717147,0.0064030015,0.0064129373,1.0015517,1.0E-5
6.5,1.0988268E-5,1.2307345E-5,1.2307345E-5,1.0,0.0,4.7091726E-5,5.274479E-5,5.274479E-5,1.0,0.0,5.731909E-4,6.4199464E-4,6.4199464E-4,1.0,0.0,0.005717147,0.0064030015,0.0064129373,1.0015517,1.0E-5
6.6,1.0517822E-5,1.17743575E-5,1.17743575E-5,1.0,0.0,4.5075605E-5,5.0460647E-5,5.0460647E-5,1.0,0.0,5.4865726E-4,6.1420095E-4,6.1420095E-4,1.0,0.0,0.0054730466,0.0061266017,0.0061365403,1.0016222,1.0E-5
6.7,7.789219E-6,8.714569E-6,8.714569E-6,1.0,0.0,3.3381937E-5,3.7347647E-5,3.7347647E-5,1.0,0.0,4.063493E-4,4.5461798E-4,4.5461798E-4,1.0,0.0,0.004056071,0.0045374013,0.0045374013,1.0,0.0
6.8,7.5850853E-6,8.488436E-6,8.488436E-6,1.0,0.0,3.2507105E-5,3.6378533E-5,3.6378533E-5,1.0,0.0,3.957021E-4,4.428238E-4,4.428238E-4,1.0,0.0,0.0039499826,0.004419931,0.004419931,1.0,0.0
6.9,6.604105E-6,7.389854E-6,7.389854E-6,1.0,0.0,2.8303E-5,3.1670443E-5,3.1670443E-5,1.0,0.0,3.4453452E-4,3.855233E-4,3.855233E-4,1.0,0.0,0.0034400085,0.003848935,0.003848935,1.0,0.0
7.0,5.3701115E-6,6.0140287E-6,6.0140287E-6,1.0,0.0,2.301456E-5,2.577417E-5,2.577417E-5,1.0,0.0,2.8016625E-4,3.1375827E-4,3.1375827E-4,1.0,0.0,0.0027981328,0.0031334439,0.0031334439,1.0,0.0
7.1,4.4685607E-6,5.007885E-6,5.007885E-6,1.0,0.0,1.9150835E-5,2.1462201E-5,2.1462201E-5,1.0,0.0,2.3313647E-4,2.6127347E-4,2.6127347E-4,1.0,0.0,0.0023289204,0.00260991,0.00260991,1.0,0.0
7.2,2.833378E-6,3.17798E-6,3.17798E-6,1.0,0.0,1.2142991E-5,1.3619853E-5,1.3619853E-5,1.0,0.0,1.4783088E-4,1.6581087E-4,1.6581087E-4,1.0,0.0,0.0014773258,0.0016570449,0.0016570449,1.0,0.0
7.3,7.0087293E-7,7.801374E-7,7.801374E-7,1.0,0.0,3.0037377E-6,3.3434444E-6,3.3434444E-6,1.0,0.0,3.656989E-5,4.0706138E-5,4.0706138E-5,1.0,0.0,3.6563876E-4,4.070322E-4,4.070322E-4,1.0,0.0
7.4,3.112171E-8,3.1989167E-8,3.1989167E-8,1.0,0.0,1.3337875E-7,1.3709642E-7,1.3709642E-7,1.0,0.0,1.6238852E-6,1.6691478E-6,1.6691478E-6,1.0,0.0,1.6238733E-5,1.6691361E-5,1.6691361E-5,1.0,0.0
