Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.7907707E-5,2.7809341E-5,2.7809341E-5,1.0,0.0,1.19598975E-4,1.19178156E-4,1.2917696E-4,1.083898,1.0E-5,0.0014551448,0.001450153,0.0014701239,1.0137717,2.0E-5,0.014456532,0.014436853,0.014476276,1.0027307,4.0E-5
6.1,2.7907707E-5,2.7809341E-5,2.7809341E-5,1.0,0.0,1.19598975E-4,1.19178156E-4,1.2917696E-4,1.083898,1.0E-5,0.0014551448,0.001450153,0.0014701239,1.0137717,2.0E-5,0.014456532,0.014436853,0.014476276,1.0027307,4.0E-5
6.2,2.7907707E-5,2.7809341E-5,2.7809341E-5,1.0,0.0,1.19598975E-4,1.19178156E-4,1.2917696E-4,1.083898,1.0E-5,0.0014551448,0.001450153,0.0014701239,1.0137717,2.0E-5,0.014456532,0.014436853,0.014476276,1.0027307,4.0E-5
6.3,2.7907707E-5,2.7809341E-5,2.7809341E-5,1.0,0.0,1.19598975E-4,1.19178156E-4,1.2917696E-4,1.083898,1.0E-5,0.0014551448,0.001450153,0.0014701239,1.0137717,2.0E-5,0.014456532,0.014436853,0.014476276,1.0027307,4.0E-5
6.4,2.7907707E-5,2.7809341E-5,2.7809341E-5,1.0,0.0,1.19598975E-4,1.19178156E-4,1.2917696E-4,1.083898,1.0E-5,0.0014551448,0.001450153,0.0014701239,1.0137717,2.0E-5,0.014456532,0.014436853,0.014476276,1.0027307,4.0E-5
6.5,1.7990213E-5,1.6822285E-5,1.6822285E-5,1.0,0.0,7.709863E-5,7.209389E-5,8.209317E-5,1.138698,1.0E-5,9.382716E-4,8.774565E-4,8.9743896E-4,1.0227731,2.0E-5,0.0093431985,0.008764115,0.008803764,1.0045241,4.0E-5
6.6,9.650407E-6,7.604586E-6,7.604586E-6,1.0,0.0,4.135823E-5,3.259072E-5,3.259072E-5,1.0,0.0,5.0342013E-4,3.9672764E-4,4.0672367E-4,1.0251962,1.0E-5,0.005022812,0.0039786547,0.0039886152,1.0025034,1.0E-5
6.7,9.62828E-6,7.582277E-6,7.582277E-6,1.0,0.0,4.1263404E-5,3.249511E-5,3.249511E-5,1.0,0.0,5.022661E-4,3.9556404E-4,4.055601E-4,1.0252703,1.0E-5,0.0050113243,0.0039670602,0.0039770207,1.0025108,1.0E-5
6.8,6.887523E-6,4.598897E-6,4.598897E-6,1.0,0.0,2.9517621E-5,1.9709421E-5,1.9709421E-5,1.0,0.0,3.5931775E-4,2.3993802E-4,2.499356E-4,1.0416675,1.0E-5,0.0035873733,0.002414721,0.002424697,1.0041313,1.0E-5
6.9,6.2722347E-6,3.9385004E-6,3.9385004E-6,1.0,0.0,2.6880729E-5,1.687919E-5,1.687919E-5,1.0,0.0,3.2722374E-4,2.054868E-4,2.1548475E-4,1.0486549,1.0E-5,0.003267423,0.0020708854,0.0020808647,1.0048188,1.0E-5
