Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.174025E-5,2.3093939E-5,2.3093939E-5,1.0,0.0,9.3169176E-5,9.897064E-5,9.897064E-5,1.0,0.0,0.0011337444,0.0012043676,0.0012143556,1.0082932,1.0E-5,0.011279777,0.011985039,0.011994919,1.0008243,1.0E-5
6.1,2.174025E-5,2.3093939E-5,2.3093939E-5,1.0,0.0,9.3169176E-5,9.897064E-5,9.897064E-5,1.0,0.0,0.0011337444,0.0012043676,0.0012143556,1.0082932,1.0E-5,0.011279777,0.011985039,0.011994919,1.0008243,1.0E-5
6.2,9.834929E-6,1.0416056E-5,1.0416056E-5,1.0,0.0,4.2149015E-5,4.4639528E-5,4.4639528E-5,1.0,0.0,5.1304343E-4,5.433598E-4,5.533544E-4,1.018394,1.0E-5,0.0051186057,0.0054212185,0.0054311645,1.0018346,1.0E-5
6.3,9.834929E-6,1.0416056E-5,1.0416056E-5,1.0,0.0,4.2149015E-5,4.4639528E-5,4.4639528E-5,1.0,0.0,5.1304343E-4,5.433598E-4,5.533544E-4,1.018394,1.0E-5,0.0051186057,0.0054212185,0.0054311645,1.0018346,1.0E-5
6.4,6.066321E-6,6.413684E-6,6.413684E-6,1.0,0.0,2.5998259E-5,2.7486942E-5,2.7486942E-5,1.0,0.0,3.1648282E-4,3.3460488E-4,3.4460152E-4,1.029876,1.0E-5,0.0031603249,0.003341282,0.0033512486,1.0029829,1.0E-5
6.5,6.066321E-6,6.413684E-6,6.413684E-6,1.0,0.0,2.5998259E-5,2.7486942E-5,2.7486942E-5,1.0,0.0,3.1648282E-4,3.3460488E-4,3.4460152E-4,1.029876,1.0E-5,0.0031603249,0.003341282,0.0033512486,1.0029829,1.0E-5
6.6,4.2321803E-6,4.4703706E-6,4.4703706E-6,1.0,0.0,1.8137789E-5,1.9158597E-5,1.9158597E-5,1.0,0.0,2.208052E-4,2.3323199E-4,2.4322965E-4,1.0428658,1.0E-5,0.0022058594,0.0023299744,0.002339951,1.0042819,1.0E-5
6.7,3.186646E-6,3.3671895E-6,3.3671895E-6,1.0,0.0,1.3656982E-5,1.4430736E-5,1.4430736E-5,1.0,0.0,1.6626107E-4,1.7568073E-4,1.8567897E-4,1.0569115,1.0E-5,0.0016613674,0.0017554859,0.0017654683,1.0056864,1.0E-5
6.8,2.380121E-6,2.5160941E-6,2.5160941E-6,1.0,0.0,1.0200479E-5,1.0783218E-5,1.0783218E-5,1.0,0.0,1.2418375E-4,1.3127824E-4,1.4127692E-4,1.0761641,1.0E-5,0.0012411437,0.001312053,0.0013220398,1.0076116,1.0E-5
6.9,8.928287E-7,9.4501826E-7,9.4501826E-7,1.0,0.0,3.826403E-6,4.050073E-6,4.050073E-6,1.0,0.0,4.658546E-5,4.930875E-5,4.930875E-5,1.0,0.0,4.6575698E-4,4.929998E-4,4.929998E-4,1.0,0.0
