Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.2554693E-5,4.762241E-5,4.762241E-5,1.0,0.0,1.8236451E-4,2.0408192E-4,2.0408192E-4,1.0,0.0,0.002218027,0.002482192,0.002492167,1.0040187,1.0E-5,0.02196019,0.024578914,0.024588669,1.0003968,1.0E-5
6.1,4.2554693E-5,4.762241E-5,4.762241E-5,1.0,0.0,1.8236451E-4,2.0408192E-4,2.0408192E-4,1.0,0.0,0.002218027,0.002482192,0.002492167,1.0040187,1.0E-5,0.02196019,0.024578914,0.024588669,1.0003968,1.0E-5
6.2,4.2554693E-5,4.762241E-5,4.762241E-5,1.0,0.0,1.8236451E-4,2.0408192E-4,2.0408192E-4,1.0,0.0,0.002218027,0.002482192,0.002492167,1.0040187,1.0E-5,0.02196019,0.024578914,0.024588669,1.0003968,1.0E-5
6.3,1.9617712E-5,1.8462246E-5,1.8462246E-5,1.0,0.0,8.40732E-5,7.912162E-5,7.912162E-5,1.0,0.0,0.0010231105,9.628993E-4,9.728897E-4,1.0103753,1.0E-5,0.01018413,0.009590386,0.00960029,1.0010327,1.0E-5
6.4,1.5611336E-5,1.3769518E-5,1.3769518E-5,1.0,0.0,6.690401E-5,5.901092E-5,5.901092E-5,1.0,0.0,8.142519E-4,7.1822724E-4,7.2822004E-4,1.0139132,1.0E-5,0.008112748,0.0071608373,0.0071707657,1.0013865,1.0E-5
6.5,1.5150166E-5,1.3266698E-5,1.3266698E-5,1.0,0.0,6.492767E-5,5.685607E-5,5.685607E-5,1.0,0.0,7.9020765E-4,6.920088E-4,7.020019E-4,1.0144407,1.0E-5,0.007874036,0.0069003017,0.006910233,1.0014392,1.0E-5
6.6,1.295588E-5,1.0519824E-5,1.0519824E-5,1.0,0.0,5.552402E-5,4.5084194E-5,4.5084194E-5,1.0,0.0,6.7579525E-4,5.487638E-4,5.5875833E-4,1.0182128,1.0E-5,0.006737438,0.005475539,0.005485484,1.0018163,1.0E-5
6.7,1.2542085E-5,1.0036217E-5,1.0036217E-5,1.0,0.0,5.3750682E-5,4.301166E-5,4.301166E-5,1.0,0.0,6.542181E-4,5.2354304E-4,5.335378E-4,1.0190907,1.0E-5,0.006522954,0.005224554,0.005234502,1.001904,1.0E-5
6.8,1.2195878E-5,9.628812E-6,9.628812E-6,1.0,0.0,5.2267E-5,4.12657E-5,4.12657E-5,1.0,0.0,6.36165E-4,5.0229597E-4,5.122909E-4,1.0198985,1.0E-5,0.0063434686,0.0050129914,0.0050229416,1.0019848,1.0E-5
6.9,1.1580298E-5,8.903372E-6,8.903372E-6,1.0,0.0,4.9628903E-5,3.815676E-5,3.815676E-5,1.0,0.0,6.040644E-4,4.6446122E-4,4.7445658E-4,1.0215204,1.0E-5,0.00602425,0.004636268,0.004646222,1.002147,1.0E-5
