Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,2.2819,0.0,6.0,0.0,0.0,0.31033,1.6E-4,0.4628
2.6,1.81395,0.0,5.0,0.0,0.0,0.26938,1.6E-4,0.3682
2.7,1.44516,0.0,4.0,0.0,0.0,0.23186,1.6E-4,0.29399
2.8,1.14682,0.0,3.0,0.0,0.0,0.19728,1.6E-4,0.2327
2.9,0.91172,0.0,3.0,0.0,0.0,0.16726,1.6E-4,0.18558
3.0,0.72435,0.0,2.0,0.0,0.0,0.14011,1.6E-4,0.14756
3.1,0.57599,0.0,2.0,0.0,0.0,0.11767,1.6E-4,0.11699
3.2,0.46001,0.0,2.0,0.0,0.0,0.09875,1.6E-4,0.09396
3.3,0.36502,0.0,1.0,0.0,0.0,0.08201,1.6E-4,0.0744
3.4,0.28883,0.0,1.0,0.0,0.0,0.06707,1.6E-4,0.05828
3.5,0.22888,0.0,1.0,0.0,0.0,0.05483,1.6E-4,0.04572
3.6,0.1817,0.0,1.0,0.0,0.0,0.04527,1.6E-4,0.03653
3.7,0.14445,0.0,1.0,0.0,0.0,0.03706,1.6E-4,0.02886
3.8,0.11427,0.0,1.0,0.0,0.0,0.03021,1.6E-4,0.02286
3.9,0.09082,0.0,0.0,0.0,0.0,0.02488,1.6E-4,0.01812
4.0,0.07156,0.0,0.0,0.0,0.0,0.02024,1.6E-4,0.01431
4.1,0.05662,0.0,0.0,0.0,0.0,0.01615,1.6E-4,0.01098
4.2,0.04427,0.0,0.0,0.0,0.0,0.0131,1.6E-4,0.00852
4.3,0.03498,0.0,0.0,0.0,0.0,0.01064,1.6E-4,0.00674
4.4,0.02776,0.0,0.0,0.0,0.0,0.0086,1.6E-4,0.00527
4.5,0.02167,0.0,0.0,0.0,0.0,0.00686,1.6E-4,0.00405
4.6,0.01685,0.0,0.0,0.0,0.0,0.0054,1.6E-4,0.00319
4.7,0.01334,0.0,0.0,0.0,0.0,0.0043,1.6E-4,0.00256
4.8,0.01058,0.0,0.0,0.0,0.0,0.00342,1.6E-4,0.00199
4.9,0.00849,0.0,0.0,0.0,0.0,0.00284,1.6E-4,0.00161
5.0,0.00683,0.0,0.0,0.0,0.0,0.00236,1.6E-4,0.00126
5.1,0.00529,0.0,0.0,0.0,0.0,0.00187,1.6E-4,9.9E-4
5.2,0.00411,0.0,0.0,0.0,0.0,0.00152,1.6E-4,7.8E-4
5.3,0.00325,0.0,0.0,0.0,0.0,0.00128,1.6E-4,6.6E-4
5.4,0.00259,0.0,0.0,0.0,0.0,0.00102,1.6E-4,5.0E-4
5.5,0.00202,0.0,0.0,0.0,0.0,8.5E-4,1.6E-4,4.2E-4
5.6,0.00149,0.0,0.0,0.0,0.0,6.4E-4,1.6E-4,3.3E-4
5.7,0.00114,0.0,0.0,0.0,0.0,5.3E-4,1.6E-4,2.6E-4
5.8,9.0E-4,0.0,0.0,0.0,0.0,3.9E-4,1.6E-4,2.2E-4
5.9,6.3E-4,0.0,0.0,0.0,0.0,2.9E-4,1.6E-4,1.7E-4
6.0,5.0E-4,0.0,0.0,0.0,0.0,2.5E-4,1.6E-4,1.5E-4
6.1,3.9E-4,0.0,0.0,0.0,0.0,2.3E-4,1.6E-4,1.3E-4
6.2,3.3E-4,0.0,0.0,0.0,0.0,2.0E-4,1.3E-4,1.1E-4
6.3,2.5E-4,0.0,0.0,0.0,0.0,1.5E-4,1.2E-4,7.0E-5
6.4,1.7E-4,0.0,0.0,0.0,0.0,1.0E-4,9.0E-5,3.0E-5
6.5,1.4E-4,0.0,0.0,0.0,0.0,8.0E-5,8.0E-5,2.0E-5
6.6,1.0E-4,0.0,0.0,0.0,0.0,5.0E-5,5.0E-5,2.0E-5
