Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.151497E-6,7.877736E-6,7.877736E-6,1.0,0.0,3.493452E-5,3.376129E-5,3.376129E-5,1.0,0.0,4.252448E-4,4.1096695E-4,4.2096284E-4,1.0243229,1.0E-5,0.0042443196,0.0041021504,0.0041121095,1.0024277,1.0E-5
6.1,8.151497E-6,7.877736E-6,7.877736E-6,1.0,0.0,3.493452E-5,3.376129E-5,3.376129E-5,1.0,0.0,4.252448E-4,4.1096695E-4,4.2096284E-4,1.0243229,1.0E-5,0.0042443196,0.0041021504,0.0041121095,1.0024277,1.0E-5
6.2,8.151497E-6,7.877736E-6,7.877736E-6,1.0,0.0,3.493452E-5,3.376129E-5,3.376129E-5,1.0,0.0,4.252448E-4,4.1096695E-4,4.2096284E-4,1.0243229,1.0E-5,0.0042443196,0.0041021504,0.0041121095,1.0024277,1.0E-5
6.3,8.151497E-6,7.877736E-6,7.877736E-6,1.0,0.0,3.493452E-5,3.376129E-5,3.376129E-5,1.0,0.0,4.252448E-4,4.1096695E-4,4.2096284E-4,1.0243229,1.0E-5,0.0042443196,0.0041021504,0.0041121095,1.0024277,1.0E-5
6.4,8.151497E-6,7.877736E-6,7.877736E-6,1.0,0.0,3.493452E-5,3.376129E-5,3.376129E-5,1.0,0.0,4.252448E-4,4.1096695E-4,4.2096284E-4,1.0243229,1.0E-5,0.0042443196,0.0041021504,0.0041121095,1.0024277,1.0E-5
6.5,8.151497E-6,7.877736E-6,7.877736E-6,1.0,0.0,3.493452E-5,3.376129E-5,3.376129E-5,1.0,0.0,4.252448E-4,4.1096695E-4,4.2096284E-4,1.0243229,1.0E-5,0.0042443196,0.0041021504,0.0041121095,1.0024277,1.0E-5
6.6,8.151497E-6,7.877736E-6,7.877736E-6,1.0,0.0,3.493452E-5,3.376129E-5,3.376129E-5,1.0,0.0,4.252448E-4,4.1096695E-4,4.2096284E-4,1.0243229,1.0E-5,0.0042443196,0.0041021504,0.0041121095,1.0024277,1.0E-5
6.7,8.151497E-6,7.877736E-6,7.877736E-6,1.0,0.0,3.493452E-5,3.376129E-5,3.376129E-5,1.0,0.0,4.252448E-4,4.1096695E-4,4.2096284E-4,1.0243229,1.0E-5,0.0042443196,0.0041021504,0.0041121095,1.0024277,1.0E-5
6.8,8.151497E-6,7.877736E-6,7.877736E-6,1.0,0.0,3.493452E-5,3.376129E-5,3.376129E-5,1.0,0.0,4.252448E-4,4.1096695E-4,4.2096284E-4,1.0243229,1.0E-5,0.0042443196,0.0041021504,0.0041121095,1.0024277,1.0E-5
6.9,8.151497E-6,7.877736E-6,7.877736E-6,1.0,0.0,3.493452E-5,3.376129E-5,3.376129E-5,1.0,0.0,4.252448E-4,4.1096695E-4,4.2096284E-4,1.0243229,1.0E-5,0.0042443196,0.0041021504,0.0041121095,1.0024277,1.0E-5
7.0,8.103535E-6,7.827064E-6,7.827064E-6,1.0,0.0,3.4728975E-5,3.3544133E-5,3.3544133E-5,1.0,0.0,4.2274324E-4,4.08324E-4,4.1831992E-4,1.0244803,1.0E-5,0.0042193993,0.004075818,0.004085778,1.0024436,1.0E-5
7.1,7.853298E-6,7.5621897E-6,7.5621897E-6,1.0,0.0,3.3656554E-5,3.2408985E-5,3.2408985E-5,1.0,0.0,4.096915E-4,3.9450868E-4,4.045047E-4,1.0253379,1.0E-5,0.00408937,0.00393816,0.0039481204,1.0025293,1.0E-5
7.2,7.771102E-6,7.4742707E-6,7.4742707E-6,1.0,0.0,3.33043E-5,3.20322E-5,3.20322E-5,1.0,0.0,4.0540437E-4,3.8992293E-4,3.9991905E-4,1.0256361,1.0E-5,0.0040466557,0.0038924639,0.003902425,1.0025591,1.0E-5
7.3,7.3945344E-6,7.069319E-6,7.069319E-6,1.0,0.0,3.1690477E-5,3.0296733E-5,3.0296733E-5,1.0,0.0,3.8576324E-4,3.6880092E-4,3.7879724E-4,1.0271049,1.0E-5,0.0038509427,0.0036819568,0.00369192,1.0027059,1.0E-5
7.4,6.964645E-6,6.609058E-6,6.609058E-6,1.0,0.0,2.9848137E-5,2.8324228E-5,2.8324228E-5,1.0,0.0,3.6334046E-4,3.447934E-4,3.5478995E-4,1.0289929,1.0E-5,0.0036274698,0.003442638,0.0034526037,1.0028948,1.0E-5
7.5,6.6525035E-6,6.277436E-6,6.277436E-6,1.0,0.0,2.851042E-5,2.6903024E-5,2.6903024E-5,1.0,0.0,3.4705905E-4,3.2749557E-4,3.374923E-4,1.0305247,1.0E-5,0.0034651754,0.0032701814,0.0032801486,1.003048,1.0E-5
7.6,5.613338E-6,5.166954E-6,5.166954E-6,1.0,0.0,2.405694E-5,2.2143902E-5,2.2143902E-5,1.0,0.0,2.928539E-4,2.6956896E-4,2.7956627E-4,1.0370862,1.0E-5,0.0029246826,0.0026924515,0.0027024245,1.0037041,1.0E-5
7.7,4.494704E-6,4.0099444E-6,4.0099444E-6,1.0,0.0,1.9262876E-5,1.7185364E-5,1.7185364E-5,1.0,0.0,2.3450027E-4,2.0921197E-4,2.1920988E-4,1.0477884,1.0E-5,0.0023425296,0.0020901742,0.0021001534,1.0047743,1.0E-5
7.8,2.6075882E-6,2.191508E-6,2.191508E-6,1.0,0.0,1.117533E-5,9.3921435E-6,9.3921435E-6,1.0,0.0,1.3605114E-4,1.143434E-4,1.2434226E-4,1.0874459,1.0E-5,0.0013596788,0.0011428504,0.001152839,1.0087401,1.0E-5
7.9,4.045984E-7,3.252981E-7,3.252981E-7,1.0,0.0,1.733992E-6,1.394134E-6,1.394134E-6,1.0,0.0,2.1111147E-5,1.6973452E-5,1.6973452E-5,1.0,0.0,2.1109142E-4,1.6972187E-4,1.6972187E-4,1.0,0.0
8.0,7.791402E-9,5.7097598E-9,5.7097598E-9,1.0,0.0,3.3391725E-8,2.4470399E-8,2.4470399E-8,1.0,0.0,4.0654416E-7,2.9792707E-7,2.9792707E-7,1.0,0.0,4.065434E-6,2.9792689E-6,2.9792689E-6,1.0,0.0
